merchant_id,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media
M0061,17.0,37.0,4.2,1.0,Tidak,
M0062,9.0,31.0,,5.0,Tidak,Ya
M0063,5.0,25.0,4.3,3.0,Tidak,
M0064,13.0,25.0,,5.0,,Tidak
M0065,9.0,13.0,3.5,3.0,,Tidak
M0066,4.0,11.0,4.0,1.0,Tidak,
M0067,4.0,26.0,4.1,2.0,,Tidak
M0068,14.0,6.0,4.4,2.0,,Ya
M0069,15.0,55.0,4.2,1.0,Ya,
M0070,,19.0,4.7,1.0,Tidak,Ya
M0071,1.0,42.0,4.3,1.0,Ya,Ya
M0072,7.0,24.0,4.4,1.0,Tidak,Tidak
M0073,5.0,22.0,4.8,1.0,Tidak,
M0074,9.0,22.0,3.4,2.0,,Tidak
M0075,3.0,16.0,,2.0,Tidak,Ya
M0076,6.0,46.0,3.8,1.0,Tidak,Ya
M0077,18.0,46.0,3.0,1.0,,Ya
M0078,13.0,,3.2,1.0,Ya,Ya
M0079,19.0,29.0,4.8,,Tidak,Tidak
M0080,12.0,21.0,4.6,,,Ya
M0081,20.0,34.0,5.0,1.0,Tidak,Ya
M0082,,36.0,4.8,3.0,Tidak,Tidak
M0083,9.0,,3.6,1.0,,Tidak
M0084,14.0,15.0,3.8,1.0,Tidak,Tidak
M0085,15.0,15.0,4.2,1.0,,Tidak
M0086,8.0,37.0,4.5,2.0,Tidak,Tidak
M0087,5.0,13.0,3.5,1.0,Tidak,Tidak
M0088,14.0,39.0,4.2,1.0,Tidak,Ya
M0089,8.0,33.0,,3.0,Ya,Tidak
M0090,4.0,30.0,4.4,2.0,,Tidak
M0091,12.0,76.0,,,Tidak,Tidak
M0092,20.0,17.0,4.6,1.0,,Ya
M0093,,,,3.0,Tidak,Ya
M0094,7.0,30.0,4.9,1.0,Tidak,Ya
M0095,17.0,50.0,3.8,1.0,,Ya
M0096,19.0,30.0,,1.0,Tidak,Ya
M0097,17.0,14.0,3.1,1.0,Tidak,Ya
M0098,15.0,44.0,4.4,3.0,Ya,Ya
M0099,7.0,49.0,4.6,1.0,Tidak,Ya
M0100,1.0,87.0,3.8,1.0,Tidak,Ya
M0101,19.0,36.0,4.7,1.0,Tidak,Ya
M0102,16.0,,,1.0,Tidak,
M0103,4.0,17.0,3.9,1.0,Tidak,Ya
M0104,18.0,32.0,5.0,,Tidak,
M0105,6.0,50.0,3.4,2.0,Tidak,Tidak
M0106,,94.0,4.4,1.0,Tidak,Ya
M0107,17.0,27.0,4.5,,,Tidak
M0108,15.0,31.0,,1.0,Ya,
M0109,6.0,,,5.0,,Ya
M0110,11.0,43.0,,2.0,Tidak,
M0111,9.0,34.0,,1.0,Ya,Ya
M0112,14.0,39.0,4.3,3.0,Tidak,Ya
M0113,17.0,37.0,3.9,1.0,Tidak,Ya
M0114,11.0,9.0,,2.0,Ya,
M0115,19.0,,3.4,5.0,Tidak,Tidak
M0116,10.0,22.0,,,Tidak,
M0117,,50.0,4.7,1.0,Tidak,
M0118,14.0,2.0,4.0,2.0,Tidak,
M0119,5.0,78.0,4.4,2.0,,
M0120,14.0,14.0,4.6,3.0,Tidak,Ya
M0121,,19.0,4.1,1.0,Ya,Ya
M0122,11.0,27.0,4.1,1.0,Tidak,Ya
M0123,9.0,15.0,,,Ya,Ya
M0124,19.0,49.0,4.0,3.0,Tidak,Tidak
M0125,9.0,46.0,,2.0,,Ya
M0126,20.0,32.0,,2.0,Tidak,
M0127,15.0,22.0,3.5,1.0,Ya,Tidak
M0128,2.0,13.0,4.3,1.0,Tidak,Tidak
M0129,20.0,13.0,,1.0,Tidak,Ya
M0130,20.0,21.0,4.8,1.0,Tidak,
M0131,17.0,35.0,4.9,1.0,,
M0132,,4.0,4.2,1.0,Tidak,Tidak
M0133,6.0,48.0,3.9,1.0,Tidak,Ya
M0134,6.0,22.0,3.3,2.0,Ya,Tidak
M0135,,24.0,4.0,1.0,Tidak,Ya
M0136,13.0,6.0,4.2,1.0,Ya,Ya
M0137,,2.0,,2.0,Tidak,Tidak
M0138,13.0,31.0,4.3,2.0,Tidak,Tidak
M0139,1.0,9.0,,1.0,Tidak,
M0140,10.0,15.0,,1.0,Ya,Ya
M0141,1.0,93.0,4.9,5.0,Tidak,
M0142,10.0,46.0,4.3,1.0,Tidak,Ya
M0143,4.0,15.0,3.2,1.0,Tidak,Ya
M0144,3.0,12.0,4.3,2.0,Tidak,Ya
M0145,13.0,,,1.0,Tidak,Tidak
M0146,19.0,31.0,3.4,2.0,Tidak,Ya
M0147,16.0,,,5.0,Tidak,Tidak
M0148,7.0,7.0,4.8,1.0,,Tidak
M0149,5.0,26.0,,1.0,Ya,Ya
M0150,19.0,27.0,4.5,1.0,Tidak,
M0151,18.0,,3.4,5.0,Tidak,Ya
M0152,11.0,43.0,4.5,1.0,Tidak,Ya
M0153,19.0,22.0,3.0,2.0,Tidak,
M0154,18.0,9.0,3.8,1.0,,Ya
M0155,15.0,,4.4,1.0,,Tidak
M0156,5.0,28.0,4.1,1.0,,Tidak
M0157,16.0,36.0,3.1,1.0,Tidak,Tidak
M0158,1.0,18.0,3.9,1.0,Tidak,
M0159,19.0,55.0,3.7,1.0,Ya,
M0160,12.0,13.0,3.1,1.0,Tidak,Ya
M0161,6.0,,3.4,1.0,Tidak,Ya
M0162,18.0,,,2.0,Tidak,Tidak
M0163,16.0,31.0,3.1,1.0,Ya,Ya
M0164,15.0,,3.3,1.0,Tidak,Tidak
M0165,20.0,33.0,4.1,1.0,Tidak,Tidak
M0166,6.0,15.0,4.7,1.0,,Ya
M0167,13.0,21.0,4.3,1.0,,
M0168,15.0,7.0,3.5,1.0,,Ya
M0169,20.0,13.0,,3.0,Ya,Tidak
M0170,5.0,39.0,3.9,1.0,,
M0171,4.0,13.0,3.8,1.0,Tidak,Tidak
M0172,10.0,76.0,,3.0,Tidak,Ya
M0173,8.0,16.0,,2.0,,Tidak
M0174,1.0,15.0,3.7,2.0,Tidak,Tidak
M0175,12.0,37.0,4.4,5.0,Ya,Tidak
M0176,2.0,34.0,5.0,1.0,Tidak,
M0177,,36.0,,1.0,Tidak,Ya
M0178,7.0,47.0,3.9,1.0,Tidak,Ya
M0179,,26.0,3.9,1.0,Tidak,
M0180,1.0,,3.4,1.0,Tidak,Ya
M0181,9.0,11.0,4.6,1.0,Tidak,Tidak
M0182,13.0,,4.8,1.0,Tidak,Ya
M0183,13.0,16.0,,1.0,Tidak,Tidak
M0184,15.0,12.0,3.9,2.0,Ya,Ya
M0185,3.0,17.0,3.3,1.0,,
M0186,,25.0,4.1,2.0,,Ya
M0187,18.0,48.0,3.2,1.0,,Ya
M0188,1.0,73.0,,1.0,,Tidak
M0189,2.0,39.0,3.5,2.0,,Ya
M0190,1.0,26.0,3.5,1.0,Tidak,Tidak
M0191,4.0,38.0,4.4,2.0,Tidak,Ya
M0192,7.0,27.0,,2.0,Tidak,Ya
M0193,14.0,8.0,3.9,1.0,Ya,
M0194,18.0,45.0,3.4,1.0,Tidak,Ya
M0195,2.0,,,2.0,Tidak,
M0196,1.0,43.0,4.2,,Tidak,Tidak
M0197,20.0,4.0,3.3,1.0,Ya,Tidak
M0198,14.0,46.0,3.2,1.0,Tidak,Ya
M0199,12.0,53.0,,1.0,Tidak,
M0200,11.0,51.0,4.2,2.0,Tidak,
M0201,4.0,29.0,3.4,2.0,Tidak,Ya
M0202,16.0,50.0,4.2,2.0,Tidak,Ya
M0203,17.0,39.0,,1.0,Ya,Tidak
M0204,8.0,29.0,,1.0,,Ya
M0205,7.0,80.0,3.3,1.0,Tidak,
M0206,19.0,45.0,3.6,1.0,Tidak,Ya
M0207,13.0,84.0,,1.0,Tidak,Ya
M0208,12.0,43.0,4.1,5.0,Ya,Tidak
M0209,3.0,41.0,3.3,1.0,Tidak,
M0210,8.0,22.0,4.9,1.0,Tidak,
M0211,20.0,37.0,4.5,2.0,,
M0212,10.0,33.0,3.8,1.0,Tidak,
M0213,,37.0,3.6,1.0,Ya,Tidak
M0214,8.0,33.0,4.2,5.0,Tidak,Ya
M0215,14.0,30.0,4.3,1.0,Tidak,Tidak
M0216,,41.0,3.8,2.0,,Ya
M0217,11.0,11.0,4.7,1.0,Tidak,Ya
M0218,10.0,46.0,,1.0,Tidak,Tidak
M0219,18.0,31.0,4.9,5.0,Tidak,Tidak
M0220,14.0,81.0,4.9,1.0,Tidak,Tidak
M0221,8.0,98.0,4.7,1.0,Tidak,
M0222,18.0,27.0,3.5,5.0,Ya,
M0223,14.0,46.0,4.3,5.0,,Tidak
M0224,18.0,45.0,,2.0,Ya,Tidak
M0225,9.0,17.0,4.9,3.0,Tidak,Tidak
M0226,19.0,78.0,3.9,1.0,Tidak,Tidak
M0227,3.0,15.0,3.7,1.0,,Tidak
M0228,12.0,24.0,,1.0,Tidak,Tidak
M0229,6.0,,3.2,2.0,Tidak,Ya
M0230,7.0,14.0,3.0,3.0,Tidak,Ya
M0231,8.0,42.0,,1.0,Tidak,Ya
M0232,18.0,18.0,3.3,1.0,,Ya
M0233,1.0,50.0,3.1,1.0,Ya,
M0234,11.0,42.0,4.0,1.0,Ya,Tidak
M0235,9.0,47.0,3.9,5.0,Tidak,Ya
M0236,11.0,90.0,,2.0,Tidak,
M0237,3.0,,3.1,1.0,Tidak,Tidak
M0238,1.0,36.0,3.8,1.0,Tidak,
M0239,13.0,21.0,3.9,3.0,Tidak,
M0240,5.0,8.0,4.1,2.0,,Ya
M0241,17.0,20.0,4.2,1.0,Tidak,Ya
M0242,13.0,70.0,3.1,1.0,Tidak,Tidak
M0243,10.0,6.0,3.1,3.0,Tidak,Ya
M0244,13.0,11.0,4.3,5.0,Tidak,Ya
M0245,8.0,48.0,,1.0,Ya,
M0246,3.0,3.0,4.9,1.0,Ya,Ya
M0247,17.0,18.0,3.1,1.0,,Tidak
M0248,20.0,99.0,4.0,1.0,Ya,Tidak
M0249,7.0,91.0,3.0,1.0,Tidak,
M0250,13.0,,4.5,,Tidak,Ya
M0251,16.0,,,3.0,Ya,Tidak
M0252,20.0,45.0,3.3,1.0,Tidak,Tidak
M0253,18.0,36.0,3.6,2.0,,Ya
M0254,9.0,2.0,3.1,2.0,Tidak,Tidak
M0255,5.0,27.0,4.7,1.0,Tidak,Ya
M0256,1.0,35.0,3.8,1.0,Ya,Ya
M0257,18.0,16.0,,1.0,Tidak,Ya
M0258,18.0,9.0,4.2,5.0,Tidak,Tidak
M0259,20.0,11.0,4.7,1.0,Tidak,
M0260,15.0,47.0,3.9,2.0,Tidak,Tidak
M0261,1.0,4.0,3.1,2.0,Tidak,Tidak
M0262,1.0,29.0,,1.0,Tidak,Ya
M0263,,43.0,,1.0,Tidak,Ya
M0264,16.0,17.0,,1.0,Tidak,
M0265,8.0,23.0,3.2,1.0,Tidak,Tidak
M0266,12.0,14.0,3.6,1.0,,Tidak
M0267,15.0,31.0,3.1,1.0,Tidak,Ya
M0268,19.0,24.0,3.1,,Tidak,Tidak
M0269,15.0,73.0,5.0,1.0,Tidak,Tidak
M0270,2.0,1.0,3.6,2.0,Ya,Tidak
M0271,20.0,5.0,,1.0,Tidak,Tidak
M0272,11.0,6.0,,2.0,Tidak,Tidak
M0273,20.0,18.0,4.0,2.0,Ya,
M0274,8.0,,3.5,1.0,Tidak,Ya
M0275,10.0,,3.1,2.0,Tidak,Tidak
M0276,4.0,47.0,3.9,1.0,Tidak,Tidak
M0277,19.0,84.0,,2.0,Ya,Tidak
M0278,3.0,14.0,,1.0,Tidak,Ya
M0279,16.0,34.0,3.6,2.0,Tidak,
M0280,18.0,20.0,4.9,3.0,Tidak,Tidak
M0281,17.0,,,1.0,Ya,Ya
M0282,11.0,3.0,4.1,1.0,Ya,Ya
M0283,20.0,17.0,4.9,2.0,Tidak,Ya
M0284,2.0,17.0,3.3,1.0,Ya,Tidak
M0285,10.0,43.0,3.1,3.0,,
M0286,2.0,3.0,,1.0,Tidak,Tidak
M0287,10.0,63.0,4.0,1.0,Ya,Ya
M0288,6.0,18.0,3.1,,Ya,Tidak
M0289,1.0,10.0,4.1,2.0,Tidak,
M0290,14.0,50.0,,1.0,Tidak,Tidak
M0291,,38.0,3.7,1.0,Ya,Ya
M0292,,45.0,3.6,,Tidak,Ya
M0293,13.0,,4.4,2.0,Tidak,Tidak
M0294,15.0,8.0,4.1,1.0,,
M0295,13.0,29.0,5.0,5.0,Tidak,Tidak
M0296,4.0,4.0,3.4,2.0,,Tidak
M0297,3.0,5.0,,1.0,Ya,Tidak
M0298,17.0,100.0,4.8,2.0,Ya,
M0299,20.0,92.0,,3.0,Ya,Ya
M0300,15.0,60.0,3.3,1.0,Tidak,Ya
M0301,18.0,23.0,4.2,1.0,Tidak,Tidak
M0302,17.0,31.0,,1.0,Tidak,Ya
M0303,,12.0,4.0,1.0,Tidak,Tidak
M0304,8.0,1.0,,1.0,Tidak,Ya
M0305,9.0,22.0,3.3,1.0,Ya,Ya
M0306,14.0,39.0,,,Tidak,Ya
M0307,,32.0,3.8,2.0,Tidak,
M0308,20.0,21.0,,2.0,Ya,Ya
M0309,14.0,87.0,3.6,,Tidak,
M0310,16.0,79.0,3.0,1.0,Ya,
M0311,14.0,41.0,5.0,1.0,Tidak,Ya
M0312,,,4.2,1.0,Tidak,Ya
M0313,4.0,26.0,4.8,1.0,,Ya
M0314,6.0,38.0,,1.0,Tidak,Ya
M0315,13.0,7.0,3.6,2.0,,Tidak
M0316,5.0,41.0,,2.0,,Ya
M0317,7.0,24.0,,2.0,Tidak,Tidak
M0318,7.0,75.0,,,Tidak,Ya
M0319,4.0,46.0,3.2,1.0,Tidak,Ya
M0320,19.0,,4.0,1.0,,Tidak
M0321,15.0,25.0,3.5,1.0,Tidak,
M0322,12.0,42.0,,3.0,Ya,Tidak
M0323,8.0,9.0,4.3,2.0,Ya,Tidak
M0324,15.0,25.0,,1.0,Ya,Tidak
M0325,4.0,23.0,,2.0,Tidak,
M0326,,27.0,,1.0,Tidak,
M0327,9.0,11.0,4.3,1.0,Tidak,Ya
M0328,18.0,16.0,4.7,1.0,Tidak,Tidak
M0329,,4.0,4.7,5.0,,
M0330,1.0,23.0,3.9,2.0,,Tidak
M0331,15.0,10.0,3.3,1.0,Tidak,Ya
M0332,12.0,25.0,4.6,1.0,Ya,
M0333,11.0,72.0,,5.0,Tidak,Ya
M0334,13.0,69.0,4.6,1.0,Tidak,Ya
M0335,5.0,27.0,3.4,1.0,,Ya
M0336,4.0,,4.1,1.0,Tidak,Tidak
M0337,14.0,52.0,5.0,1.0,Tidak,Ya
M0338,4.0,10.0,4.1,1.0,Ya,Ya
M0339,7.0,25.0,3.1,2.0,Tidak,Tidak
M0340,8.0,38.0,,5.0,Tidak,Tidak
M0341,4.0,35.0,4.1,1.0,Tidak,Tidak
M0342,12.0,38.0,,5.0,,Tidak
M0343,18.0,30.0,,1.0,Tidak,Ya
M0344,6.0,18.0,,5.0,Tidak,Tidak
M0345,10.0,77.0,4.2,,Tidak,
M0346,16.0,10.0,3.7,1.0,Tidak,Tidak
M0347,1.0,6.0,3.5,1.0,Tidak,Ya
M0348,10.0,8.0,3.5,1.0,,Tidak
M0349,,37.0,4.0,1.0,Tidak,Tidak
M0350,15.0,33.0,4.1,1.0,Tidak,Ya
M0351,16.0,11.0,3.8,1.0,,Tidak
M0352,1.0,12.0,4.9,1.0,,Tidak
M0353,10.0,28.0,3.4,1.0,Ya,
M0354,12.0,36.0,,1.0,Ya,Tidak
M0355,16.0,2.0,3.0,2.0,Tidak,Ya
M0356,16.0,,,2.0,Tidak,Tidak
M0357,17.0,,4.6,1.0,Tidak,Ya
M0358,13.0,8.0,3.5,1.0,Tidak,Tidak
M0359,9.0,80.0,4.9,1.0,,Tidak
M0360,3.0,30.0,4.8,2.0,Tidak,Ya
M0361,18.0,39.0,3.6,1.0,Ya,Tidak
M0362,,42.0,,5.0,Tidak,Ya
M0363,,9.0,4.7,3.0,Tidak,Ya
M0364,1.0,36.0,4.2,2.0,,Ya
M0365,1.0,,4.9,2.0,Tidak,Ya
M0366,18.0,20.0,3.4,1.0,Tidak,Ya
M0367,,13.0,3.7,5.0,Tidak,
M0368,10.0,76.0,4.3,1.0,,Ya
M0369,7.0,5.0,,1.0,Ya,
M0370,11.0,30.0,3.6,1.0,Ya,Ya
M0371,14.0,8.0,4.9,1.0,Tidak,Ya
M0372,11.0,26.0,3.1,1.0,Tidak,Tidak
M0373,5.0,8.0,4.9,1.0,,Tidak
M0374,19.0,43.0,4.8,2.0,Ya,Ya
M0375,16.0,31.0,4.2,1.0,Tidak,
M0376,14.0,81.0,,5.0,,Ya
M0377,4.0,10.0,3.1,3.0,Ya,Ya
M0378,5.0,98.0,3.3,5.0,Ya,Tidak
M0379,15.0,55.0,4.3,3.0,,Ya
M0380,3.0,49.0,3.1,1.0,Tidak,Ya
M0381,6.0,33.0,4.7,2.0,Ya,Tidak
M0382,5.0,40.0,3.1,1.0,Ya,Ya
M0383,10.0,31.0,3.9,2.0,Ya,Ya
M0384,2.0,92.0,4.8,2.0,Tidak,Ya
M0385,8.0,49.0,4.1,1.0,Tidak,Ya
M0386,20.0,36.0,3.8,1.0,Tidak,Ya
M0387,15.0,42.0,4.3,1.0,Tidak,Ya
M0388,12.0,1.0,3.9,1.0,,
M0389,11.0,,,2.0,Tidak,Tidak
M0390,20.0,66.0,3.8,1.0,,Ya
M0391,19.0,32.0,3.5,1.0,Ya,Ya
M0392,,45.0,3.4,2.0,,
M0393,,7.0,4.8,2.0,Tidak,Tidak
M0394,17.0,34.0,,1.0,Ya,Ya
M0395,12.0,21.0,,2.0,Ya,Tidak
M0396,16.0,5.0,3.2,,,
M0397,9.0,32.0,3.6,1.0,Tidak,
M0398,20.0,5.0,,2.0,,Tidak
M0399,6.0,69.0,4.1,1.0,Ya,Tidak
M0400,13.0,9.0,4.2,,Tidak,Ya
M0401,19.0,78.0,4.8,1.0,Ya,Tidak
M0402,11.0,16.0,4.0,1.0,Ya,Ya
M0403,16.0,98.0,,1.0,Tidak,Ya
M0404,20.0,43.0,3.2,2.0,,Tidak
M0405,20.0,6.0,4.7,,Ya,Ya
M0406,14.0,33.0,4.5,5.0,Ya,Ya
M0407,4.0,14.0,3.8,1.0,Tidak,Tidak
M0408,1.0,26.0,3.2,5.0,Tidak,
M0409,14.0,34.0,,5.0,,
M0410,17.0,26.0,3.0,1.0,,Ya
M0411,2.0,18.0,4.4,2.0,Tidak,Tidak
M0412,9.0,,3.9,1.0,Tidak,Tidak
M0413,3.0,34.0,3.4,2.0,Tidak,Ya
M0414,13.0,48.0,3.4,2.0,Tidak,Ya
M0415,3.0,27.0,,1.0,Ya,
M0416,20.0,32.0,3.6,5.0,Tidak,Tidak
M0417,16.0,,,,Ya,Ya
M0418,11.0,75.0,,1.0,Tidak,
M0419,5.0,5.0,4.5,1.0,,Tidak
M0420,5.0,7.0,,3.0,Ya,
M0421,18.0,,3.1,1.0,,Ya
M0422,16.0,,4.1,1.0,Tidak,Tidak
M0423,6.0,43.0,,1.0,Ya,
M0424,14.0,8.0,5.0,2.0,,Tidak
M0425,4.0,85.0,4.3,1.0,Ya,Tidak
M0426,17.0,15.0,4.0,1.0,Ya,Tidak
M0427,9.0,33.0,3.2,,Ya,Ya
M0428,2.0,16.0,,1.0,Tidak,Tidak
M0429,12.0,,4.6,2.0,Ya,Tidak
M0430,18.0,33.0,,1.0,Tidak,
M0431,5.0,10.0,,1.0,Tidak,Ya
M0432,10.0,34.0,3.0,2.0,,Ya
M0433,18.0,,,3.0,Tidak,Ya
M0434,15.0,15.0,,1.0,Ya,Ya
M0435,13.0,19.0,,1.0,Tidak,Tidak
M0436,,16.0,4.1,2.0,Ya,Ya
M0437,,95.0,3.7,1.0,,
M0438,16.0,39.0,4.5,1.0,Tidak,Ya
M0439,5.0,31.0,3.0,1.0,Ya,
M0440,20.0,,3.7,1.0,,Tidak
M0441,,,3.4,,,Tidak
M0442,13.0,19.0,3.3,2.0,Ya,Ya
M0443,,76.0,3.9,1.0,Tidak,
M0444,3.0,15.0,4.6,1.0,Tidak,
M0445,5.0,,4.0,1.0,Ya,Ya
M0446,5.0,41.0,3.4,2.0,Tidak,Ya
M0447,12.0,10.0,4.8,1.0,Ya,
M0448,13.0,28.0,,1.0,Tidak,
M0449,2.0,,,1.0,Tidak,Tidak
M0450,10.0,27.0,4.7,2.0,Ya,Tidak
M0451,18.0,25.0,4.6,1.0,Tidak,Ya
M0452,17.0,17.0,,1.0,Tidak,Tidak
M0453,6.0,43.0,4.7,1.0,Tidak,Ya
M0454,10.0,36.0,3.3,3.0,Tidak,
M0455,5.0,19.0,4.4,1.0,Tidak,Ya
M0456,7.0,1.0,3.4,1.0,Tidak,Ya
M0457,3.0,39.0,,1.0,Tidak,Tidak
M0458,8.0,9.0,4.9,1.0,Tidak,Ya
M0459,15.0,34.0,4.1,1.0,Tidak,Ya
M0460,5.0,73.0,,2.0,Tidak,Tidak
M0461,17.0,34.0,4.3,3.0,Tidak,Ya
M0462,10.0,39.0,4.3,1.0,,Ya
M0463,19.0,49.0,3.7,1.0,Tidak,Tidak
M0464,20.0,,,1.0,Tidak,Ya
M0465,,7.0,3.6,3.0,Tidak,
M0466,15.0,21.0,3.3,1.0,Tidak,Ya
M0467,2.0,15.0,3.8,2.0,Tidak,Ya
M0468,19.0,84.0,4.2,1.0,Tidak,Ya
M0469,6.0,10.0,,1.0,Tidak,Ya
M0470,3.0,38.0,3.2,1.0,Tidak,Tidak
M0471,,8.0,3.3,1.0,Tidak,Ya
M0472,3.0,43.0,3.7,5.0,,Tidak
M0473,18.0,,3.2,1.0,Ya,
M0474,1.0,1.0,3.8,,,Ya
M0475,14.0,20.0,4.5,1.0,Tidak,Ya
M0476,9.0,90.0,3.3,5.0,Tidak,Ya
M0477,4.0,56.0,4.4,2.0,Tidak,Ya
M0478,3.0,15.0,4.1,,Tidak,
M0479,2.0,26.0,3.2,1.0,Tidak,Tidak
M0480,4.0,7.0,3.4,1.0,Tidak,
M0481,,40.0,,2.0,Ya,Tidak
M0482,7.0,26.0,4.6,5.0,Ya,Tidak
M0483,,5.0,4.4,1.0,,Ya
M0484,6.0,11.0,,2.0,,Ya
M0485,8.0,39.0,3.0,1.0,Ya,Tidak
M0486,19.0,65.0,,1.0,Tidak,Tidak
M0487,6.0,17.0,3.2,2.0,Ya,Ya
M0488,13.0,2.0,,3.0,Tidak,Ya
M0489,12.0,19.0,3.0,3.0,Tidak,Tidak
M0490,2.0,5.0,4.1,2.0,Tidak,
M0491,19.0,49.0,3.7,1.0,Ya,Ya
M0492,17.0,15.0,,1.0,Ya,Tidak
M0493,8.0,12.0,3.9,2.0,,Tidak
M0494,9.0,43.0,4.6,1.0,Tidak,Ya
M0495,12.0,,4.2,1.0,Tidak,Tidak
M0496,,12.0,4.1,1.0,Tidak,Tidak
M0497,20.0,19.0,3.2,1.0,Ya,
M0498,,43.0,,3.0,Tidak,Tidak
M0499,17.0,19.0,4.2,1.0,Tidak,Tidak
M0500,4.0,24.0,4.5,1.0,Tidak,Tidak
M0501,,12.0,,2.0,Tidak,Tidak
M0502,6.0,67.0,4.1,2.0,,Ya
M0503,17.0,80.0,,1.0,,Ya
M0504,12.0,52.0,,,Tidak,Tidak
M0505,14.0,29.0,5.0,1.0,Ya,Ya
M0506,6.0,69.0,4.3,1.0,Ya,
M0507,8.0,30.0,3.5,1.0,Tidak,Ya
M0508,4.0,62.0,4.9,1.0,Tidak,
M0509,13.0,13.0,,1.0,Ya,Ya
M0510,20.0,22.0,,1.0,Tidak,
M0511,4.0,73.0,3.4,1.0,Ya,Tidak
M0512,4.0,2.0,3.9,2.0,,Ya
M0513,,95.0,3.5,1.0,,
M0514,5.0,,3.9,1.0,Ya,Tidak
M0515,11.0,50.0,4.1,1.0,Tidak,Ya
M0516,13.0,13.0,4.8,1.0,Tidak,
M0517,11.0,92.0,,1.0,Tidak,Ya
M0518,13.0,6.0,,1.0,Tidak,Tidak
M0519,13.0,36.0,4.4,1.0,Tidak,Tidak
M0520,4.0,41.0,5.0,5.0,Tidak,Tidak
M0521,17.0,50.0,3.6,1.0,Ya,Tidak
M0522,15.0,26.0,3.1,3.0,Tidak,Tidak
M0523,1.0,76.0,4.9,1.0,Tidak,Tidak
M0524,10.0,28.0,3.2,1.0,Tidak,
M0525,12.0,14.0,3.6,1.0,Tidak,
M0526,9.0,34.0,,1.0,Tidak,Tidak
M0527,13.0,31.0,4.7,,Tidak,Tidak
