trx_id,timestamp,source_id,target_id,amount,channel,payment_type,status,description,ref_number
T000025,2025-09-27 23:34:43,C00278,M0703,696350.5,QRIS,QRIS,success,C2M payment - Automotive,REF47455983
T000026,2025-12-24 02:09:43,M0507,M0160,2479891.04,transfer,bank_transfer,success,M2M settlement - F&B,REF41718308
T000027,2025-10-10 02:12:53,C01504,M0706,4027626.59,EDC,debit,success,C2M payment - Automotive,REF60342707
T000028,2026-02-23 19:01:51,C00514,M0702,268587.43,QRIS,QRIS,success,C2M payment - Fashion,REF28331043
T000029,2026-06-27 01:46:49,M0599,M0657,7576151.24,transfer,bank_transfer,success,M2M settlement - Automotive,REF41408658
T000030,2026-03-09 04:15:35,M0510,M0662,20027204.94,transfer,bank_transfer,success,M2M settlement - Automotive,REF11012180
T000031,2025-10-25 03:06:36,C01569,M0264,467701.1,EDC,credit_card,success,C2M payment - Fashion,REF27989561
T000032,2026-02-11 05:14:00,C01333,M0142,124970.1,QRIS,QRIS,success,C2M payment - F&B,REF79036005
T000033,2025-10-17 04:51:31,M0348,M0636,4881956.1,transfer,bank_transfer,success,M2M settlement - Automotive,REF92046706
T000034,2026-02-12 10:44:49,C01103,M0503,2118455.84,QRIS,QRIS,success,C2M payment - Electronics,REF19983929
T000035,2025-08-02 11:51:20,C00304,M0662,1474487.11,EDC,debit,success,C2M payment - Automotive,REF71055485
T000036,2025-07-16 22:39:13,C00388,M0304,1149070.6,EDC,credit_card,failed,C2M payment - Fashion,REF95950971
T000037,2026-04-07 04:38:48,M0104,M0418,40083438.92,transfer,bank_transfer,success,M2M settlement - Grocery,REF56251857
T000038,2026-02-18 19:59:19,M0592,M0313,2964954.8,transfer,bank_transfer,success,M2M settlement - Fashion,REF99483300
T000039,2025-08-09 19:13:15,M0547,M0128,26109382.49,transfer,bank_transfer,success,M2M settlement - F&B,REF11203431
T000040,2025-12-16 18:12:06,M0635,M0687,75000000.0,transfer,bank_transfer,success,M2M settlement - Automotive,REF98165308
T000041,2025-11-08 05:18:06,C00736,M0519,4238016.14,QRIS,QRIS,success,C2M payment - Electronics,REF33583899
T000042,2026-04-11 01:51:59,C00143,M0296,323635.04,transfer,bank_transfer,success,C2M payment - Fashion,REF94374049
T000043,2025-10-23 16:13:59,C00788,M0449,330461.52,EDC,debit,success,C2M payment - Grocery,REF91684169
T000044,2026-06-08 01:21:24,C01509,M0576,1080558.27,EDC,debit,success,C2M payment - Electronics,REF24224815
T000045,2025-12-16 19:59:33,C00410,M0680,1049966.55,EDC,debit,success,C2M payment - Automotive,REF01693113
T000046,2025-10-25 23:08:56,C01818,M0092,56356.13,EDC,debit,success,C2M payment - F&B,REF46364609
T000047,2025-08-02 18:32:46,C01501,M0676,1096231.19,transfer,bank_transfer,success,C2M payment - Automotive,REF10932994
T000048,2025-09-03 20:48:02,C00584,M0405,202854.13,QRIS,QRIS,success,C2M payment - Grocery,REF25973952
T000049,2026-05-11 20:39:19,M0157,M0151,6143892.72,transfer,bank_transfer,success,M2M settlement - F&B,REF19856986
T000050,2025-07-09 11:21:14,C01723,M0344,723878.92,transfer,bank_transfer,failed,C2M payment - Fashion,REF15224309
T000051,2025-07-06 18:46:59,C01057,M0563,1780559.23,EDC,credit_card,success,C2M payment - Electronics,REF45197310
T000052,2026-01-07 12:29:00,M0619,M0581,46655243.02,transfer,bank_transfer,success,M2M settlement - Electronics,REF46170481
T000053,2025-07-26 07:51:11,C01382,M0088,97799.87,QRIS,QRIS,success,C2M payment - F&B,REF59385321
T000054,2025-12-22 03:30:32,C00045,M0180,142982.17,QRIS,QRIS,success,C2M payment - F&B,REF26835945
T000055,2025-11-01 07:10:48,C00334,M0334,967693.21,QRIS,QRIS,success,C2M payment - Fashion,REF79816406
T000056,2026-03-09 13:39:31,C01077,M0278,171921.85,EDC,debit,success,C2M payment - Fashion,REF61288283
T000057,2026-04-17 21:21:00,M0033,M0006,6916023.4,QRIS,QRIS,success,M2M settlement - F&B,REF36565213
T000058,2026-06-02 09:27:09,M0366,M0019,49901581.55,transfer,bank_transfer,success,M2M settlement - F&B,REF70654749
T000059,2025-11-30 14:55:43,C00649,M0253,219355.15,QRIS,QRIS,success,C2M payment - Fashion,REF87789051
T000060,2025-10-20 10:33:52,C00477,M0318,271019.13,QRIS,QRIS,success,C2M payment - Fashion,REF68261057
T000061,2026-06-21 21:42:14,C00884,M0070,60894.94,transfer,bank_transfer,success,C2M payment - F&B,REF45222154
T000062,2025-12-13 07:40:28,C00922,M0475,323412.63,QRIS,QRIS,success,C2M payment - Grocery,REF35156681
T000063,2026-02-24 16:55:36,C01205,M0548,3705825.42,transfer,bank_transfer,success,C2M payment - Electronics,REF27455369
T000064,2025-12-10 13:05:42,C01158,M0338,1601677.76,QRIS,QRIS,success,C2M payment - Fashion,REF08627633
T000065,2026-06-07 00:03:26,C00193,M0450,108943.05,QRIS,QRIS,success,C2M payment - Grocery,REF98876177
T000066,2025-08-26 09:11:55,C00394,M0563,4949266.71,transfer,bank_transfer,success,C2M payment - Electronics,REF05041879
T000067,2026-01-12 20:37:49,C00439,M0397,350531.64,transfer,bank_transfer,success,C2M payment - Grocery,REF80017346
T000068,2026-05-10 01:44:27,C01555,M0381,308746.15,EDC,debit,success,C2M payment - Grocery,REF27087511
T000069,2025-09-20 09:36:01,C00952,M0332,274048.53,QRIS,QRIS,success,C2M payment - Fashion,REF46825484
T000070,2025-08-30 04:52:43,M0329,M0605,6614862.02,transfer,bank_transfer,success,M2M settlement - Automotive,REF15846114
T000071,2026-06-28 09:54:16,C01351,M0321,1200273.48,EDC,credit_card,success,C2M payment - Fashion,REF53107526
T000072,2026-01-29 20:21:55,C01493,M0249,,QRIS,QRIS,success,C2M payment - Fashion,REF66852050
T000073,2025-07-09 06:16:10,C01380,M0231,966623.42,EDC,debit,success,C2M payment - Fashion,REF86967487
T000074,2026-05-12 08:40:16,C00709,M0255,161543.77,EDC,credit_card,success,C2M payment - Fashion,REF03198950
T000075,2025-11-23 04:20:19,C00290,M0366,221036.12,EDC,debit,success,C2M payment - Grocery,REF19249969
T000076,2025-12-17 15:17:01,M0453,M0512,40579447.18,transfer,bank_transfer,success,M2M settlement - Electronics,REF14747022
T000077,2026-03-27 14:03:48,M0135,M0196,19424430.76,QRIS,QRIS,success,M2M settlement - F&B,REF55642068
T000078,2026-05-09 20:07:31,C00858,M0158,100579.9,EDC,debit,success,C2M payment - F&B,REF23276440
T000079,2025-07-14 19:02:36,C01913,M0653,2053858.43,transfer,bank_transfer,success,C2M payment - Automotive,REF31749675
T000080,2025-12-28 13:02:00,C00157,M0555,879643.24,QRIS,QRIS,success,C2M payment - Electronics,REF91422348
T000081,2025-12-07 03:02:27,C00979,M0019,75975.74,transfer,bank_transfer,success,C2M payment - F&B,REF97694481
T000082,2025-10-12 06:53:03,M0356,M0091,29847853.51,transfer,bank_transfer,success,M2M settlement - F&B,REF45814880
T000083,2025-11-25 11:40:51,M0253,M0408,27926922.09,transfer,bank_transfer,success,M2M settlement - Grocery,REF96511292
T000084,2025-08-05 23:29:21,C00966,M0603,1910452.33,EDC,credit_card,success,C2M payment - Automotive,REF63426881
T000085,2026-02-23 06:20:31,C00006,M0095,119089.39,QRIS,QRIS,success,C2M payment - F&B,REF00786773
T000086,2026-06-22 06:51:40,C00009,M0326,575333.18,EDC,debit,success,C2M payment - Fashion,REF62852938
T000087,2026-05-02 01:25:06,C00330,M0610,881947.09,transfer,bank_transfer,success,C2M payment - Automotive,REF80847013
T000088,2026-03-23 17:56:36,M0351,M0440,13717508.02,QRIS,QRIS,success,M2M settlement - Grocery,REF16508972
T000089,2025-07-01 14:56:53,C00436,M0203,56801.8,transfer,bank_transfer,success,C2M payment - F&B,REF71915123
T000090,2026-01-27 20:56:26,C01617,M0184,82650.55,EDC,credit_card,success,C2M payment - F&B,REF86499309
T000091,2025-12-27 00:32:17,C00664,M0623,3084044.45,transfer,bank_transfer,success,C2M payment - Automotive,REF09829510
T000092,2026-05-14 23:57:48,C01066,M0211,884437.66,EDC,debit,success,C2M payment - Fashion,REF87492883
T000093,2026-02-25 15:24:11,M0357,M0382,20529105.52,transfer,bank_transfer,success,M2M settlement - Grocery,REF91987180
T000094,2026-05-11 08:08:28,C01272,M0541,3091855.83,QRIS,QRIS,success,C2M payment - Electronics,REF50400754
T000095,2025-08-26 11:51:45,M0328,M0393,50515712.78,transfer,bank_transfer,success,M2M settlement - Grocery,REF63195972
T000096,2026-01-21 03:21:26,M0165,M0016,51741743.08,transfer,bank_transfer,success,M2M settlement - F&B,REF27483711
T000097,2025-11-12 08:07:48,C00711,M0227,588229.35,EDC,debit,success,C2M payment - Fashion,REF71806359
T000098,2026-01-31 17:33:35,C01494,M0579,1566821.85,QRIS,QRIS,success,C2M payment - Electronics,REF85174581
T000099,2025-09-16 04:53:53,C01972,M0565,2522085.68,EDC,debit,success,C2M payment - Electronics,REF14536230
T000100,2026-02-15 04:28:23,C00528,M0528,440162.9,QRIS,QRIS,success,C2M payment - Electronics,REF41928089
T000101,2025-12-26 16:58:58,C01288,M0443,214683.6,EDC,credit_card,success,C2M payment - Grocery,REF35911780
T000102,2025-10-30 10:37:17,C00212,M0580,876777.7,EDC,credit_card,success,C2M payment - Electronics,REF79394840
T000103,2025-09-20 14:06:27,C01971,M0352,75134.95,EDC,credit_card,success,C2M payment - Grocery,REF56241521
T000104,2026-06-13 06:55:55,M0488,M0502,14890579.71,transfer,bank_transfer,success,M2M settlement - Electronics,REF08309872
T000105,2025-11-30 04:02:29,C01909,M0009,300503.19,EDC,debit,success,C2M payment - F&B,REF91156307
T000106,2025-12-02 14:29:50,M0402,M0444,8345332.97,transfer,bank_transfer,success,M2M settlement - Grocery,REF03850891
T000107,2025-08-28 11:12:31,M0542,M0034,75000000.0,transfer,bank_transfer,success,M2M settlement - F&B,REF45251065
T000108,2026-03-29 02:25:24,C01717,M0481,109648.52,QRIS,QRIS,success,C2M payment - Grocery,REF84843802
T000109,2025-08-01 12:59:07,C01355,M0518,1571278.04,QRIS,QRIS,success,C2M payment - Electronics,REF21949587
T000110,2026-05-07 01:50:09,C00008,M0128,135857.48,transfer,bank_transfer,success,C2M payment - F&B,REF18887665
T000111,2025-08-10 08:33:37,C01723,M0292,986847.67,QRIS,QRIS,success,C2M payment - Fashion,REF53305644
T000112,2025-07-01 01:56:46,C01827,M0087,42921.13,QRIS,QRIS,success,C2M payment - F&B,REF79109899
T000113,2025-11-12 19:33:51,C00811,M0669,2417642.05,transfer,bank_transfer,success,C2M payment - Automotive,REF94219337
T000114,2026-04-22 10:07:38,C00173,M0681,1382983.64,transfer,bank_transfer,success,C2M payment - Automotive,REF69065097
T000115,2025-08-31 03:47:24,C01326,M0639,779242.09,QRIS,QRIS,success,C2M payment - Automotive,REF44875278
T000116,2025-11-02 02:02:52,C01564,M0232,665417.84,QRIS,QRIS,success,C2M payment - Fashion,REF33101134
T000117,2025-07-15 19:06:53,C01345,M0522,1753048.6,EDC,debit,success,C2M payment - Electronics,REF22617888
T000118,2025-11-18 04:48:12,C00446,M0529,1898499.13,transfer,bank_transfer,success,C2M payment - Electronics,REF73758404
T000119,2025-12-29 18:24:44,C01221,M0025,56349.41,QRIS,QRIS,success,C2M payment - F&B,REF23115649
T000120,2025-07-29 01:37:24,C01688,M0584,460512.38,EDC,credit_card,success,C2M payment - Electronics,REF47677106
T000121,2026-01-22 14:58:28,C01570,M0181,57119.91,transfer,bank_transfer,success,C2M payment - F&B,REF20200019
T000122,2026-05-10 15:02:19,M0421,M0417,6298827.85,transfer,bank_transfer,success,M2M settlement - Grocery,REF91971947
T000123,2025-08-30 08:17:35,C00811,M0180,159921.85,transfer,bank_transfer,success,C2M payment - F&B,REF58988525
T000124,2025-07-10 13:01:47,C01341,M0555,1194353.41,EDC,debit,success,C2M payment - Electronics,REF20039354
T000125,2025-07-10 00:35:09,C00017,M0150,65440.81,QRIS,QRIS,success,C2M payment - F&B,REF28766490
T000126,2025-10-14 04:46:18,C01100,M0699,1354663.66,QRIS,QRIS,success,C2M payment - Automotive,REF52474960
T000127,2026-03-29 14:15:47,C00661,M0273,244547.32,EDC,debit,success,C2M payment - Fashion,REF96368927
T000128,2026-05-21 12:00:01,M0110,M0347,3249792.28,transfer,bank_transfer,success,M2M settlement - Fashion,REF48079956
T000129,2025-08-05 16:03:02,C00668,M0224,915048.96,QRIS,QRIS,success,C2M payment - Fashion,REF18058622
T000130,2025-12-15 12:17:03,C01697,M0078,47765.15,QRIS,QRIS,success,C2M payment - F&B,REF07575942
T000131,2026-05-08 19:13:03,C00420,M0620,5402046.04,EDC,debit,success,C2M payment - Automotive,REF54789293
T000132,2026-01-28 08:45:35,C00915,M0582,1160720.08,QRIS,QRIS,success,C2M payment - Electronics,REF87728849
T000133,2025-07-21 05:41:12,C01542,M0371,524499.48,QRIS,QRIS,success,C2M payment - Grocery,REF16383554
T000134,2025-12-24 22:24:41,M0242,M0273,2379864.15,transfer,bank_transfer,success,M2M settlement - Fashion,REF89816262
T000135,2026-02-09 23:44:11,C00472,M0389,302203.27,QRIS,QRIS,success,C2M payment - Grocery,REF33479182
T000136,2026-04-01 17:00:51,C00671,M0307,5181304.62,QRIS,QRIS,success,C2M payment - Fashion,REF61687934
T000137,2025-09-26 01:59:04,M0384,M0215,10105661.12,transfer,bank_transfer,success,M2M settlement - Fashion,REF30974663
T000138,2025-11-29 09:56:38,M0574,M0224,45699394.61,transfer,bank_transfer,success,M2M settlement - Fashion,REF15478747
T000139,2026-06-11 18:20:46,M0034,M0190,11277910.38,transfer,bank_transfer,success,M2M settlement - F&B,REF10074705
T000140,2025-11-05 20:38:33,C01878,M0094,111359.96,EDC,debit,success,C2M payment - F&B,REF84663316
T000141,2026-02-27 12:07:35,C01322,M0200,29268.07,EDC,credit_card,success,C2M payment - F&B,REF77283912
T000142,2025-09-05 16:15:57,C00821,M0627,1888651.12,EDC,debit,success,C2M payment - Automotive,REF38984471
T000143,2025-07-30 12:31:07,M0614,M0257,4619286.29,EDC,debit,success,M2M settlement - Fashion,REF61939301
T000144,2026-05-04 15:46:24,C00125,M0381,179778.06,EDC,debit,success,C2M payment - Grocery,REF79505199
T000145,2025-07-01 11:42:46,C00718,M0095,77871.94,EDC,debit,success,C2M payment - F&B,REF43336837
T000146,2025-07-23 10:22:19,C00566,M0572,1706968.76,QRIS,QRIS,pending,C2M payment - Electronics,REF97831874
T000147,2026-05-25 13:58:56,C00870,M0408,159815.42,QRIS,QRIS,failed,C2M payment - Grocery,REF57391320
T000148,2026-02-17 11:10:21,C00388,M0662,977089.8,EDC,debit,success,C2M payment - Automotive,REF15862937
T000149,2026-05-27 10:44:29,C01969,M0193,179917.98,transfer,bank_transfer,pending,C2M payment - F&B,REF89931780
T000150,2026-02-26 15:31:39,M0353,M0444,3605473.45,EDC,debit,success,M2M settlement - Grocery,REF32629293
T000151,2025-12-28 19:15:19,C00965,M0487,130948.13,EDC,debit,success,C2M payment - Grocery,REF65870130
T000152,2025-09-01 13:26:57,C00692,M0361,239639.81,QRIS,QRIS,success,C2M payment - Grocery,REF94208175
T000153,2025-07-22 04:31:14,C01393,M0477,679336.86,QRIS,QRIS,success,C2M payment - Grocery,REF79216209
T000154,2025-07-19 16:08:27,C01024,M0431,107187.72,EDC,debit,failed,C2M payment - Grocery,REF89184983
T000155,2025-07-03 01:52:30,M0350,M0232,41584947.74,transfer,bank_transfer,success,M2M settlement - Fashion,REF29300673
T000156,2025-11-18 20:32:34,C01389,M0025,95461.34,EDC,debit,success,C2M payment - F&B,REF35455439
T000157,2026-03-18 17:49:49,C01677,M0139,65303.51,QRIS,QRIS,success,C2M payment - F&B,REF26592581
T000158,2025-12-30 22:12:55,C00996,M0402,455771.13,QRIS,QRIS,success,C2M payment - Grocery,REF14161752
T000159,2025-07-27 11:16:24,C01830,M0380,345451.99,transfer,bank_transfer,success,C2M payment - Grocery,REF76418058
T000160,2026-04-07 00:20:15,C00978,M0417,136511.28,EDC,debit,success,C2M payment - Grocery,REF37040739
T000161,2025-07-21 23:50:30,C01877,M0380,364802.52,QRIS,QRIS,success,C2M payment - Grocery,REF98860355
T000162,2025-07-05 19:36:31,M0598,M0066,8232265.89,transfer,bank_transfer,success,M2M settlement - F&B,REF86124269
T000163,2026-05-30 01:23:35,M0623,M0079,17046404.0,transfer,bank_transfer,success,M2M settlement - F&B,REF41486361
T000164,2026-04-11 11:18:11,C00695,M0024,124823.73,QRIS,QRIS,success,C2M payment - F&B,REF24740211
T000165,2026-06-22 17:25:16,C01768,M0698,905944.15,QRIS,QRIS,success,C2M payment - Automotive,REF94038494
T000166,2026-02-17 05:29:39,C00724,M0216,139730.68,EDC,debit,success,C2M payment - Fashion,REF57054659
T000167,2026-01-31 01:53:52,C01952,M0602,5576566.51,EDC,credit_card,success,C2M payment - Automotive,REF43805809
T000168,2026-03-20 20:37:38,M0320,M0620,55640332.21,transfer,bank_transfer,success,M2M settlement - Automotive,REF12604776
T000169,2026-06-23 03:41:12,C01442,M0166,58412.56,QRIS,QRIS,failed,C2M payment - F&B,REF58207025
T000170,2026-01-20 07:54:35,M0287,M0350,16663807.94,transfer,bank_transfer,success,M2M settlement - Fashion,REF66469385
T000171,2025-09-27 19:43:32,C00617,M0140,152775.83,EDC,debit,success,C2M payment - F&B,REF09587692
T000172,2025-12-22 18:15:59,M0124,M0095,21849221.03,transfer,bank_transfer,failed,M2M settlement - F&B,REF11902778
T000173,2025-08-29 23:39:45,C01175,M0218,1078121.33,QRIS,QRIS,success,C2M payment - Fashion,REF29726673
T000174,2026-01-14 23:54:13,C00579,M0129,41694.54,QRIS,QRIS,success,C2M payment - F&B,REF85663792
T000175,2025-09-12 00:33:18,M0239,M0176,35630906.71,EDC,debit,success,M2M settlement - F&B,REF26568845
T000176,2025-08-23 12:40:37,C00885,M0162,57907.88,transfer,bank_transfer,success,C2M payment - F&B,REF10815722
T000177,2026-02-15 13:09:25,C00063,M0050,79492.7,QRIS,QRIS,success,C2M payment - F&B,REF11155879
T000178,2026-04-06 23:13:14,M0034,M0433,37460189.01,transfer,bank_transfer,success,M2M settlement - Grocery,REF11595908
T000179,2026-01-10 09:51:48,C01562,M0564,1480051.8,transfer,bank_transfer,success,C2M payment - Electronics,REF93058844
T000180,2025-09-02 00:59:18,C01390,M0381,177395.85,transfer,bank_transfer,success,C2M payment - Grocery,REF93685923
T000181,2025-08-04 15:46:49,C00722,M0355,182043.01,QRIS,QRIS,success,C2M payment - Grocery,REF27197486
T000182,2025-08-21 02:53:11,C00015,M0035,131864.16,EDC,debit,success,C2M payment - F&B,REF00954573
T000183,2026-04-20 11:59:22,C01190,M0135,134218.84,EDC,debit,success,C2M payment - F&B,REF62020271
T000184,2026-04-11 01:29:05,C00147,M0192,90895.33,EDC,debit,success,C2M payment - F&B,REF52592645
T000185,2026-05-25 00:41:56,C00913,M0412,665732.36,EDC,debit,success,C2M payment - Grocery,REF37897850
T000186,2026-05-24 17:05:04,C01635,M0484,247618.2,QRIS,QRIS,success,C2M payment - Grocery,REF17367900
T000187,2026-05-29 10:45:04,C01915,M0553,10043111.63,QRIS,QRIS,success,C2M payment - Electronics,REF47226384
T000188,2026-03-08 00:19:23,C01294,M0499,1132438.45,EDC,debit,failed,C2M payment - Electronics,REF18653154
T000189,2026-06-16 11:24:03,C00969,M0438,173473.24,EDC,debit,failed,C2M payment - Grocery,REF02448911
T000190,2025-12-03 14:12:53,M0238,M0702,40618016.54,transfer,bank_transfer,success,M2M settlement - Fashion,REF85636431
T000191,2026-06-30 02:35:57,C00179,M0675,988989.09,transfer,bank_transfer,success,C2M payment - Automotive,REF21559984
T000192,2025-08-22 18:45:44,C01738,M0221,1439795.09,EDC,credit_card,success,C2M payment - Fashion,REF51709085
T000193,2026-01-18 02:44:26,C01691,M0532,1023964.8,EDC,debit,success,C2M payment - Electronics,REF00865389
T000194,2025-07-17 13:45:54,C01538,M0040,68917.83,EDC,debit,success,C2M payment - F&B,REF35266142
T000195,2025-09-08 20:58:09,C01615,M0117,140376.29,EDC,credit_card,success,C2M payment - F&B,REF16562032
T000196,2025-08-02 07:44:44,M0572,M0241,,EDC,credit_card,success,M2M settlement - Fashion,REF37097059
T000197,2026-04-07 08:52:45,C01264,M0573,3477877.88,EDC,debit,success,C2M payment - Electronics,REF23434554
T000198,2025-07-28 20:12:13,C00273,M0598,6052510.62,transfer,bank_transfer,success,C2M payment - Automotive,REF56189628
T000199,2026-05-21 13:40:51,C00002,M0371,303526.33,QRIS,QRIS,pending,C2M payment - Grocery,REF14649006
T000200,2025-10-02 09:25:22,M0164,M0188,42726456.32,transfer,bank_transfer,success,M2M settlement - F&B,REF35815662
T000201,2026-03-06 09:17:37,C00855,M0305,352043.02,QRIS,QRIS,success,C2M payment - Fashion,REF59289453
T000202,2025-12-24 12:13:45,M0342,M0187,7192202.45,EDC,debit,success,M2M settlement - F&B,REF67062080
T000203,2026-04-29 11:01:03,C01279,M0139,186880.68,EDC,debit,success,C2M payment - F&B,REF06145682
T000204,2025-07-31 21:12:00,M0207,M0489,12872118.39,QRIS,QRIS,success,M2M settlement - Grocery,REF97914871
T000205,2025-11-30 07:03:57,C00703,M0672,4656447.28,EDC,credit_card,success,C2M payment - Automotive,REF58479948
T000206,2026-03-22 15:31:13,C01919,M0585,4589701.8,QRIS,QRIS,success,C2M payment - Electronics,REF47399685
T000207,2025-10-13 12:44:40,C00110,M0547,8395313.12,EDC,debit,success,C2M payment - Electronics,REF74255339
T000208,2025-10-04 15:45:11,C01324,M0303,508437.23,EDC,credit_card,success,C2M payment - Fashion,REF60134659
T000209,2026-06-01 22:42:13,M0354,M0396,48840142.38,transfer,bank_transfer,success,M2M settlement - Grocery,REF73723941
T000210,2026-03-25 01:37:38,M0197,M0115,6830574.78,transfer,bank_transfer,success,M2M settlement - F&B,REF98344392
T000211,2026-04-06 20:49:02,C00685,M0018,77609.62,transfer,bank_transfer,success,C2M payment - F&B,REF95480631
T000212,2026-06-25 13:16:52,C00452,M0133,666029.45,QRIS,QRIS,success,C2M payment - F&B,REF16105617
T000213,2026-05-05 21:00:27,C00946,M0278,856694.31,QRIS,QRIS,success,C2M payment - Fashion,REF82281949
T000214,2026-05-26 18:31:55,M0602,M0323,52095665.77,transfer,bank_transfer,success,M2M settlement - Fashion,REF15232794
T000215,2026-06-19 23:24:05,C00049,M0340,246798.38,QRIS,QRIS,success,C2M payment - Fashion,REF30947175
T000216,2025-08-08 22:25:38,C00093,M0030,38075.1,QRIS,QRIS,success,C2M payment - F&B,REF29895605
T000217,2026-02-13 16:30:37,M0325,M0259,8190139.21,transfer,bank_transfer,success,M2M settlement - Fashion,REF53930669
T000218,2025-10-20 03:09:07,M0083,M0013,3181244.81,transfer,bank_transfer,success,M2M settlement - F&B,REF52253467
T000219,2026-04-20 16:30:22,C01182,M0167,135735.83,QRIS,QRIS,failed,C2M payment - F&B,REF06369455
T000220,2026-06-17 05:37:49,C01578,M0155,157822.69,EDC,debit,success,C2M payment - F&B,REF05152229
T000221,2026-05-04 18:49:34,C00353,M0566,786799.35,transfer,bank_transfer,success,C2M payment - Electronics,REF49495182
T000222,2026-02-21 15:19:01,M0379,M0406,12681562.73,transfer,bank_transfer,success,M2M settlement - Grocery,REF01881746
T000223,2026-02-27 19:29:35,C00667,M0319,393638.51,EDC,credit_card,success,C2M payment - Fashion,REF23009126
T000224,2025-11-17 08:43:28,C00334,M0109,223177.49,QRIS,QRIS,success,C2M payment - F&B,REF19006246
T000225,2026-06-01 02:49:10,C01578,M0301,663385.76,EDC,debit,success,C2M payment - Fashion,REF05259552
T000226,2026-03-02 09:41:02,C00333,M0656,1736476.24,transfer,bank_transfer,success,C2M payment - Automotive,REF88294212
T000227,2026-05-30 12:16:09,C01293,M0646,1582496.48,transfer,bank_transfer,success,C2M payment - Automotive,REF54256889
T000228,2026-01-10 02:51:43,M0154,M0013,12787681.46,transfer,bank_transfer,success,M2M settlement - F&B,REF25699950
T000229,2026-03-01 05:14:26,C01651,M0294,256186.17,EDC,debit,success,C2M payment - Fashion,REF92312100
T000230,2025-12-28 06:16:00,M0177,M0153,3862506.94,transfer,bank_transfer,success,M2M settlement - F&B,REF38070294
T000231,2025-10-05 17:27:45,C00566,M0546,1510442.26,QRIS,QRIS,success,C2M payment - Electronics,REF72636854
T000232,2025-12-10 18:42:35,C01223,M0644,1629853.81,transfer,bank_transfer,success,C2M payment - Automotive,REF14871559
T000233,2026-04-30 00:50:05,M0649,M0369,75000000.0,transfer,bank_transfer,success,M2M settlement - Grocery,REF46976360
T000234,2026-04-25 12:13:01,M0653,M0166,15038855.55,QRIS,QRIS,pending,M2M settlement - F&B,REF24766840
