trx_id,timestamp,source_id,target_id,amount,channel,status,description,ref_number
T027185,2025-08-09 19:45:37,C01395,M0353,30987.0,QRIS,success,,REF55051502
T043778,2025-08-15 05:59:56,C00562,M0051,208166.0,QRIS,success,,REF12389840
T030078,2025-08-13 20:00:34,C00022,M0157,49623.0,QRIS,success,,REF84522462
T038693,2026-04-10 04:15:21,C01668,M0159,12782.0,QRIS,success,,REF65472297
T023701,2025-08-09 01:37:58,M0267,M0206,,QRIS,failed,DP pembelian,REF87443970
T014247,2026-05-30 15:29:13,M0027,M0035,4979021.0,EDC,success,Pelunasan,REF96105191
T043994,2026-05-24 13:30:50,C00996,M0157,45261.0,QRIS,success,,REF28109887
T005005,2026-02-17 13:42:12,M0172,M0169,11477739.0,EDC,success,Pembayaran bulanan,REF70361485
T035725,2025-12-04 04:51:25,C01652,M0073,534033.0,EDC,success,,REF90497520
T026472,2026-06-12 21:27:42,M0079,M0002,18685849.0,EDC,success,Bayar supplier,REF84790986
T013976,2025-08-26 11:04:11,M0051,M0034,14052450.0,transfer,success,Pembayaran bahan,REF66886660
T004930,2025-07-29 06:12:45,M0001,M0101,5250585.0,transfer,failed,,REF06860752
T008044,2026-03-31 23:35:53,M0402,M0063,1020676.0,EDC,success,,REF26880293
T015145,2025-08-21 22:58:25,M0197,M0162,3316025.0,transfer,success,Payment invoice,REF48848305
T007590,2025-09-14 17:24:31,M0004,M0101,1779168.0,QRIS,success,,REF42720979
T035759,2026-06-20 05:26:29,C01879,M0385,189590.0,EDC,success,,REF04713418
T033087,2025-09-29 01:23:08,C01288,M0373,27388.0,EDC,success,,REF69166436
T022286,2025-08-11 18:03:38,M0134,M0140,,transfer,failed,DP pembelian,REF11641950
T014708,2025-10-02 00:10:41,M0328,M0287,1480374.0,transfer,success,,REF84073049
T027912,2025-12-27 03:07:47,C00579,M0091,32893.0,QRIS,success,,REF81726913
T009090,2026-04-22 01:16:14,M0386,M0363,2450354.0,QRIS,success,Pelunasan,REF74474538
T022619,2026-06-16 16:25:09,M0255,M0264,1662416.0,QRIS,success,,REF41595999
T042066,2025-08-06 18:34:51,C01318,M0397,117184.0,QRIS,pending,,REF25118088
T045203,2026-06-03 21:23:18,M0355,M0381,,transfer,pending,Payment invoice,REF96760155
T009016,2025-08-03 12:52:34,M0356,M0358,2715377.0,transfer,success,Bayar supplier,REF90713525
T036213,2026-06-13 16:39:26,C00143,M0330,14190.0,transfer,pending,,REF59962740
T045899,2025-11-30 01:04:53,M0099,M0072,13802833.0,transfer,success,Pembayaran bulanan,REF12707251
T036427,2025-12-23 17:19:24,C00222,M0130,89786.0,QRIS,success,,REF79297467
T010617,2025-09-22 21:56:03,M0362,M0387,4110617.0,transfer,success,Pelunasan,REF99370042
T021161,2025-11-24 11:16:10,M0291,M0332,7911121.0,transfer,success,,REF57270137
T021528,2026-04-06 13:17:04,M0050,M0035,781386.0,transfer,success,Bayar supplier,REF80332768
T017938,2025-10-01 13:09:16,M0090,M0060,11491373.0,transfer,success,Payment invoice,REF62239301
T005884,2026-04-28 15:44:54,M0056,M0002,10234604.0,QRIS,success,,REF83174336
T018271,2025-09-08 23:19:33,M0037,M0072,,transfer,failed,,REF99807141
T039897,2025-11-26 07:13:39,C00777,M0038,24692.0,QRIS,success,,REF37056846
T001475,2026-04-14 17:53:12,M0183,M0139,,QRIS,pending,,REF20111716
T014203,2025-10-04 08:48:56,M0039,M0034,748139.0,EDC,success,Pelunasan,REF04441689
T013589,2026-03-15 08:48:15,M0268,M0230,12700848.0,transfer,success,,REF50967583
T007526,2026-06-30 05:59:01,M0404,M0129,12797920.0,QRIS,success,Pembayaran bulanan,REF63107468
T039990,2025-07-23 13:53:47,C00702,M0168,140103.0,EDC,success,,REF86922541
T023864,2025-08-11 23:44:12,M0228,M0244,,transfer,failed,,REF23313155
T044405,2026-04-27 13:02:16,C01651,M0259,55255.0,QRIS,success,,REF97292317
T030859,2025-12-20 00:00:34,C00983,M0113,26185.0,EDC,success,,REF94344915
T011157,2025-12-22 02:21:03,M0128,M0140,780468.0,transfer,success,DP pembelian,REF86285305
T018993,2025-08-01 09:25:41,M0033,M0069,9639966.0,EDC,success,DP pembelian,REF65870079
T008392,2025-07-21 21:59:07,M0232,M0257,497114.0,transfer,success,,REF80675474
T027517,2025-10-02 20:25:43,C00896,M0226,43495.0,EDC,success,,REF98299006
T038075,2025-08-03 00:59:52,C00340,M0145,22790.0,EDC,success,,REF00838714
T025697,2025-07-28 21:04:21,M0053,M0096,10394674.0,QRIS,success,,REF83845036
T007720,2026-01-24 13:12:23,M0181,M0139,2188846.0,transfer,failed,Bayar supplier,REF72992381
T030724,2026-02-04 00:30:09,C00771,M0019,24903.0,QRIS,success,,REF13043261
T003208,2025-11-19 03:57:37,M0121,M0160,,EDC,failed,Pelunasan,REF72503923
T011273,2026-04-04 00:57:32,M0052,M0035,1600481.0,EDC,success,Payment invoice,REF53197453
T019101,2026-01-14 08:59:02,M0267,M0231,1447264.0,transfer,success,Pembayaran bahan,REF12899314
T004055,2026-06-17 04:29:32,M0275,M0219,3572839.0,QRIS,success,,REF92378546
T003944,2025-12-09 09:50:22,M0094,M0101,944720.0,EDC,success,Pembayaran bahan,REF25120527
T010876,2026-06-28 17:19:04,M0239,M0206,731859.0,QRIS,success,Pembelian stok,REF19746568
T008937,2026-01-25 12:35:11,M0181,M0135,5874750.0,transfer,success,Pelunasan,REF03181912
T025113,2026-03-20 15:27:22,M0247,M0258,7006792.0,transfer,success,Bayar tagihan,REF35184682
T042357,2026-05-29 12:08:39,C01843,M0190,160084.0,EDC,success,,REF70233956
T005156,2026-04-06 02:49:37,M0267,M0206,584858.0,transfer,success,,REF54887558
T006126,2025-09-04 23:30:30,M0233,M0243,1205977.0,transfer,success,Pembelian stok,REF27017521
T023112,2025-07-25 06:02:36,M0232,M0401,468944.0,transfer,success,,REF20728891
T002598,2025-09-17 08:12:53,M0128,M0147,11420673.0,QRIS,success,Pelunasan,REF41028730
T015101,2025-11-08 03:29:17,M0237,M0231,447119.0,transfer,failed,Payment invoice,REF06373607
T001666,2025-12-19 16:13:03,M0379,M0387,11083891.0,transfer,success,DP pembelian,REF07550603
T029614,2025-12-01 07:13:56,C00182,M0019,100351.0,EDC,success,,REF54703107
T001990,2025-11-03 13:02:32,M0375,M0364,-6309953.0,transfer,failed,Pengembalian,REF05582701
T001085,2026-03-02 04:59:07,M0026,M0406,3964627.0,EDC,success,Payment invoice,REF91632664
T000313,2026-06-13 06:07:29,M0189,M0135,,transfer,pending,Payment invoice,REF91534172
T002510,2025-09-22 01:04:41,M0128,M0141,2236602.0,EDC,success,Pelunasan,REF38205689
T012610,2025-07-20 16:02:39,M0268,M0202,8802311.0,transfer,success,,REF87534151
T036950,2025-08-09 22:13:34,C00519,M0023,39564.0,QRIS,success,,REF96644757
T040124,2025-09-02 19:19:36,C01313,M0209,37534.0,QRIS,success,,REF11118520
T027097,2026-01-01 06:24:32,C00341,M0281,372467.0,transfer,success,,REF33930720
T000757,2025-11-23 11:55:59,M0327,M0287,1477620.0,QRIS,success,Pembayaran bulanan,REF68302381
T020861,2026-03-10 22:17:40,M0098,M0088,468002.0,EDC,success,Bayar supplier,REF86565382
T011866,2026-02-10 21:29:14,M0071,M0076,7284790.0,EDC,success,,REF65851840
T016568,2025-12-13 21:07:57,M0254,M0276,1162302.0,transfer,success,,REF13362343
T024989,2025-08-02 20:54:29,M0353,M0383,1465139.0,EDC,failed,DP pembelian,REF85826392
T008733,2026-01-02 06:03:54,M0048,M0101,9476335.0,EDC,success,,REF90050463
T009520,2026-06-18 07:52:03,M0178,M0140,880867.0,transfer,success,Pembayaran bahan,REF70718406
T013535,2025-12-27 17:19:44,M0259,M0245,5525002.0,transfer,success,,REF17428464
T002186,2026-02-23 22:54:37,M0394,M0342,1181345.0,transfer,success,DP pembelian,REF35340699
T027780,2026-05-29 14:41:12,C01810,M0089,37276.0,QRIS,success,,REF16508354
T017272,2025-08-24 16:24:08,M0239,M0231,3912931.0,transfer,success,,REF99443450
T031452,2026-01-21 06:17:30,C01800,M0396,177249.0,EDC,success,,REF54278272
T019028,2026-03-23 21:40:56,M0355,M0400,-2467667.0,EDC,success,Pengembalian,REF44528864
T009006,2026-04-15 07:36:49,M0345,M0363,12718485.0,QRIS,success,Payment invoice,REF91225149
T032091,2025-07-20 02:37:44,C01534,M0003,87145.0,EDC,success,,REF26960998
T010329,2025-07-01 09:19:54,M0156,M0129,1531819.0,transfer,success,,REF88018814
T019018,2025-11-30 13:25:10,M0267,M0231,1673906.0,EDC,success,,REF51315198
T025553,2026-04-15 15:40:03,M0106,M0248,557207.0,QRIS,success,,REF11962678
T010214,2025-07-12 13:52:48,M0266,M0257,9458943.0,,success,Pembayaran bahan,REF74576443
T029198,2025-12-23 00:17:12,C00670,M0239,350142.0,QRIS,success,,REF53087474
T028174,2026-03-15 14:53:38,C01107,M0397,15158.0,QRIS,success,,REF31385204
T035276,2026-06-25 19:55:50,C01986,M0106,439253.0,QRIS,success,,REF27519533
T031284,2026-04-24 17:47:36,C00496,M0328,102976.0,QRIS,success,,REF84785128
T002473,2026-04-20 04:10:08,M0221,M0244,1747434.0,EDC,success,Pembayaran bulanan,REF05440151
T024664,2026-02-05 09:36:43,M0145,M0199,7893853.0,transfer,success,Transfer pembayaran,REF68524769
T031565,2026-06-05 20:55:16,C01296,M0357,27913.0,QRIS,success,,REF13243941
T011139,2025-08-22 15:52:23,M0356,M0400,819743.0,QRIS,success,DP pembelian,REF03208458
T004309,2025-09-21 05:00:04,M0016,M0077,7296906.0,QRIS,success,Pembayaran bahan,REF72425886
T009668,2026-04-03 15:18:29,M0106,M0018,1247580.0,QRIS,success,,REF56618042
T039336,2026-03-28 17:33:45,C01024,M0091,13762.0,EDC,success,,REF94323767
T020530,2025-12-28 11:15:47,M0274,M0202,14234246.0,transfer,success,,REF54567884
T006621,2025-12-23 20:28:28,M0236,M0257,1246254.0,transfer,success,Pembayaran bahan,REF33645991
T030897,2026-02-09 04:14:37,C00274,M0296,27806.0,EDC,success,,REF39144846
T035426,2026-05-26 10:32:11,C00210,M0330,83648.0,EDC,success,,REF06203644
T036159,2026-06-08 21:09:52,C01037,M0393,437284.0,QRIS,success,,REF80832075
T020012,2026-03-17 17:43:55,M0271,M0201,1082069.0,transfer,success,,REF57019438
T000009,2025-10-06 18:10:04,M0408,M0174,1739504.0,transfer,success,Transfer pembayaran,REF22261196
T013796,2026-06-11 01:14:38,M0380,M0364,11212620.0,transfer,success,Pelunasan,REF27390618
T014810,2025-11-30 22:02:14,M0065,M0060,692303.0,transfer,success,Bayar supplier,REF27156603
T012924,2025-07-13 19:45:29,M0122,M0141,4022345.0,transfer,success,Pembelian stok,REF24453875
T031217,2026-03-11 07:01:26,C00492,M0290,44068.0,EDC,success,,REF54502807
T032558,2025-12-31 11:57:00,C00112,M0013,31883.0,QRIS,success,,REF32607011
T015825,2025-08-24 21:19:52,M0014,M0035,6488216.0,QRIS,success,,REF67227964
T025424,2026-01-08 21:04:43,M0359,M0387,3593001.0,QRIS,success,Transfer pembayaran,REF52981284
T018500,2025-12-19 20:12:25,M0185,M0127,,transfer,failed,Pembayaran bahan,REF22230643
T036303,2026-03-30 05:45:58,C01674,M0040,314862.0,QRIS,success,,REF87093102
T021261,2025-09-20 13:10:44,M0154,M0164,917958.0,transfer,success,,REF19358915
T030013,2026-04-29 22:34:07,C01510,M0122,-31479.0,EDC,success,Retur barang,REF12127921
T020909,2025-07-15 22:47:01,M0266,M0244,11898081.0,EDC,success,,REF85742677
T009237,2026-06-02 15:27:42,M0126,M0160,939400.0,transfer,success,DP pembelian,REF94777982
T039067,2026-05-25 02:13:07,C01581,M0239,26741.0,EDC,success,,REF90730435
T045244,2026-04-04 06:52:25,C00330,M0082,-84949.0,EDC,success,Refund - barang rusak,REF68577578
T020210,2025-12-07 14:38:27,M0402,M0191,14344092.0,transfer,success,Pelunasan,REF73876429
T044885,2025-07-18 00:52:12,C00095,M0321,15191.0,QRIS,success,,REF77553002
T015517,2025-08-23 17:31:27,M0310,M0287,1470384.0,QRIS,success,Payment invoice,REF99628309
T012922,2025-08-20 09:09:59,M0251,M0231,1251716.0,transfer,success,,REF44094323
T044403,2026-04-04 13:04:49,C00331,M0265,44151.0,QRIS,success,,REF16170133
T025381,2025-07-27 03:44:16,M0353,M0363,13102686.0,EDC,success,DP pembelian,REF95315042
T027894,2026-03-19 10:15:08,C00092,M0125,26345.0,QRIS,success,,REF79907355
T011321,2026-04-22 05:47:32,M0174,M0140,4143413.0,transfer,success,Pembayaran bahan,REF27919774
T016966,2026-05-12 18:37:23,M0270,M0230,6273564.0,transfer,success,,REF38410065
T032245,2026-06-18 10:33:22,C01950,M0091,13892.0,EDC,success,,REF00751373
T009514,2026-02-01 07:13:41,M0298,M0308,1200746.0,QRIS,success,Bayar supplier,REF89351754
T044207,2025-11-07 07:35:51,C01668,M0222,187126.0,EDC,success,,REF18436635
T000925,2025-07-07 23:50:59,M0241,M0262,13076891.0,transfer,success,,REF79827139
T022467,2025-11-09 21:25:47,M0327,M0286,1325342.0,transfer,success,,REF19979246
T015392,2026-03-20 13:01:57,M0275,M0401,772843.0,transfer,pending,,REF84347256
T040828,2026-04-28 03:05:37,C01776,M0407,63235.0,EDC,success,,REF70428348
T014936,2025-12-06 09:40:29,M0389,M0358,21921691.0,transfer,success,,REF36154972
T013935,2026-03-11 17:18:41,M0178,M0192,8902812.0,EDC,success,,REF75835572
T036502,2026-01-25 15:18:05,C01715,M0145,42969.0,EDC,success,,REF20488137
T028381,2026-06-12 15:48:09,C00031,M0181,483361.0,,success,,REF40268943
