merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_bni_acquiring,produk_bni,tgl_registrasi,status,skala_usaha,avg_omzet_bulanan
M0063,Warung Bu Rina,F&B,cafe,retailer,Bandung,Braga,Ya,QRIS + EDC,2023-10-02,aktif,UME,1981949030.0
M0062,Dapur Bu Maya,F&B,warung,retailer,Bogor,Sentul,Ya,QRIS + EDC,2021-10-15,aktif,UMI,33323312.0
M0061,Kedai Langgeng Baru,F&B,warung,retailer,Bandung,Dago,Ya,QRIS + EDC,2025-07-06,aktif,UKE,616228521.0
M0060,Kafe Sentosa Cemerlang,F&B,bakery,retailer,Bandung,Cihampelas,Ya,QRIS,2021-03-07,aktif,UKE,544749479.0
M0059,Sejahtera Boga Distribusi,F&B,catering,supplier,Jakarta,Thamrin,Ya,QRIS + EDC,2023-08-03,aktif,UME,3332772671.0
M0058,Bakery Adikara Sukses,F&B,cafe,retailer,Depok,Cinere,Ya,QRIS,2021-04-29,aktif,UKE,374919233.0
M0053,Grosir Bahan Pangan Mandala,F&B,catering,supplier,Tangerang,Karawaci,Ya,QRIS,2023-02-13,aktif,UMI,27575471.0
M0022,Gemilang Rasa Distribusi,F&B,catering,supplier,Bekasi,Grand Galaxy,Ya,QRIS,2026-01-11,aktif,UKE,532351642.0
M0052,Distribusi Boga Gemilang,F&B,catering,supplier,Tangerang,BSD,Ya,QRIS,2021-10-22,aktif,UMI,23610849.0
M0051,Dapur Mbak Ayu,F&B,catering,retailer,Tangerang,Cipondoh,Ya,QRIS + EDC,2025-06-05,aktif,UKE,215751215.0
M0050,PT Cakrawala Rasa Utama,F&B,warung,retailer,Jakarta,Menteng,Ya,QRIS + EDC,2023-09-11,aktif,UME,1663580485.0
M0048,Agen Bahan Kue Bu Lestari,F&B,warung,supplier,Tangerang,Alam Sutera,Ya,QRIS + EDC,2021-04-03,aktif,UKE,777585453.0
M0047,Supplier Horeka Mitra,F&B,catering,supplier,Depok,Sawangan,Ya,QRIS,2023-08-14,aktif,UKE,737187270.0
M0081,Distribusi Boga Prima,F&B,cafe,supplier,Jakarta,Pluit,Ya,QRIS,2022-02-09,aktif,UKE,463506020.0
M0080,UD Sahabat Sajian Internasional,F&B,warung,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2025-01-04,aktif,UMI,19054100.0
M0079,Kafe Mentari Sejati,F&B,cafe,retailer,Tangerang,BSD,Ya,QRIS,2025-01-24,aktif,UMI,67940244.0
M0077,Bakery Berkah Bersama,F&B,catering,retailer,Bekasi,Harapan Indah,Ya,QRIS,2021-11-14,aktif,UMI,29642094.0
M0076,Bakery Harmoni Abadi,F&B,bakery,retailer,Depok,Sawangan,Ya,QRIS,2023-01-08,aktif,UMI,32308933.0
M0075,UD Jelita Boga Niaga Raya,F&B,bakery,retailer,Bogor,Cibinong,Ya,QRIS + EDC,2021-07-23,aktif,UKE,430963587.0
M0073,Rumah Makan Mandala,F&B,catering,retailer,Jakarta,Sudirman,Ya,QRIS,2021-12-31,aktif,UMI,18269967.0
M0071,Kafe Kencana Pilihan,F&B,cafe,retailer,Bandung,Dago,Ya,QRIS,2021-05-20,aktif,UMI,27534473.0
M0069,Supplier Horeka Harmoni,F&B,bakery,supplier,Tangerang,Cipondoh,Ya,QRIS + EDC,2025-09-30,aktif,UMI,27281556.0
M0037,Nusantara Pangan Center,F&B,restaurant,retailer,Jakarta,Cempaka Putih,Ya,QRIS,2023-09-01,aktif,UKE,398655052.0
M0068,Kedai Sejahtera Bersama,F&B,warung,retailer,Bogor,Bogor Tengah,Ya,QRIS,2024-11-22,aktif,UMI,24423111.0
M0067,Kafe Bintang Bersama,F&B,catering,retailer,Tangerang,BSD,Ya,QRIS + EDC,2025-07-22,aktif,UMI,41003793.0
M0066,Kedai Langgeng Juara,F&B,bakery,retailer,Depok,Margonda,Ya,QRIS,2022-06-12,aktif,UKE,503808524.0
M0065,Warung Mas Bima,F&B,restaurant,retailer,Jakarta,Pluit,Ya,QRIS + EDC,2023-02-12,aktif,UMI,57037884.0
M0064,Dapur Pak Surya,F&B,catering,retailer,Bekasi,Summarecon,Ya,QRIS,2025-03-23,aktif,UMI,18091276.0
M0088,UD Prima Sajian Utama,F&B,catering,retailer,Bandung,Setiabudhi,Ya,QRIS + EDC,2021-06-04,aktif,UMI,74554788.0
M0085,Rumah Makan Sejahtera,F&B,bakery,retailer,Jakarta,Pluit,Ya,QRIS + EDC,2025-07-06,aktif,UMI,47443071.0
M0644,Sinar Auto Distribusi,Automotive,bengkel,supplier,Bandung,Setiabudhi,Ya,QRIS + EDC,2026-01-14,tidak aktif,UME,2876642661.0
M0642,Ban & Oli Karya Mandiri,Automotive,sparepart,retailer,Bekasi,Jababeka,Ya,QRIS + EDC,2022-01-08,aktif,UKE,603921763.0
M0641,Ban & Oli Nawasena Maju,Automotive,accessories,retailer,Bekasi,Harapan Indah,Ya,QRIS + EDC,2026-01-05,aktif,UKE,309038259.0
M0639,PT Tunas Auto Indonesia,Automotive,bengkel,retailer,Bogor,Dramaga,Ya,QRIS,2024-04-05,aktif,UME,3208711669.0
M0636,Ban & Oli Sejahtera Asri,Automotive,accessories,retailer,Jakarta,Kuningan,Ya,QRIS,2023-07-12,aktif,UMI,24101031.0
M0635,CV Sentosa Garage Persada,Automotive,dealer,retailer,Jakarta,Thamrin,Ya,QRIS + EDC,2021-05-28,aktif,UME,3089918927.0
M0632,Pelita Otomotif Distribusi,Automotive,dealer,supplier,Depok,Cinere,Ya,QRIS + EDC,2025-06-14,aktif,UKE,1136523913.0
M0084,Rumah Makan Anugerah,F&B,restaurant,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2021-05-28,aktif,UMI,80806833.0
M0083,Kedai Prima Sejati,F&B,warung,retailer,Depok,Cinere,Ya,QRIS + EDC,2024-04-16,tidak aktif,UMI,25499321.0
M0082,Rumah Makan Mentari,F&B,bakery,retailer,Tangerang,Cipondoh,Ya,QRIS,2021-10-25,aktif,UMI,46056429.0
M0104,CV Adikara Sajian Utama,F&B,catering,retailer,Bogor,Tanah Sareal,Ya,QRIS,2024-03-31,aktif,UKE,218706030.0
M0103,Berkah Pangan Market,F&B,catering,retailer,Bekasi,Grand Galaxy,Ya,QRIS + EDC,2022-06-03,aktif,UME,2257022115.0
M0101,Mandala Sajian House,F&B,bakery,retailer,Depok,Margonda,Ya,QRIS + EDC,2021-03-15,aktif,UKE,780991185.0
M0132,Kafe Arunika Juara,F&B,restaurant,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2022-03-02,aktif,UKE,481851032.0
M0597,Garasi Pak Darto,Automotive,accessories,retailer,Bandung,Dago,Ya,QRIS + EDC,2025-02-20,tidak aktif,UKE,583953275.0
M0628,Garasi Pak Wahyu,Automotive,accessories,retailer,Jakarta,Cempaka Putih,Ya,QRIS + EDC,2021-11-03,aktif,UKE,442020119.0
M0626,Garasi Mbak Ayu,Automotive,bengkel,retailer,Depok,Sawangan,Ya,QRIS + EDC,2021-09-14,aktif,UMI,34919673.0
M0622,Distributor Sparepart Kencana,Automotive,dealer,supplier,Bogor,Dramaga,Ya,QRIS,2023-09-30,aktif,UMI,58744400.0
M0618,CV Sinar Distribusi Nusantara,Automotive,bengkel,supplier,Tangerang,Karawaci,Ya,QRIS,2025-06-17,aktif,UKE,309019780.0
M0617,Garasi Bu Rina,Automotive,sparepart,retailer,Depok,Margonda,Ya,QRIS + EDC,2022-02-25,aktif,UMI,93068556.0
M0616,Distributor Sparepart Pelita,Automotive,dealer,supplier,Bogor,Tanah Sareal,Ya,QRIS + EDC,2021-02-25,aktif,UKE,699597768.0
M0614,Motor Care Berseri,Automotive,accessories,retailer,Depok,Cinere,Ya,QRIS,2023-12-29,aktif,UMI,36285310.0
M0099,Kafe Prima Utama,F&B,restaurant,retailer,Bandung,Buah Batu,Ya,QRIS,2021-03-19,aktif,UMI,89587739.0
M0097,Rumah Makan Langgeng,F&B,restaurant,retailer,Jakarta,Kelapa Gading,Ya,QRIS,2025-07-02,aktif,UMI,23202778.0
M0095,Distribusi Boga Berkah,F&B,warung,supplier,Bekasi,Grand Galaxy,Ya,QRIS,2024-07-14,aktif,UKE,592610383.0
M0599,Anugerah Otomotif Distribusi,Automotive,sparepart,supplier,Tangerang,Cipondoh,Ya,QRIS,2023-12-08,aktif,UKE,671958220.0
M0130,UD Makmur Distribusi Indonesia,F&B,cafe,supplier,Depok,Cinere,Ya,QRIS,2024-08-06,aktif,UMI,47837250.0
M0129,Rumah Makan Berkah,F&B,restaurant,retailer,Bekasi,Kemang Pratama,Ya,QRIS + EDC,2025-06-15,aktif,UMI,31891304.0
M0124,Berseri Rasa Distribusi,F&B,warung,supplier,Jakarta,Kemang,Ya,QRIS + EDC,2025-07-03,aktif,UKE,465057342.0
M0123,Kafe Berseri Utama,F&B,warung,retailer,Bogor,Bogor Tengah,Ya,QRIS,2022-04-12,aktif,UMI,27036444.0
M0120,Prima Boga Distribusi,F&B,cafe,supplier,Tangerang,Gading Serpong,Ya,QRIS + EDC,2025-02-07,aktif,UMI,107001223.0
M0148,Warung Bu Ningsih,F&B,restaurant,retailer,Bandung,Setiabudhi,Ya,QRIS,2025-11-04,aktif,UMI,25531556.0
M0115,Gemilang Boga House,F&B,bakery,retailer,Bandung,Buah Batu,Ya,QRIS,2023-12-13,aktif,UMI,46882006.0
M0113,Kedai Berkah Mulia,F&B,catering,retailer,Bandung,Cihampelas,Ya,QRIS + EDC,2022-01-06,aktif,UMI,20039726.0
M0112,Kedai Sejahtera Abadi,F&B,bakery,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2024-06-28,aktif,UMI,52206927.0
M0111,Kedai Tunas Mandiri,F&B,cafe,retailer,Depok,Cimanggis,Ya,QRIS + EDC,2025-02-04,aktif,UMI,44132875.0
M0109,Arunika Kuliner Distribusi,F&B,bakery,supplier,Bandung,Braga,Ya,QRIS,2021-08-25,aktif,UKE,468933156.0
M0108,Kafe Anugerah Cemerlang,F&B,cafe,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2022-06-28,aktif,UMI,75652420.0
M0106,Agen Bahan Kue Bang Fajar,F&B,restaurant,supplier,Bandung,Buah Batu,Ya,QRIS,2023-03-07,aktif,UKE,442601130.0
M0137,UD Bintang Sajian Indonesia,F&B,restaurant,retailer,Bandung,Cihampelas,Ya,QRIS + EDC,2025-04-29,aktif,UKE,365625742.0
M0136,Sinar Sajian Store,F&B,restaurant,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2026-02-17,aktif,UMI,23519464.0
M0135,CV Lentera Distribusi Utama,F&B,restaurant,supplier,Bogor,Tanah Sareal,Ya,QRIS + EDC,2022-02-12,aktif,UKE,426076365.0
M0134,PT Kencana Sajian Sentosa,F&B,restaurant,retailer,Jakarta,Cempaka Putih,Ya,QRIS + EDC,2022-11-14,aktif,UME,2558509478.0
M0133,Kedai Sentosa Pilihan,F&B,cafe,retailer,Jakarta,Pluit,Ya,QRIS,2021-12-09,aktif,UMI,30027664.0
M0163,CV Lentera Kuliner Sejahtera,F&B,cafe,retailer,Depok,Sawangan,Ya,QRIS + EDC,2022-03-19,aktif,UKE,622020221.0
M0581,Supplier Komputer Mandala,Electronics,service,supplier,Depok,Margonda,Ya,QRIS + EDC,2023-03-06,aktif,UME,2538012388.0
M0612,Grosir Ban & Oli Nawasena,Automotive,dealer,supplier,Jakarta,Pluit,Ya,QRIS,2021-07-14,aktif,UKE,701177794.0
M0611,PT Pusaka Motor Retailindo,Automotive,accessories,retailer,Tangerang,Karawaci,Ya,QRIS + EDC,2024-06-08,aktif,UBE,5644606273.0
M0610,Buana Mobilitas House,Automotive,accessories,retailer,Bekasi,Harapan Indah,Ya,QRIS + EDC,2026-01-17,tidak aktif,UKE,506459977.0
M0609,UD Mandala Garage Internasional,Automotive,accessories,retailer,Depok,Cimanggis,Ya,QRIS,2023-10-04,tidak aktif,UKE,429750759.0
M0604,Anugerah Auto House,Automotive,bengkel,retailer,Bandung,Braga,Ya,QRIS + EDC,2021-12-30,aktif,UME,4100000000.0
M0603,Auto Service Sentosa,Automotive,bengkel,retailer,Bandung,Buah Batu,Ya,QRIS + EDC,2022-02-20,aktif,UKE,1069226751.0
M0602,PT Cakrawala Distribusi Persada,Automotive,dealer,supplier,Depok,Cinere,Ya,QRIS + EDC,2022-07-01,aktif,UBE,8431819811.0
M0600,PT Langgeng Sparepart Persada,Automotive,dealer,retailer,Jakarta,Kemang,Ya,QRIS + EDC,2021-02-03,aktif,UME,2078794745.0
M0593,Berseri Komputer Distribusi,Electronics,service,supplier,Depok,Sawangan,Ya,QRIS,2025-02-18,tidak aktif,UKE,470394606.0
M0592,Toko Elektronik Nusantara,Electronics,service,retailer,Bekasi,Summarecon,Ya,QRIS + EDC,2022-07-29,aktif,UMI,58885904.0
M0591,PT Prima Distribusi Sentosa,Electronics,accessories,supplier,Jakarta,Tebet,Ya,QRIS + EDC,2021-06-13,aktif,UBE,9000000000.0
M0590,Pusat Komponen Selaras Pilihan,Electronics,gadget,supplier,Tangerang,Gading Serpong,Ya,QRIS + EDC,2024-02-26,aktif,UKE,862727437.0
M0589,UD Buana Elektronik Mandiri,Electronics,gadget,retailer,Depok,Sawangan,Ya,QRIS + EDC,2024-01-17,aktif,UME,2872368775.0
M0588,Tunas Komputer Market,Electronics,accessories,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2024-04-07,aktif,UKE,1197327101.0
M0587,PT Nusantara Teknologi Niaga Raya,Electronics,service,retailer,Jakarta,Kelapa Gading,Ya,QRIS + EDC,2023-06-20,aktif,UME,3400121821.0
M0586,Adikara Teknologi Store,Electronics,computer,retailer,Bandung,Setiabudhi,Ya,QRIS + EDC,2022-03-07,aktif,UMI,26528807.0
M0585,CV Kencana Elektronik Nusantara,Electronics,service,retailer,Depok,Sawangan,Ya,QRIS + EDC,2024-10-09,aktif,UKE,727746220.0
M0584,Gadget Corner Gemilang,Electronics,service,retailer,Jakarta,Kemang,Ya,QRIS + EDC,2025-09-21,aktif,UKE,672948527.0
M0583,PT Mandala Distribusi Indonesia,Electronics,accessories,supplier,Jakarta,Pluit,Ya,QRIS + EDC,2025-03-03,aktif,UME,3464133565.0
M0582,Komputer Anugerah Maju,Electronics,accessories,retailer,Bandung,Buah Batu,Ya,QRIS + EDC,2025-10-25,aktif,UKE,891086276.0
M0146,Kedai Langgeng Mulia,F&B,warung,retailer,Tangerang,Karawaci,Ya,QRIS + EDC,2025-11-11,aktif,UKE,555186692.0
M0144,Kafe Bintang Jaya,F&B,cafe,retailer,Bekasi,Summarecon,Ya,QRIS,2021-11-14,aktif,UMI,40305692.0
M0143,Dapur Kang Asep,F&B,warung,retailer,Bogor,Tanah Sareal,Ya,QRIS + EDC,2024-05-10,aktif,UKE,290766572.0
M0138,Rumah Makan Arunika,F&B,bakery,retailer,Tangerang,Karawaci,Ya,QRIS,2022-05-25,aktif,UMI,29242239.0
M0172,Grosir Bahan Pangan Sinar,F&B,bakery,supplier,Tangerang,Gading Serpong,Ya,QRIS,2022-10-22,aktif,UMI,27114857.0
M0169,Rumah Makan Kencana,F&B,cafe,retailer,Bogor,Cibinong,Ya,QRIS,2025-07-16,aktif,UMI,20847332.0
M0167,Distribusi Boga Langgeng,F&B,catering,supplier,Bekasi,Kemang Pratama,Ya,QRIS,2024-09-27,aktif,UMI,73259098.0
M0166,UD Arunika Rasa Internasional,F&B,cafe,retailer,Bandung,Setiabudhi,Ya,QRIS,2023-02-17,aktif,UKE,413590302.0
M0196,CV Sembada Boga Utama,F&B,catering,retailer,Tangerang,Alam Sutera,Ya,QRIS,2021-11-11,aktif,UKE,482073975.0
M0161,Agen Bahan Kue Kang Dedi,F&B,bakery,supplier,Jakarta,Kemang,Ya,QRIS,2021-11-05,aktif,UMI,106064007.0
M0159,Gemilang Sajian Distribusi,F&B,warung,supplier,Tangerang,Cipondoh,Ya,QRIS,2025-08-27,aktif,UKE,304861126.0
M0157,Grosir Bahan Pangan Sembada,F&B,cafe,supplier,Jakarta,Cempaka Putih,Ya,QRIS,2025-07-30,tidak aktif,UMI,34401580.0
M0154,Warung Pak Surya,F&B,cafe,retailer,Bandung,Buah Batu,Ya,QRIS,2025-02-14,aktif,UMI,101429599.0
M0153,Nusantara Sajian Distribusi,F&B,bakery,supplier,Bogor,Dramaga,Ya,QRIS + EDC,2025-09-27,aktif,UKE,485608480.0
M0152,Kedai Nusantara Bersama,F&B,restaurant,retailer,Depok,Margonda,Ya,QRIS,2024-01-14,aktif,UMI,23481574.0
M0149,Rumah Makan Buana,F&B,catering,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2023-09-03,aktif,UMI,29053523.0
M0179,Grosir Bahan Pangan Sejahtera,F&B,bakery,supplier,Bogor,Bogor Tengah,Ya,QRIS,2021-11-03,aktif,UKE,826890704.0
M0595,Servis Elektronik Bang Arif,Electronics,computer,retailer,Bandung,Dago,Ya,QRIS + EDC,2021-08-12,aktif,UMI,20608548.0
M0594,Toko Elektronik Karya,Electronics,computer,retailer,Bekasi,Summarecon,Ya,QRIS,2023-08-15,aktif,UMI,94555458.0
M0211,CV Mitra Busana Utama,Fashion,footwear,retailer,Tangerang,Cipondoh,Ya,QRIS + EDC,2022-12-30,aktif,UME,3713328309.0
M0210,Bakery Mahardika Mandiri,F&B,restaurant,retailer,Depok,Cimanggis,Ya,QRIS,2024-01-26,aktif,UMI,106384711.0
M0579,Grosir Elektronik Cakrawala,Electronics,service,supplier,Depok,Cinere,Ya,QRIS + EDC,2024-02-21,aktif,UKE,624069658.0
M0578,Sentra Gadget Mitra,Electronics,service,retailer,Bogor,Bogor Tengah,Ya,QRIS,2022-08-25,aktif,UMI,37571169.0
M0577,UD Mitra Distribusi Mandiri,Electronics,gadget,supplier,Bekasi,Jababeka,Ya,QRIS + EDC,2024-06-14,aktif,UKE,548587760.0
M0573,Digital Store Sahabat,Electronics,computer,retailer,Bekasi,Harapan Indah,Ya,QRIS + EDC,2022-11-22,aktif,UKE,326854217.0
M0572,Servis Elektronik Pak Joko,Electronics,accessories,retailer,Jakarta,Pluit,Ya,QRIS,2021-10-02,aktif,UMI,68294889.0
M0571,Toko Elektronik Cakrawala,Electronics,accessories,retailer,Bandung,Braga,Ya,QRIS,2022-09-24,aktif,UMI,57053085.0
M0570,Distributor Gadget Mandala,Electronics,gadget,supplier,Jakarta,Cempaka Putih,Ya,QRIS + EDC,2022-12-06,aktif,UKE,950016728.0
M0568,Komputer Sembada Maju,Electronics,computer,retailer,Tangerang,Karawaci,Ya,QRIS,2023-04-17,aktif,UMI,38047417.0
M0567,Komputer Mentari Cemerlang,Electronics,accessories,retailer,Tangerang,Alam Sutera,Ya,QRIS,2021-10-06,aktif,UMI,135866629.0
M0177,UD Sejahtera Horeka Internasional,F&B,restaurant,retailer,Bandung,Buah Batu,Ya,QRIS,2024-09-12,aktif,UMI,73399055.0
M0176,Anugerah Horeka Market,F&B,restaurant,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2026-01-03,aktif,UKE,633757936.0
M0175,Adikara Rasa House,F&B,restaurant,retailer,Depok,Cimanggis,Ya,QRIS,2024-07-29,aktif,UKE,454162374.0
M0459,CV Anugerah Distribusi Nusantara,Grocery,distributor,supplier,Jakarta,Kelapa Gading,Ya,QRIS + EDC,2024-09-28,aktif,UKE,1038453767.0
M0458,Toko Kelontong Mbak Rani,Grocery,toko_kelontong,retailer,Bekasi,Summarecon,Ya,QRIS + EDC,2024-06-01,aktif,UMI,38002667.0
M0457,Toko Sembako Mbak Rani,Grocery,supermarket,retailer,Bogor,Tanah Sareal,Ya,QRIS + EDC,2024-10-18,aktif,UKE,484059382.0
M0456,Warung Langgeng Mart,Grocery,minimarket,retailer,Depok,Cinere,Ya,QRIS + EDC,2026-01-09,aktif,UMI,58875309.0
M0455,Warung Karya Mart,Grocery,supermarket,retailer,Bandung,Buah Batu,Ya,QRIS,2024-03-16,aktif,UMI,66396853.0
M0672,Ban & Oli Makmur Baru,Automotive,bengkel,retailer,Jakarta,Tebet,Ya,QRIS + EDC,2024-01-08,aktif,UMI,54227787.0
M0671,PT Mandala Motor Indonesia,Automotive,sparepart,retailer,Depok,Cinere,Ya,QRIS + EDC,2025-07-07,aktif,UME,2403013934.0
M0669,Supplier Otomotif Nusantara,Automotive,bengkel,supplier,Bogor,Sentul,Ya,QRIS + EDC,2023-07-28,aktif,UKE,704515096.0
M0668,PT Pusaka Distribusi Persada,Automotive,dealer,supplier,Bandung,Braga,Ya,QRIS + EDC,2021-11-23,aktif,UBE,8300037477.0
M0667,Bengkel Langgeng Motor,Automotive,sparepart,retailer,Bekasi,Jababeka,Ya,QRIS,2021-12-27,aktif,UMI,96141175.0
M0666,Toko Sparepart Langgeng,Automotive,sparepart,retailer,Bandung,Setiabudhi,Ya,QRIS,2021-07-02,aktif,UMI,30853475.0
M0663,CV Pusaka Distribusi Sejahtera,Automotive,dealer,supplier,Bogor,Cibinong,Ya,QRIS + EDC,2023-09-13,aktif,UME,3253619833.0
M0421,UD Sejahtera Grosir Utama,Grocery,supermarket,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2025-03-10,aktif,UMI,33354377.0
M0452,PT Harmoni Grosir Persada,Grocery,supermarket,retailer,Jakarta,Kemang,Ya,QRIS + EDC,2023-11-20,aktif,UME,2775579489.0
M0451,UD Adikara Niaga Persada,Grocery,distributor,retailer,Depok,Cimanggis,Ya,QRIS + EDC,2024-08-05,aktif,UKE,625430318.0
M0450,Anugerah Sembako Distribusi,Grocery,minimarket,supplier,Bekasi,Kemang Pratama,Ya,QRIS,2023-10-08,aktif,UKE,327410679.0
M0205,Distribusi Boga Tunas,F&B,warung,supplier,Bandung,Buah Batu,Ya,QRIS,2025-12-05,aktif,UMI,63964514.0
M0204,Buana Kuliner House,F&B,warung,retailer,Depok,Cinere,Ya,QRIS,2025-06-09,aktif,UMI,34051933.0
M0203,PT Mentari Sajian Sentosa,F&B,catering,retailer,Bogor,Cibinong,Ya,QRIS + EDC,2024-11-21,aktif,UME,2180411266.0
M0202,Kedai Sembada Mandiri,F&B,restaurant,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2023-09-24,aktif,UMI,60229144.0
M0199,Bintang Kuliner Distribusi,F&B,bakery,supplier,Jakarta,Menteng,Ya,QRIS + EDC,2022-04-13,aktif,UKE,570083532.0
M0198,Bakery Cakrawala Utama,F&B,bakery,retailer,Bogor,Cibinong,Ya,QRIS + EDC,2021-05-17,aktif,UMI,52081811.0
M0228,Toko Busana Bang Arif,Fashion,clothing,retailer,Bekasi,Summarecon,Ya,QRIS + EDC,2024-01-03,aktif,UMI,41141160.0
M0227,Supplier Busana Mandala,Fashion,accessories,supplier,Depok,Cimanggis,Ya,QRIS,2022-01-16,aktif,UKE,521354434.0
M0193,Grosir Bahan Pangan Gemilang,F&B,catering,supplier,Depok,Sawangan,Ya,QRIS,2024-03-08,aktif,UMI,70985296.0
M0191,Kafe Arunika Maju,F&B,bakery,retailer,Bandung,Buah Batu,Ya,QRIS + EDC,2022-02-08,aktif,UMI,93858887.0
M0190,UD Mahardika Boga Internasional,F&B,catering,retailer,Bogor,Tanah Sareal,Ya,QRIS,2024-12-08,aktif,UMI,66082519.0
M0188,Grosir Bahan Pangan Tunas,F&B,restaurant,supplier,Bogor,Sentul,Ya,QRIS,2025-07-24,aktif,UKE,492035767.0
M0184,Kafe Sinar Asri,F&B,warung,retailer,Jakarta,Kemang,Ya,QRIS,2024-11-24,aktif,UMI,23491414.0
