merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_nasabah_bni,produk_bni,tgl_registrasi,status,avg_omzet_bulanan,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating,is_bni_numeric
M0031,Warung Utama,F&B,bakery,retailer,Bogor,Dramaga,Ya,QRIS,2019-02-08,aktif,38204506.0,6.0,46.0,3.4,1.0,0,1,1,1
M0029,Kedai Sentosa,F&B,cafe,retailer,Bogor,Cibinong,Ya,"QRIS, Giro",2021-10-05,aktif,38241244.0,17.0,8.0,4.9,1.0,0,0,1,1
M0027,RM Mbak Sri,F&B,cafe,retailer,Bandung,Setiabudhi,Ya,EDC,2019-08-28,aktif,23303305.0,2.0,41.0,3.1,3.0,0,0,1,1
M0025,CV Bahan Abadi,F&B,cafe,supplier,Jakarta,Menteng,Ya,Giro,2024-05-25,aktif,190372611.0,1.0,11.0,4.5,1.0,0,0,1,1
M0023,RM Buana,F&B,restaurant,retailer,Jakarta,Thamrin,Ya,EDC,2025-01-05,aktif,69774235.0,14.0,49.0,4.2,1.0,0,0,1,1
M0022,Resto Sumber,F&B,bakery,retailer,Bogor,Cibinong,Ya,Giro,2019-08-10,tidak aktif,53586157.0,6.0,30.0,0.0,1.0,0,1,0,1
M0051,RM Maju,F&B,catering,retailer,Tangerang,Cipondoh,Ya,EDC,2020-08-27,aktif,87896941.0,11.0,41.0,0.0,1.0,0,1,0,1
M0049,Bakery Kang Asep,F&B,warung,retailer,Depok,Margonda,Ya,EDC,2022-06-25,aktif,89455912.0,18.0,32.0,3.7,1.0,0,0,1,1
M0048,Kedai Pratama,F&B,catering,retailer,Tangerang,Karawaci,Ya,"EDC, QRIS, Giro",2021-05-25,aktif,170017172.0,8.0,50.0,4.3,2.0,0,1,1,1
M0047,RM Indonesia,F&B,warung,retailer,Depok,Cimanggis,Ya,Giro,2025-02-22,aktif,43376358.0,1.0,40.0,3.2,1.0,0,1,1,1
M0046,Kedai Lestari,F&B,catering,retailer,Depok,Sawangan,Ya,"EDC, QRIS, Giro",2022-04-26,aktif,34350949.0,14.0,50.0,4.4,2.0,0,0,1,1
M0045,Dapur Maju,F&B,bakery,retailer,Jakarta,Senayan,Ya,"EDC, QRIS, Giro",2022-09-14,aktif,17353941.0,20.0,28.0,4.4,2.0,1,0,1,1
M0044,Warung Kang Asep,F&B,restaurant,retailer,Depok,Sawangan,Ya,"QRIS, Giro",2021-02-17,aktif,50073709.0,5.0,25.0,3.5,5.0,1,1,1,1
M0043,CV Bahan Gemilang,F&B,cafe,supplier,Bandung,Dago,Ya,"EDC, QRIS",2019-06-06,aktif,268263797.0,2.0,67.0,3.3,1.0,1,0,1,1
M0041,Dapur Berkah,F&B,cafe,retailer,Bandung,Cihampelas,Ya,EDC,2023-06-21,aktif,127626670.0,8.0,29.0,3.6,1.0,0,0,1,1
M0040,Bakery Nusantara,F&B,restaurant,retailer,Tangerang,Alam Sutera,Ya,QRIS,2024-04-11,aktif,78387506.0,8.0,8.0,3.0,1.0,0,0,1,1
M0038,Kafe Mulia,F&B,restaurant,retailer,Jakarta,Cempaka Putih,Ya,"QRIS, Giro",2023-07-23,aktif,11254705.0,16.0,42.0,3.9,1.0,0,0,1,1
M0037,Kedai Jaya,F&B,bakery,retailer,Jakarta,Kelapa Gading,Ya,EDC,2023-10-27,aktif,79238847.0,4.0,43.0,3.6,1.0,0,0,1,1
M0372,Motor Surya,Automotive,accessories,retailer,Tangerang,Cipondoh,Ya,Giro,2025-06-25,aktif,102789982.0,10.0,48.0,0.0,2.0,0,0,0,1
M0370,Auto Pak Haji,Automotive,bengkel,retailer,Depok,Margonda,Ya,EDC,2019-10-05,aktif,32745994.0,16.0,5.0,3.5,1.0,1,0,1,1
M0369,PT Otomotif Mbak Sri,Automotive,sparepart,supplier,Bogor,Bogor Tengah,Ya,QRIS,2021-09-01,tidak aktif,318184155.0,10.0,76.0,0.0,1.0,0,0,0,1
M0367,Auto Berkah,Automotive,sparepart,retailer,Bogor,Bogor Tengah,Ya,"EDC, QRIS, Giro",2022-04-21,aktif,80332371.0,20.0,32.0,3.2,2.0,0,1,1,1
M0366,Bengkel Buana,Automotive,dealer,retailer,Depok,Cimanggis,Ya,EDC,2023-11-25,tidak aktif,45759115.0,9.0,17.0,4.7,1.0,0,0,1,1
M0364,UD Oli Maju,Automotive,sparepart,supplier,Jakarta,Cempaka Putih,Ya,EDC,2022-08-18,aktif,405799347.0,19.0,71.0,0.0,1.0,0,0,0,1
M0360,PT Otomotif Mulia,Automotive,sparepart,supplier,Bogor,Sentul,Ya,"EDC, QRIS, Giro",2019-08-18,aktif,151821378.0,16.0,30.0,3.2,2.0,0,0,1,1
M0359,Bengkel Pratama,Automotive,sparepart,retailer,Bandung,Braga,Ya,"EDC, QRIS",2019-08-28,aktif,87788994.0,8.0,30.0,4.7,2.0,0,0,1,1
M0358,PT Otomotif Harmoni,Automotive,dealer,supplier,Bogor,Bogor Tengah,Ya,Giro,2022-11-10,aktif,233588852.0,10.0,84.0,3.3,1.0,0,0,1,1
M0068,RM Bu Tini,F&B,cafe,retailer,Tangerang,Gading Serpong,Ya,"EDC, QRIS, Giro",2024-11-07,aktif,162011780.0,2.0,49.0,4.4,1.0,0,0,1,1
M0067,RM Anugrah,F&B,restaurant,retailer,Bekasi,Grand Galaxy,Ya,"EDC, QRIS",2019-02-21,aktif,61539566.0,3.0,16.0,4.6,1.0,0,1,1,1
M0065,Resto Makmur,F&B,bakery,retailer,Bogor,Dramaga,Ya,Giro,2023-06-13,aktif,136423317.0,7.0,23.0,0.0,2.0,0,0,0,1
M0063,Kedai Prima,F&B,cafe,retailer,Bogor,Cibinong,Ya,"EDC, QRIS, Giro",2020-04-13,tidak aktif,24259006.0,17.0,30.0,4.8,2.0,0,0,1,1
M0061,Bakery Buana,F&B,catering,retailer,Bogor,Tanah Sareal,Ya,Giro,2021-10-30,aktif,42658759.0,8.0,30.0,4.3,2.0,0,0,1,1
M0056,RM Sukses,F&B,restaurant,retailer,Tangerang,Alam Sutera,Ya,"EDC, QRIS",2025-01-31,aktif,151811792.0,6.0,33.0,3.2,1.0,0,1,1,1
M0055,Resto Karya,F&B,cafe,retailer,Bandung,Setiabudhi,Ya,"EDC, QRIS",2025-01-21,aktif,166066616.0,17.0,30.0,3.4,2.0,0,0,1,1
M0054,Toko Grosir Nusantara,F&B,catering,supplier,Tangerang,Karawaci,Ya,EDC,2022-02-09,aktif,480021297.0,3.0,37.0,4.5,1.0,1,0,1,1
M0082,Kedai Berkah,F&B,warung,retailer,Bekasi,Grand Galaxy,Ya,Giro,2022-05-02,tidak aktif,90548965.0,2.0,39.0,0.0,1.0,1,0,0,1
M0080,Resto Gemilang,F&B,catering,retailer,Bandung,Braga,Ya,QRIS,2023-06-30,aktif,10975630.0,10.0,30.0,3.2,1.0,1,0,1,1
M0079,RM Utama,F&B,catering,retailer,Bekasi,Harapan Indah,Ya,QRIS,2025-06-09,aktif,71312679.0,15.0,19.0,3.7,1.0,0,1,1,1
M0078,Kafe Anugrah,F&B,cafe,retailer,Bogor,Dramaga,Ya,"EDC, QRIS, Giro",2024-12-27,aktif,50168273.0,14.0,11.0,3.5,1.0,0,1,1,1
M0077,UD Supplier Sukses,F&B,catering,supplier,Depok,Cinere,Ya,"QRIS, Giro",2024-11-18,aktif,315490034.0,12.0,17.0,4.9,1.0,0,1,1,1
M0076,Toko Grosir Persada,F&B,bakery,supplier,Bandung,Cihampelas,Ya,QRIS,2021-02-27,aktif,567937538.0,6.0,99.0,0.0,2.0,0,0,0,1
M0072,CV Bahan Bang Jali,F&B,cafe,supplier,Depok,Sawangan,Ya,"EDC, QRIS, Giro",2023-07-23,aktif,1007189134.0,10.0,28.0,3.9,1.0,0,0,1,1
M0354,Toko Sparepart Abadi,Automotive,dealer,retailer,Depok,Cimanggis,Ya,Giro,2019-07-27,aktif,56857308.0,17.0,39.0,4.4,2.0,0,0,1,1
M0352,Motor Mulia,Automotive,bengkel,retailer,Jakarta,Thamrin,Ya,EDC,2020-05-12,aktif,247722715.0,8.0,18.0,4.5,1.0,0,1,1,1
M0351,Toko Sparepart Surya,Automotive,accessories,retailer,Bogor,Cibinong,Ya,"EDC, QRIS, Giro",2022-05-09,aktif,86860749.0,15.0,10.0,0.0,3.0,0,0,0,1
M0350,Motor Gemilang,Automotive,bengkel,retailer,Tangerang,Gading Serpong,Ya,"EDC, QRIS, Giro",2022-05-31,aktif,54184072.0,10.0,40.0,4.9,2.0,0,0,1,1
M0346,Auto Bu Tini,Automotive,bengkel,retailer,Bekasi,Grand Galaxy,Ya,"QRIS, Giro",2020-06-30,aktif,80909754.0,6.0,30.0,3.9,2.0,1,0,1,1
M0345,Bengkel Sukses,Automotive,sparepart,retailer,Depok,Sawangan,Ya,QRIS,2020-08-06,aktif,42972267.0,14.0,47.0,3.8,1.0,0,1,1,1
M0344,PT Otomotif Purnama,Automotive,bengkel,supplier,Bogor,Sentul,Ya,"EDC, QRIS",2019-02-09,aktif,196160833.0,10.0,30.0,4.1,1.0,0,1,1,1
M0342,CV Sparepart Abadi,Automotive,accessories,supplier,Bandung,Cihampelas,Ya,EDC,2022-04-09,aktif,357608642.0,11.0,75.0,0.0,1.0,1,0,0,1
M0341,UD Oli Barokah,Automotive,sparepart,supplier,Bandung,Dago,Ya,"QRIS, Giro",2019-07-08,aktif,152431166.0,16.0,15.0,3.3,2.0,0,0,1,1
M0100,Dapur Mbak Sri,F&B,cafe,retailer,Depok,Sawangan,Ya,Giro,2022-11-14,aktif,53162912.0,19.0,26.0,0.0,1.0,0,1,0,1
M0096,PT Distributor Sejahtera,F&B,warung,supplier,Bogor,Sentul,Ya,EDC,2020-04-09,tidak aktif,91256797.0,2.0,12.0,3.4,1.0,0,0,1,1
M0095,Kedai Utama,F&B,bakery,retailer,Bogor,Dramaga,Ya,"EDC, QRIS, Giro",2024-06-08,aktif,46135933.0,18.0,21.0,3.7,2.0,1,0,1,1
M0091,Warung Mbak Sri,F&B,restaurant,retailer,Bogor,Bogor Tengah,Ya,Giro,2022-09-27,aktif,71654734.0,3.0,27.0,0.0,1.0,0,1,0,1
M0090,Kedai Makmur,F&B,bakery,retailer,Bogor,Bogor Tengah,Ya,EDC,2024-04-11,aktif,104212296.0,15.0,32.0,3.5,1.0,0,1,1,1
M0089,Warung Pak Haji,F&B,restaurant,retailer,Bekasi,Kemang Pratama,Ya,Giro,2022-08-13,aktif,40760165.0,12.0,3.0,4.4,3.0,0,0,1,1
M0086,Bakery Maju,F&B,catering,retailer,Jakarta,Tebet,Ya,EDC,2020-09-02,aktif,41800491.0,15.0,30.0,0.0,2.0,0,0,0,1
M0340,Gadget Pratama,Electronics,computer,retailer,Bekasi,Grand Galaxy,Ya,"EDC, QRIS, Giro",2022-08-03,aktif,39533062.0,10.0,15.0,0.0,1.0,1,1,0,1
M0339,PT Elektronik Mulia,Electronics,gadget,supplier,Jakarta,Menteng,Ya,Giro,2020-09-06,aktif,409458111.0,11.0,7.0,3.3,2.0,0,1,1,1
M0338,Gadget Anugrah,Electronics,computer,retailer,Jakarta,Kuningan,Ya,QRIS,2025-06-08,aktif,49167959.0,8.0,15.0,4.9,1.0,0,0,1,1
M0337,Komputer Bang Jali,Electronics,gadget,retailer,Bandung,Setiabudhi,Ya,"QRIS, Giro",2019-11-12,aktif,31235084.0,1.0,45.0,3.8,2.0,0,1,1,1
M0335,Gadget Sejahtera,Electronics,computer,retailer,Jakarta,Menteng,Ya,"EDC, QRIS",2024-11-12,aktif,157921362.0,10.0,41.0,3.5,3.0,1,0,1,1
M0334,Toko IT Sumber,Electronics,gadget,retailer,Jakarta,Tebet,Ya,"QRIS, Giro",2019-08-14,aktif,35696187.0,4.0,19.0,4.4,2.0,1,1,1,1
M0332,CV Tech Supply Abadi,Electronics,computer,supplier,Tangerang,Cipondoh,Ya,"EDC, QRIS",2019-11-20,aktif,143550364.0,17.0,69.0,0.0,1.0,0,0,0,1
M0331,Toko IT Sejahtera,Electronics,accessories,retailer,Jakarta,Pluit,Ya,QRIS,2023-06-19,aktif,64940232.0,4.0,30.0,4.6,2.0,1,1,1,1
M0329,Gadget Mbak Sri,Electronics,service,retailer,Depok,Margonda,Ya,Giro,2025-08-29,aktif,115145584.0,16.0,22.0,4.3,1.0,1,1,1,1
M0111,Resto Mulia,F&B,catering,retailer,Tangerang,Cipondoh,Ya,"QRIS, Giro",2022-04-26,aktif,11676699.0,18.0,33.0,0.0,1.0,0,0,0,1
M0110,Toko Grosir Surya,F&B,warung,supplier,Bogor,Cibinong,Ya,Giro,2021-10-21,aktif,277253627.0,1.0,97.0,4.9,1.0,1,1,1,1
M0109,Kafe Bu Tini,F&B,bakery,retailer,Bekasi,Jababeka,Ya,"EDC, QRIS, Giro",2019-02-08,aktif,82788138.0,20.0,38.0,5.0,1.0,0,0,1,1
M0108,Warung Indonesia,F&B,cafe,retailer,Bogor,Bogor Tengah,Ya,"QRIS, Giro",2023-04-16,aktif,76831097.0,4.0,38.0,3.8,1.0,0,0,1,1
M0107,RM Lestari,F&B,restaurant,retailer,Tangerang,Alam Sutera,Ya,QRIS,2022-04-16,aktif,358545924.0,8.0,40.0,4.7,2.0,0,0,1,1
M0105,Dapur Buana,F&B,warung,retailer,Depok,Margonda,Ya,"EDC, QRIS",2024-06-21,aktif,56788412.0,2.0,46.0,3.7,1.0,0,0,1,1
M0103,Bakery Mandiri,F&B,catering,retailer,Bekasi,Kemang Pratama,Ya,Giro,2019-03-04,aktif,48233141.0,2.0,25.0,0.0,1.0,0,0,0,1
M0323,Digital Sentosa,Electronics,computer,retailer,Depok,Cinere,Ya,"EDC, QRIS, Giro",2020-02-24,aktif,31440309.0,16.0,32.0,3.2,1.0,0,1,1,1
M0321,Digital Abadi,Electronics,gadget,retailer,Depok,Cinere,Ya,Giro,2019-11-16,aktif,71649473.0,10.0,12.0,0.0,1.0,1,0,0,1
M0320,Toko IT Anugrah,Electronics,accessories,retailer,Bogor,Dramaga,Ya,"EDC, QRIS, Giro",2020-11-08,aktif,58402616.0,8.0,19.0,3.3,1.0,0,0,1,1
M0319,Gadget Pak Haji,Electronics,service,retailer,Jakarta,Sudirman,Ya,Giro,2021-04-08,aktif,87903459.0,10.0,4.0,0.0,3.0,1,1,0,1
M0318,Komputer Buana,Electronics,computer,retailer,Bandung,Cihampelas,Ya,Giro,2022-11-08,aktif,49662462.0,13.0,42.0,3.4,1.0,0,0,1,1
M0316,Digital Mbak Sri,Electronics,accessories,retailer,Depok,Sawangan,Ya,"EDC, QRIS, Giro",2020-01-17,aktif,66912975.0,5.0,30.0,4.6,1.0,0,1,1,1
M0315,Komputer Purnama,Electronics,service,retailer,Tangerang,Alam Sutera,Ya,"EDC, QRIS, Giro",2020-01-17,aktif,212601680.0,20.0,39.0,5.0,1.0,1,1,1,1
M0312,Komputer Persada,Electronics,computer,retailer,Bogor,Cibinong,Ya,"EDC, QRIS, Giro",2022-04-13,aktif,176511955.0,2.0,42.0,4.3,1.0,0,1,1,1
M0309,Digital Sukses,Electronics,service,retailer,Bekasi,Summarecon,Ya,"EDC, QRIS, Giro",2021-10-10,aktif,107434040.0,3.0,26.0,0.0,5.0,1,0,0,1
M0132,PT Tekstil Mas Bro,Fashion,textile,supplier,Depok,Margonda,Ya,QRIS,2024-07-01,aktif,310859120.0,1.0,93.0,0.0,3.0,1,1,0,1
M0131,UD Kain Mandiri,Fashion,textile,supplier,Tangerang,Gading Serpong,Ya,"QRIS, Giro",2019-06-27,aktif,85111205.0,11.0,92.0,4.5,5.0,0,0,1,1
M0125,Fashion Surya,Fashion,clothing,retailer,Bandung,Dago,Ya,EDC,2020-05-15,aktif,111348043.0,13.0,28.0,3.0,1.0,0,0,1,1
M0124,Outlet Purnama,Fashion,footwear,retailer,Tangerang,BSD,Ya,"EDC, QRIS",2021-06-08,aktif,18593712.0,20.0,4.0,3.7,1.0,0,0,1,1
M0122,Outlet Lestari,Fashion,textile,retailer,Depok,Margonda,Ya,QRIS,2019-06-02,tidak aktif,28963625.0,18.0,44.0,0.0,1.0,0,1,0,1
M0307,Gadget Karya,Electronics,gadget,retailer,Bekasi,Summarecon,Ya,"QRIS, Giro",2022-03-28,aktif,207345782.0,15.0,22.0,4.0,1.0,0,0,1,1
M0306,Gadget Harmoni,Electronics,service,retailer,Tangerang,Alam Sutera,Ya,Giro,2023-08-30,aktif,72972604.0,10.0,1.0,3.6,3.0,0,0,1,1
M0305,Digital Karya,Electronics,computer,retailer,Bekasi,Jababeka,Ya,Giro,2025-12-12,aktif,64436355.0,17.0,19.0,3.4,1.0,0,0,1,1
M0303,Komputer Bersama,Electronics,computer,retailer,Jakarta,Tebet,Ya,EDC,2024-09-23,aktif,128644615.0,18.0,14.0,0.0,2.0,0,0,0,1
M0301,Digital Bang Jali,Electronics,accessories,retailer,Jakarta,Kemang,Ya,"QRIS, Giro",2023-05-27,aktif,31136910.0,6.0,47.0,4.3,2.0,0,0,1,1
M0300,Gadget Persada,Electronics,gadget,retailer,Jakarta,Tebet,Ya,"QRIS, Giro",2021-02-04,aktif,115717907.0,11.0,13.0,3.6,5.0,0,0,1,1
M0298,Gadget Bang Jali,Electronics,computer,retailer,Depok,Cinere,Ya,"EDC, QRIS",2025-04-12,tidak aktif,86579148.0,3.0,42.0,3.6,1.0,0,1,1,1
M0297,Komputer Sentosa,Electronics,accessories,retailer,Tangerang,Cipondoh,Ya,"EDC, QRIS, Giro",2020-04-16,aktif,147544426.0,7.0,28.0,4.0,1.0,0,1,1,1
M0296,Komputer Lestari,Electronics,accessories,retailer,Jakarta,Kelapa Gading,Ya,EDC,2024-11-04,aktif,35193830.0,1.0,15.0,4.4,5.0,1,0,1,1
M0295,Digital Bu Tini,Electronics,computer,retailer,Tangerang,Gading Serpong,Ya,QRIS,2024-05-31,aktif,90541053.0,19.0,30.0,0.0,1.0,0,0,0,1
M0294,Toko IT Gemilang,Electronics,computer,retailer,Jakarta,Menteng,Ya,"QRIS, Giro",2025-04-04,aktif,141052382.0,17.0,6.0,4.1,1.0,0,0,1,1
M0293,Komputer Nusantara,Electronics,gadget,retailer,Jakarta,Tebet,Ya,"EDC, QRIS, Giro",2023-06-25,tidak aktif,38631235.0,16.0,30.0,0.0,1.0,0,0,0,1
M0147,UD Kain Lestari,Fashion,clothing,supplier,Tangerang,Karawaci,Ya,"QRIS, Giro",2019-08-13,aktif,109391027.0,16.0,97.0,5.0,1.0,0,1,1,1
M0145,Fashion Pak Haji,Fashion,textile,retailer,Depok,Margonda,Ya,Giro,2023-08-24,aktif,82962106.0,17.0,13.0,0.0,2.0,0,0,0,1
M0143,Butik Harmoni,Fashion,textile,retailer,Jakarta,Senayan,Ya,EDC,2023-02-24,aktif,15452248.0,20.0,23.0,4.7,3.0,0,0,1,1
M0141,PT Tekstil Persada,Fashion,clothing,supplier,Bekasi,Kemang Pratama,Ya,"EDC, QRIS, Giro",2022-06-19,aktif,352996234.0,12.0,5.0,3.3,1.0,0,0,1,1
M0139,PT Tekstil Kang Asep,Fashion,accessories,supplier,Bandung,Cihampelas,Ya,Giro,2021-07-07,aktif,564140433.0,12.0,12.0,0.0,1.0,0,1,0,1
M0138,CV Konveksi Bersama,Fashion,textile,supplier,Bekasi,Kemang Pratama,Ya,"EDC, QRIS, Giro",2023-09-29,tidak aktif,227429483.0,15.0,28.0,4.2,1.0,0,0,1,1
M0137,PT Tekstil Abadi,Fashion,textile,supplier,Jakarta,Sudirman,Ya,"EDC, QRIS, Giro",2023-03-07,aktif,157257848.0,8.0,30.0,4.2,3.0,1,0,1,1
M0134,Fashion Bu Tini,Fashion,textile,retailer,Bekasi,Kemang Pratama,Ya,"EDC, QRIS, Giro",2020-04-13,aktif,100556788.0,7.0,37.0,4.2,2.0,0,0,1,1
M0133,Butik Sentosa,Fashion,accessories,retailer,Bandung,Buah Batu,Ya,"EDC, QRIS, Giro",2025-07-25,aktif,25239648.0,17.0,23.0,0.0,5.0,0,1,0,1
M0164,UD Kain Anugrah,Fashion,clothing,supplier,Jakarta,Thamrin,Ya,EDC,2021-05-27,tidak aktif,152618842.0,4.0,6.0,4.7,3.0,0,1,1,1
M0162,PT Tekstil Prima,Fashion,footwear,supplier,Bogor,Dramaga,Ya,"EDC, QRIS, Giro",2023-05-25,aktif,552336313.0,11.0,23.0,3.5,1.0,0,0,1,1
M0161,Toko Baju Buana,Fashion,clothing,retailer,Tangerang,Gading Serpong,Ya,"QRIS, Giro",2023-05-03,aktif,27310628.0,1.0,11.0,3.5,1.0,0,1,1,1
M0157,Outlet Bu Tini,Fashion,clothing,retailer,Jakarta,Sudirman,Ya,"QRIS, Giro",2021-02-10,aktif,352019475.0,9.0,25.0,3.0,1.0,0,0,1,1
M0156,Fashion Kang Asep,Fashion,clothing,retailer,Bekasi,Summarecon,Ya,Giro,2019-06-04,aktif,34521184.0,14.0,42.0,4.1,1.0,0,0,1,1
M0153,Butik Mandiri,Fashion,accessories,retailer,Bandung,Braga,Ya,EDC,2025-10-03,aktif,35604327.0,4.0,30.0,4.2,1.0,0,0,1,1
M0152,Butik Buana,Fashion,accessories,retailer,Depok,Sawangan,Ya,"EDC, QRIS, Giro",2020-04-12,aktif,89684040.0,10.0,35.0,4.2,1.0,0,1,1,1
M0151,PT Tekstil Sumber,Fashion,clothing,supplier,Tangerang,Gading Serpong,Ya,"QRIS, Giro",2023-06-29,aktif,359560956.0,7.0,11.0,4.2,1.0,0,1,1,1
M0150,Outlet Citra,Fashion,textile,retailer,Bandung,Buah Batu,Ya,Giro,2019-03-27,aktif,85779122.0,5.0,37.0,4.7,1.0,0,1,1,1
M0149,UD Kain Surya,Fashion,clothing,supplier,Depok,Cinere,Ya,"EDC, QRIS, Giro",2019-06-23,aktif,446769452.0,8.0,22.0,4.1,1.0,0,1,1,1
M0291,Gadget Lestari,Electronics,computer,retailer,Depok,Cimanggis,Ya,EDC,2023-09-30,aktif,54444368.0,4.0,28.0,0.0,1.0,0,0,0,1
M0287,CV Tech Supply Maju,Electronics,service,supplier,Bogor,Dramaga,Ya,Giro,2022-07-31,aktif,260619467.0,17.0,67.0,4.5,5.0,0,0,1,1
M0285,Digital Maju,Electronics,service,retailer,Bandung,Braga,Ya,"EDC, QRIS",2019-01-28,aktif,447743032.0,10.0,10.0,4.4,1.0,0,0,1,1
M0282,Komputer Harmoni,Electronics,gadget,retailer,Bekasi,Summarecon,Ya,Giro,2019-12-13,aktif,119152841.0,10.0,3.0,4.5,1.0,0,1,1,1
M0281,Gadget Sumber,Electronics,service,retailer,Bogor,Cibinong,Ya,"QRIS, Giro",2023-07-30,aktif,72722807.0,6.0,30.0,3.1,1.0,0,0,1,1
M0279,Toko Persada,Grocery,supermarket,retailer,Bogor,Cibinong,Ya,"EDC, QRIS, Giro",2020-09-23,aktif,69917174.0,10.0,3.0,3.5,1.0,0,1,1,1
M0278,CV Grosir Harmoni,Grocery,distributor,supplier,Tangerang,Alam Sutera,Ya,"QRIS, Giro",2023-04-06,aktif,182056292.0,12.0,55.0,0.0,1.0,0,0,0,1
M0180,Fashion Sentosa,Fashion,footwear,retailer,Bandung,Dago,Ya,"EDC, QRIS, Giro",2020-02-29,aktif,759485850.0,19.0,21.0,4.9,1.0,0,1,1,1
M0178,Butik Abadi,Fashion,footwear,retailer,Bekasi,Grand Galaxy,Ya,"QRIS, Giro",2025-02-06,aktif,242904924.0,9.0,14.0,0.0,1.0,0,0,0,1
M0175,Outlet Bersama,Fashion,footwear,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2019-07-15,aktif,84226631.0,11.0,9.0,0.0,1.0,0,0,0,1
M0167,Outlet Karya,Fashion,textile,retailer,Depok,Cinere,Ya,EDC,2022-06-21,aktif,137598990.0,10.0,43.0,4.7,1.0,0,0,1,1
M0166,UD Kain Utama,Fashion,textile,supplier,Jakarta,Cempaka Putih,Ya,EDC,2020-11-09,aktif,409408806.0,10.0,85.0,3.6,1.0,0,1,1,1
M0276,UD Sembako Utama,Grocery,minimarket,supplier,Bandung,Setiabudhi,Ya,"EDC, QRIS",2019-08-08,aktif,425886220.0,3.0,77.0,3.5,1.0,0,1,1,1
