trx_id,timestamp,source_id,target_id,amount,channel,payment_type,status,description,ref_number,trx_type,timestamp_dt,hour,day_of_week,month
T000061,2026-06-21 21:42:14,C00884,M0070,8741623.49,transfer,bank_transfer,success,C2M payment - F&B,REF45222154,C2M,2026-06-21 21:42:14,21,Sunday,2026-06
T000062,2025-12-13 07:40:28,C00922,M0475,11663955.71,QRIS,QRIS,success,C2M payment - Grocery,REF35156681,C2M,2025-12-13 07:40:28,7,Saturday,2025-12
T000063,2026-02-24 16:55:36,C01205,M0548,32858560.77,transfer,bank_transfer,success,C2M payment - Electronics,REF27455369,C2M,2026-02-24 16:55:36,16,Tuesday,2026-02
T000064,2025-12-10 13:05:42,C01158,M0338,11546690.2,QRIS,QRIS,success,C2M payment - Fashion,REF08627633,C2M,2025-12-10 13:05:42,13,Wednesday,2025-12
T000065,2026-06-07 00:03:26,C00193,M0450,16148114.43,QRIS,QRIS,success,C2M payment - Grocery,REF98876177,C2M,2026-06-07 00:03:26,0,Sunday,2026-06
T000066,2025-08-26 09:11:55,C00394,M0563,17029120.82,transfer,bank_transfer,success,C2M payment - Electronics,REF05041879,C2M,2025-08-26 09:11:55,9,Tuesday,2025-08
T000067,2026-01-12 20:37:49,C00439,M0397,50945170.23,transfer,bank_transfer,success,C2M payment - Grocery,REF80017346,C2M,2026-01-12 20:37:49,20,Monday,2026-01
T000068,2026-05-10 01:44:27,C01555,M0381,14727870.21,EDC,debit,success,C2M payment - Grocery,REF27087511,C2M,2026-05-10 01:44:27,1,Sunday,2026-05
T000069,2025-09-20 09:36:01,C00952,M0332,10434016.18,QRIS,QRIS,success,C2M payment - Fashion,REF46825484,C2M,2025-09-20 09:36:01,9,Saturday,2025-09
T000070,2025-08-30 04:52:43,M0329,M0605,6614862.02,transfer,bank_transfer,success,M2M settlement - Automotive,REF15846114,M2M,2025-08-30 04:52:43,4,Saturday,2025-08
T000071,2026-06-28 09:54:16,C01351,M0321,22156585.4,EDC,credit_card,success,C2M payment - Fashion,REF53107526,C2M,2026-06-28 09:54:16,9,Sunday,2026-06
T000073,2025-07-09 06:16:10,C01380,M0231,4693555.82,EDC,debit,success,C2M payment - Fashion,REF86967487,C2M,2025-07-09 06:16:10,6,Wednesday,2025-07
T000074,2026-05-12 08:40:16,C00709,M0255,12667831.91,EDC,credit_card,success,C2M payment - Fashion,REF03198950,C2M,2026-05-12 08:40:16,8,Tuesday,2026-05
T000075,2025-11-23 04:20:19,C00290,M0366,9838249.89,EDC,debit,success,C2M payment - Grocery,REF19249969,C2M,2025-11-23 04:20:19,4,Sunday,2025-11
T000076,2025-12-17 15:17:01,M0453,M0512,40579447.18,transfer,bank_transfer,success,M2M settlement - Electronics,REF14747022,M2M,2025-12-17 15:17:01,15,Wednesday,2025-12
T000077,2026-03-27 14:03:48,M0135,M0196,19424430.76,QRIS,QRIS,success,M2M settlement - F&B,REF55642068,M2M,2026-03-27 14:03:48,14,Friday,2026-03
T000078,2026-05-09 20:07:31,C00858,M0158,8670261.43,EDC,debit,success,C2M payment - F&B,REF23276440,C2M,2026-05-09 20:07:31,20,Saturday,2026-05
T000079,2025-07-14 19:02:36,C01913,M0653,24205658.44,transfer,bank_transfer,success,C2M payment - Automotive,REF31749675,C2M,2025-07-14 19:02:36,19,Monday,2025-07
T000080,2025-12-28 13:02:00,C00157,M0555,30071815.44,QRIS,QRIS,success,C2M payment - Electronics,REF91422348,C2M,2025-12-28 13:02:00,13,Sunday,2025-12
T000081,2025-12-07 03:02:27,C00979,M0019,7522171.58,transfer,bank_transfer,success,C2M payment - F&B,REF97694481,C2M,2025-12-07 03:02:27,3,Sunday,2025-12
T000082,2025-10-12 06:53:03,M0356,M0091,29847853.51,transfer,bank_transfer,success,M2M settlement - F&B,REF45814880,M2M,2025-10-12 06:53:03,6,Sunday,2025-10
T000083,2025-11-25 11:40:51,M0253,M0408,27926922.09,transfer,bank_transfer,success,M2M settlement - Grocery,REF96511292,M2M,2025-11-25 11:40:51,11,Tuesday,2025-11
T000084,2025-08-05 23:29:21,C00966,M0603,28527751.72,EDC,credit_card,success,C2M payment - Automotive,REF63426881,C2M,2025-08-05 23:29:21,23,Tuesday,2025-08
T000085,2026-02-23 06:20:31,C00006,M0095,2377571.0,QRIS,QRIS,success,C2M payment - F&B,REF00786773,C2M,2026-02-23 06:20:31,6,Monday,2026-02
T000086,2026-06-22 06:51:40,C00009,M0326,10890529.49,EDC,debit,success,C2M payment - Fashion,REF62852938,C2M,2026-06-22 06:51:40,6,Monday,2026-06
T000087,2026-05-02 01:25:06,C00330,M0610,16269513.28,transfer,bank_transfer,success,C2M payment - Automotive,REF80847013,C2M,2026-05-02 01:25:06,1,Saturday,2026-05
T000088,2026-03-23 17:56:36,M0351,M0440,13717508.02,QRIS,QRIS,success,M2M settlement - Grocery,REF16508972,M2M,2026-03-23 17:56:36,17,Monday,2026-03
T000089,2025-07-01 14:56:53,C00436,M0203,26076789.69,transfer,bank_transfer,success,C2M payment - F&B,REF71915123,C2M,2025-07-01 14:56:53,14,Tuesday,2025-07
T000090,2026-01-27 20:56:26,C01617,M0184,784186.15,EDC,credit_card,success,C2M payment - F&B,REF86499309,C2M,2026-01-27 20:56:26,20,Tuesday,2026-01
T000091,2025-12-27 00:32:17,C00664,M0623,30459237.45,transfer,bank_transfer,success,C2M payment - Automotive,REF09829510,C2M,2025-12-27 00:32:17,0,Saturday,2025-12
T000092,2026-05-14 23:57:48,C01066,M0211,10778070.12,EDC,debit,success,C2M payment - Fashion,REF87492883,C2M,2026-05-14 23:57:48,23,Thursday,2026-05
T000093,2026-02-25 15:24:11,M0357,M0382,20529105.52,transfer,bank_transfer,success,M2M settlement - Grocery,REF91987180,M2M,2026-02-25 15:24:11,15,Wednesday,2026-02
T000094,2026-05-11 08:08:28,C01272,M0541,5938567.02,QRIS,QRIS,success,C2M payment - Electronics,REF50400754,C2M,2026-05-11 08:08:28,8,Monday,2026-05
T000095,2025-08-26 11:51:45,M0328,M0393,50515712.78,transfer,bank_transfer,success,M2M settlement - Grocery,REF63195972,M2M,2025-08-26 11:51:45,11,Tuesday,2025-08
T000096,2026-01-21 03:21:26,M0165,M0016,51741743.08,transfer,bank_transfer,success,M2M settlement - F&B,REF27483711,M2M,2026-01-21 03:21:26,3,Wednesday,2026-01
T000097,2025-11-12 08:07:48,C00711,M0227,22837149.2,EDC,debit,success,C2M payment - Fashion,REF71806359,C2M,2025-11-12 08:07:48,8,Wednesday,2025-11
T000098,2026-01-31 17:33:35,C01494,M0579,7277253.05,QRIS,QRIS,success,C2M payment - Electronics,REF85174581,C2M,2026-01-31 17:33:35,17,Saturday,2026-01
T000099,2025-09-16 04:53:53,C01972,M0565,4609603.79,EDC,debit,success,C2M payment - Electronics,REF14536230,C2M,2025-09-16 04:53:53,4,Tuesday,2025-09
T000100,2026-02-15 04:28:23,C00528,M0528,119680.32,QRIS,QRIS,success,C2M payment - Electronics,REF41928089,C2M,2026-02-15 04:28:23,4,Sunday,2026-02
T000101,2025-12-26 16:58:58,C01288,M0443,6924593.69,EDC,credit_card,success,C2M payment - Grocery,REF35911780,C2M,2025-12-26 16:58:58,16,Friday,2025-12
T000102,2025-10-30 10:37:17,C00212,M0580,42369262.05,EDC,credit_card,success,C2M payment - Electronics,REF79394840,C2M,2025-10-30 10:37:17,10,Thursday,2025-10
T000103,2025-09-20 14:06:27,C01971,M0352,15355717.71,EDC,credit_card,success,C2M payment - Grocery,REF56241521,C2M,2025-09-20 14:06:27,14,Saturday,2025-09
T000104,2026-06-13 06:55:55,M0488,M0502,14890579.71,transfer,bank_transfer,success,M2M settlement - Electronics,REF08309872,M2M,2026-06-13 06:55:55,6,Saturday,2026-06
T000105,2025-11-30 04:02:29,C01909,M0009,20141264.39,EDC,debit,success,C2M payment - F&B,REF91156307,C2M,2025-11-30 04:02:29,4,Sunday,2025-11
T000106,2025-12-02 14:29:50,M0402,M0444,8345332.97,transfer,bank_transfer,success,M2M settlement - Grocery,REF03850891,M2M,2025-12-02 14:29:50,14,Tuesday,2025-12
T000107,2025-08-28 11:12:31,M0542,M0034,75000000.0,transfer,bank_transfer,success,M2M settlement - F&B,REF45251065,M2M,2025-08-28 11:12:31,11,Thursday,2025-08
T000108,2026-03-29 02:25:24,C01717,M0481,6096971.8,QRIS,QRIS,success,C2M payment - Grocery,REF84843802,C2M,2026-03-29 02:25:24,2,Sunday,2026-03
T000109,2025-08-01 12:59:07,C01355,M0518,19803562.39,QRIS,QRIS,success,C2M payment - Electronics,REF21949587,C2M,2025-08-01 12:59:07,12,Friday,2025-08
T000110,2026-05-07 01:50:09,C00008,M0128,23021325.96,transfer,bank_transfer,success,C2M payment - F&B,REF18887665,C2M,2026-05-07 01:50:09,1,Thursday,2026-05
T000111,2025-08-10 08:33:37,C01723,M0292,7770795.04,QRIS,QRIS,success,C2M payment - Fashion,REF53305644,C2M,2025-08-10 08:33:37,8,Sunday,2025-08
T000112,2025-07-01 01:56:46,C01827,M0087,394402.13,QRIS,QRIS,success,C2M payment - F&B,REF79109899,C2M,2025-07-01 01:56:46,1,Tuesday,2025-07
T000113,2025-11-12 19:33:51,C00811,M0669,8765151.04,transfer,bank_transfer,success,C2M payment - Automotive,REF94219337,C2M,2025-11-12 19:33:51,19,Wednesday,2025-11
T000114,2026-04-22 10:07:38,C00173,M0681,12795435.45,transfer,bank_transfer,success,C2M payment - Automotive,REF69065097,C2M,2026-04-22 10:07:38,10,Wednesday,2026-04
T000115,2025-08-31 03:47:24,C01326,M0639,7360140.08,QRIS,QRIS,success,C2M payment - Automotive,REF44875278,C2M,2025-08-31 03:47:24,3,Sunday,2025-08
T000116,2025-11-02 02:02:52,C01564,M0232,3425858.07,QRIS,QRIS,success,C2M payment - Fashion,REF33101134,C2M,2025-11-02 02:02:52,2,Sunday,2025-11
T000117,2025-07-15 19:06:53,C01345,M0522,20171822.2,EDC,debit,success,C2M payment - Electronics,REF22617888,C2M,2025-07-15 19:06:53,19,Tuesday,2025-07
T000118,2025-11-18 04:48:12,C00446,M0529,10126709.63,transfer,bank_transfer,success,C2M payment - Electronics,REF73758404,C2M,2025-11-18 04:48:12,4,Tuesday,2025-11
T000119,2025-12-29 18:24:44,C01221,M0025,282636.1,QRIS,QRIS,success,C2M payment - F&B,REF23115649,C2M,2025-12-29 18:24:44,18,Monday,2025-12
T000120,2025-07-29 01:37:24,C01688,M0584,19791025.68,EDC,credit_card,success,C2M payment - Electronics,REF47677106,C2M,2025-07-29 01:37:24,1,Tuesday,2025-07
T000121,2026-01-22 14:58:28,C01570,M0181,670943.2,transfer,bank_transfer,success,C2M payment - F&B,REF20200019,C2M,2026-01-22 14:58:28,14,Thursday,2026-01
T000122,2026-05-10 15:02:19,M0421,M0417,6298827.85,transfer,bank_transfer,success,M2M settlement - Grocery,REF91971947,M2M,2026-05-10 15:02:19,15,Sunday,2026-05
T000123,2025-08-30 08:17:35,C00811,M0180,23718777.6,transfer,bank_transfer,success,C2M payment - F&B,REF58988525,C2M,2025-08-30 08:17:35,8,Saturday,2025-08
T000124,2025-07-10 13:01:47,C01341,M0555,13003170.55,EDC,debit,success,C2M payment - Electronics,REF20039354,C2M,2025-07-10 13:01:47,13,Thursday,2025-07
T000125,2025-07-10 00:35:09,C00017,M0150,6115080.73,QRIS,QRIS,success,C2M payment - F&B,REF28766490,C2M,2025-07-10 00:35:09,0,Thursday,2025-07
T000126,2025-10-14 04:46:18,C01100,M0699,7912494.15,QRIS,QRIS,success,C2M payment - Automotive,REF52474960,C2M,2025-10-14 04:46:18,4,Tuesday,2025-10
T000127,2026-03-29 14:15:47,C00661,M0273,112839.19,EDC,debit,success,C2M payment - Fashion,REF96368927,C2M,2026-03-29 14:15:47,14,Sunday,2026-03
T000128,2026-05-21 12:00:01,M0110,M0347,3249792.28,transfer,bank_transfer,success,M2M settlement - Fashion,REF48079956,M2M,2026-05-21 12:00:01,12,Thursday,2026-05
T000129,2025-08-05 16:03:02,C00668,M0224,3310330.49,QRIS,QRIS,success,C2M payment - Fashion,REF18058622,C2M,2025-08-05 16:03:02,16,Tuesday,2025-08
T000130,2025-12-15 12:17:03,C01697,M0078,103831.03,QRIS,QRIS,success,C2M payment - F&B,REF07575942,C2M,2025-12-15 12:17:03,12,Monday,2025-12
T000131,2026-05-08 19:13:03,C00420,M0620,6626801.17,EDC,debit,success,C2M payment - Automotive,REF54789293,C2M,2026-05-08 19:13:03,19,Friday,2026-05
T000132,2026-01-28 08:45:35,C00915,M0582,11336894.15,QRIS,QRIS,success,C2M payment - Electronics,REF87728849,C2M,2026-01-28 08:45:35,8,Wednesday,2026-01
T000133,2025-07-21 05:41:12,C01542,M0371,4969270.73,QRIS,QRIS,success,C2M payment - Grocery,REF16383554,C2M,2025-07-21 05:41:12,5,Monday,2025-07
T000134,2025-12-24 22:24:41,M0242,M0273,2379864.15,transfer,bank_transfer,success,M2M settlement - Fashion,REF89816262,M2M,2025-12-24 22:24:41,22,Wednesday,2025-12
T000135,2026-02-09 23:44:11,C00472,M0389,210854.37,QRIS,QRIS,success,C2M payment - Grocery,REF33479182,C2M,2026-02-09 23:44:11,23,Monday,2026-02
T000136,2026-04-01 17:00:51,C00671,M0307,22256919.06,QRIS,QRIS,success,C2M payment - Fashion,REF61687934,C2M,2026-04-01 17:00:51,17,Wednesday,2026-04
T000137,2025-09-26 01:59:04,M0384,M0215,10105661.12,transfer,bank_transfer,success,M2M settlement - Fashion,REF30974663,M2M,2025-09-26 01:59:04,1,Friday,2025-09
T000138,2025-11-29 09:56:38,M0574,M0224,45699394.61,transfer,bank_transfer,success,M2M settlement - Fashion,REF15478747,M2M,2025-11-29 09:56:38,9,Saturday,2025-11
T000139,2026-06-11 18:20:46,M0034,M0190,11277910.38,transfer,bank_transfer,success,M2M settlement - F&B,REF10074705,M2M,2026-06-11 18:20:46,18,Thursday,2026-06
T000140,2025-11-05 20:38:33,C01878,M0094,306208.6,EDC,debit,success,C2M payment - F&B,REF84663316,C2M,2025-11-05 20:38:33,20,Wednesday,2025-11
T000141,2026-02-27 12:07:35,C01322,M0200,23994035.26,EDC,credit_card,success,C2M payment - F&B,REF77283912,C2M,2026-02-27 12:07:35,12,Friday,2026-02
T000142,2025-09-05 16:15:57,C00821,M0627,6950711.79,EDC,debit,success,C2M payment - Automotive,REF38984471,C2M,2025-09-05 16:15:57,16,Friday,2025-09
T000143,2025-07-30 12:31:07,M0614,M0257,4619286.29,EDC,debit,success,M2M settlement - Fashion,REF61939301,M2M,2025-07-30 12:31:07,12,Wednesday,2025-07
T000144,2026-05-04 15:46:24,C00125,M0381,12000870.17,EDC,debit,success,C2M payment - Grocery,REF79505199,C2M,2026-05-04 15:46:24,15,Monday,2026-05
T000145,2025-07-01 11:42:46,C00718,M0095,5884902.12,EDC,debit,success,C2M payment - F&B,REF43336837,C2M,2025-07-01 11:42:46,11,Tuesday,2025-07
T000148,2026-02-17 11:10:21,C00388,M0662,3832690.41,EDC,debit,success,C2M payment - Automotive,REF15862937,C2M,2026-02-17 11:10:21,11,Tuesday,2026-02
T000150,2026-02-26 15:31:39,M0353,M0444,3605473.45,EDC,debit,success,M2M settlement - Grocery,REF32629293,M2M,2026-02-26 15:31:39,15,Thursday,2026-02
T000151,2025-12-28 19:15:19,C00965,M0487,14342230.28,EDC,debit,success,C2M payment - Grocery,REF65870130,C2M,2025-12-28 19:15:19,19,Sunday,2025-12
T000152,2025-09-01 13:26:57,C00692,M0361,179320.94,QRIS,QRIS,success,C2M payment - Grocery,REF94208175,C2M,2025-09-01 13:26:57,13,Monday,2025-09
T000153,2025-07-22 04:31:14,C01393,M0477,3312949.88,QRIS,QRIS,success,C2M payment - Grocery,REF79216209,C2M,2025-07-22 04:31:14,4,Tuesday,2025-07
T000155,2025-07-03 01:52:30,M0350,M0232,41584947.74,transfer,bank_transfer,success,M2M settlement - Fashion,REF29300673,M2M,2025-07-03 01:52:30,1,Thursday,2025-07
T000156,2025-11-18 20:32:34,C01389,M0025,268901.47,EDC,debit,success,C2M payment - F&B,REF35455439,C2M,2025-11-18 20:32:34,20,Tuesday,2025-11
T000157,2026-03-18 17:49:49,C01677,M0139,333384.59,QRIS,QRIS,success,C2M payment - F&B,REF26592581,C2M,2026-03-18 17:49:49,17,Wednesday,2026-03
T000158,2025-12-30 22:12:55,C00996,M0402,8538802.84,QRIS,QRIS,success,C2M payment - Grocery,REF14161752,C2M,2025-12-30 22:12:55,22,Tuesday,2025-12
T000159,2025-07-27 11:16:24,C01830,M0380,30000000.0,transfer,bank_transfer,success,C2M payment - Grocery,REF76418058,C2M,2025-07-27 11:16:24,11,Sunday,2025-07
T000160,2026-04-07 00:20:15,C00978,M0417,10028087.73,EDC,debit,success,C2M payment - Grocery,REF37040739,C2M,2026-04-07 00:20:15,0,Tuesday,2026-04
T000161,2025-07-21 23:50:30,C01877,M0380,3898565.19,QRIS,QRIS,success,C2M payment - Grocery,REF98860355,C2M,2025-07-21 23:50:30,23,Monday,2025-07
T000162,2025-07-05 19:36:31,M0598,M0066,8232265.89,transfer,bank_transfer,success,M2M settlement - F&B,REF86124269,M2M,2025-07-05 19:36:31,19,Saturday,2025-07
T000163,2026-05-30 01:23:35,M0623,M0079,17046404.0,transfer,bank_transfer,success,M2M settlement - F&B,REF41486361,M2M,2026-05-30 01:23:35,1,Saturday,2026-05
T000164,2026-04-11 11:18:11,C00695,M0024,9608887.31,QRIS,QRIS,success,C2M payment - F&B,REF24740211,C2M,2026-04-11 11:18:11,11,Saturday,2026-04
