merchant_id,observed_qris_amount,observed_edc_amount,gross_qris_mdr_period,gross_edc_mdr_period,observation_months,monthly_gross_qris_mdr,monthly_gross_edc_mdr,monthly_net_qris_fbi,monthly_net_edc_fbi,monthly_net_total_fbi
M0066,303469729.02,390300202.46,2124288.1031400003,3407527.02022,12,177024.00859500002,283960.58501833334,150470.40730575,241366.49726558334,391836.9045713333
M0065,10633064.15,4386474.6,14816.60103,31740.248955,12,1234.7167525,2645.02074625,1049.509239625,2248.2676343125,3297.7768739374997
M0064,14320311.97,2939907.05,17131.19382,9158.893085,12,1427.599485,763.2410904166667,1213.4595622499999,648.7549268541667,1862.2144891041667
M0088,14724714.88,12718162.95,22426.80669,89913.12301000001,12,1868.9005575,7492.760250833334,1588.565473875,6368.846213208333,7957.411687083333
M0085,15290709.27,3881780.9,15100.148640000001,11887.007055,12,1258.34572,990.58392125,1069.593862,841.9963330625,1911.5901950624998
M0644,512693863.84999996,962849314.23,3588857.04695,7369385.7864500005,12,299071.4205791667,614115.4822041667,254210.70749229167,521998.1598735417,776208.8673658334
M0642,482556737.03999996,510595997.72,3377897.15928,4428775.918295,12,281491.42994,369064.65985791665,239267.71544899998,313704.9608792291,552972.6763282291
M0641,395122318.04,343117894.18,2765856.22628,2553480.713035,12,230488.01885666666,212790.05941958333,195914.81602816665,180871.5505066458,376786.3665348125
M0639,254299209.13,1291408248.3,1780094.46391,8385830.533375001,12,148341.20532583332,698819.2111145834,126090.02452695831,593996.3294473959,720086.3539743542
M0636,8851524.15,8437324.04,10266.51996,43550.539469999996,12,855.54333,3629.2116224999995,727.2118304999999,3084.8298791249995,3812.0417096249994
M0635,443798859.34999996,981400340.18,3106592.01545,8793327.13509,12,258882.66795416665,732777.2612575,220050.26776104164,622860.672068875,842910.9398299167
M0632,366030838.01,493581400.34,2562215.86607,4322836.52115,12,213517.98883916668,360236.37676250003,181490.29051329166,306200.92024812504,487691.2107614167
M0084,5391027.94,6159094.41,2976.7095,58921.869395,12,248.059125,4910.155782916667,210.85025625,4173.632415479166,4384.482671729166
M0083,14132848.44,5743921.57,31110.63939,31520.935484999998,12,2592.5532825,2626.74462375,2203.670290125,2232.7329301874997,4436.4032203125
M0082,5469682.220000001,867006.1900000001,9695.7402,14176.975670000002,12,807.97835,1181.4146391666668,686.7815975,1004.2024432916668,1690.9840407916668
M0104,280347868.12,410806436.61,1962435.07684,3090028.07224,12,163536.25640333333,257502.33935333334,139005.81794283332,218876.98845033333,357882.80639316665
M0103,431168435.39,760423353.23,3018179.04773,6011587.4410500005,12,251514.92064416668,500965.6200875,213787.68254754166,425820.777074375,639608.4596219166
M0101,423967866.38,321414940.42,2967775.06466,2247238.665825,12,247314.5887216667,187269.88881875,210217.40041341668,159179.4054959375,369396.8059093542
M0132,275514466.42,313136062.87,1928601.2649400001,1537810.99027,12,160716.77207833334,128150.91585583333,136609.25626658334,108928.27847745833,245537.53474404168
M0597,333431053.01,383320815.0,2334017.37107,2553029.893245,12,194501.44758916667,212752.49110374998,165326.23045079166,180839.61743818747,346165.84788897913
M0628,345978188.51,403197740.81,2421847.31957,3817163.5916150003,12,201820.60996416665,318096.9659679167,171547.51846954165,270382.4210727292,441929.93954227085
M0626,6600621.41,11019278.9,7602.83226,34290.277175,12,633.569355,2857.5230979166668,538.5339517499999,2428.8946332291666,2967.4285849791668
M0622,11650398.12,5962058.84,22006.10451,51195.28118,12,1833.8420425000002,4266.2734316666665,1558.765736125,3626.3324169166663,5185.098153041667
M0618,190751907.51999998,413405722.25,1335263.35264,1948429.23474,12,111271.94605333333,162369.102895,94581.15414533333,138013.73746074998,232594.8916060833
M0617,12177601.65,7653423.59,15431.46225,47227.46357,12,1285.9551875,3935.6219641666667,1093.061909375,3345.2786695416667,4438.340578916666
M0616,402205847.66,380916251.90000004,2815440.93362,2755530.737,12,234620.07780166666,229627.5614166667,199427.06613141665,195183.42720416668,394610.49333558336
M0614,9325942.17,3882248.18,18784.66245,58254.10942,12,1565.3885375,4854.509118333333,1330.580256875,4126.332750583333,5456.913007458334
M0099,13857413.23,10170338.05,20471.51487,29332.64085,12,1705.9595725,2444.3867375,1450.0656366249998,2077.728726875,3527.7943635
M0097,7519967.54,4064230.67,14640.027810000001,54873.39217,12,1220.0023175000001,4572.782680833333,1037.001969875,3886.865278708333,4923.867248583333
M0095,406951904.13,289447044.64,2848663.32891,1300171.950745,12,237388.61074250002,108347.66256208334,201780.31913112503,92095.51317777083,293875.8323088959
M0599,297148089.54,370090019.42,2080036.62678,2671046.684815,12,173336.385565,222587.22373458333,147335.92773025,189199.1401743958,336535.0679046458
M0130,15393344.26,7663338.95,20621.82162,123394.88376,12,1718.485135,10282.90698,1460.7123647499998,8740.470932999999,10201.183297749998
M0129,9047296.47,4574967.91,7353.52644,30612.316745,12,612.79387,2551.0263954166667,520.8747894999999,2168.372436104167,2689.2472256041665
M0124,292076348.13,205191892.36,2044534.43691,1037351.8159350001,12,170377.86974249998,86445.98466125001,144821.18928112497,73479.0869620625,218300.2762431875
M0123,14050434.86,8248721.62,24411.53295,74619.086895,12,2034.2944125000001,6218.25724125,1729.1502506250001,5285.5186550625,7014.6689056875
M0120,10621453.07,5781362.87,11905.24968,42974.878430000004,12,992.10414,3581.239869166667,843.288519,3044.053888791667,3887.342407791667
M0148,11610380.92,6579609.25,15353.31054,41841.72789,12,1279.442545,3486.8106575,1087.52616325,2963.789058875,4051.315222125
M0115,8264585.03,6752285.18,6698.042370000001,37073.068380000004,12,558.1701975000001,3089.4223650000004,474.44466787500005,2626.0090102500003,3100.4536781250004
M0113,9777359.79,4128321.55,12358.59759,18584.95578,12,1029.8831324999999,1548.746315,875.4006626249999,1316.43436775,2191.835030375
M0112,6454251.57,3773143.15,4850.50302,49108.621215,12,404.208585,4092.38510125,343.57729725,3478.5273360624997,3822.1046333124996
M0111,10163681.629999999,6221723.74,12543.890309999999,49120.81015,12,1045.3241925,4093.4008458333333,888.5255636249999,3479.3907189583333,4367.916282583334
M0109,489981174.40000004,316063781.73,3429868.2208000002,2786837.9456350002,12,285822.3517333334,232236.49546958334,242948.99897333336,197401.02114914585,440350.0201224792
M0108,11695124.38,6190583.69,16062.39831,36273.992995,12,1338.5331925,3022.832749583333,1137.753213625,2569.407837145833,3707.161050770833
M0106,344698507.16,401808082.49,2412889.5501200003,2195723.853695,12,201074.1291766667,182976.98780791668,170913.00980016668,155530.43963672916,326443.44943689584
M0137,310979848.23,273883855.36,2176858.93761,1953613.86137,12,181404.9114675,162801.15511416667,154194.174747375,138380.98184704166,292575.15659441665
M0136,10040168.6,4616969.46,10905.28986,6925.45419,12,908.7741550000001,577.1211825,772.45803175,490.553005125,1263.0110368750002
M0135,263752869.01,401774081.05,1846270.08307,2235750.39184,12,153855.84025583332,186312.53265333336,130777.46421745831,158365.65275533334,289143.1169727917
M0134,456678865.68,696016076.93,3196752.05976,4722178.21187,12,266396.00498,393514.85098916665,226436.60423300002,334487.6233407916,560924.2275737916
M0133,10832734.9,3282971.3200000003,19065.68865,32960.748735,12,1588.8073875,2746.72906125,1350.4862793749999,2334.7197020625,3685.2059814374998
M0163,286038891.51,230981388.26,2002272.24057,1180900.18976,12,166856.0200475,98408.34914666666,141827.617040375,83647.09677466666,225474.71381504164
M0581,301485472.11,1249677642.41,2110398.3047700003,10638164.09301,12,175866.52539750002,886513.6744175,149486.54658787503,753536.623254875,903023.16984275
M0612,422951519.22,280152375.59000003,2960660.63454,866923.2991,12,246721.719545,72243.60825833333,209713.46161325,61407.06701958333,271120.52863283333
M0611,401756548.78,2304270767.31,2812295.8414600003,12949733.619,12,234357.98678833336,1079144.4682500002,199204.28877008337,917272.7980125,1116477.0867825835
M0610,338288927.03,377323319.21,2368022.4892100003,2828981.852605,12,197335.2074341667,235748.48771708334,167734.92631904167,200386.21455952083,368121.14087856247
M0609,223339791.55,271341286.85,1563378.54085,2151839.44563,12,130281.54507083334,179319.9538025,110739.31331020834,152421.960732125,263161.27404233336
M0604,449491151.55,981582008.23,3146438.06085,7803614.095535,12,262203.1717375,650301.1746279167,222872.695976875,552755.9984337292,775628.6944106042
M0603,440058053.01,470804178.16,3080406.37107,1513617.896835,12,256700.53092249998,126134.82473625,218195.45128412498,107214.60102581249,325410.0523099375
M0602,217801841.95,2100790023.22,1524612.89365,19762022.02075,12,127051.07447083334,1646835.1683958333,107993.41330020834,1399809.8931364582,1507803.3064366665
M0600,347566450.14,857835012.83,2432965.15098,6491592.6307500005,12,202747.09591499998,540966.0525625,172335.03152775,459821.144678125,632156.176205875
M0593,186680562.32,358521866.65999997,1306763.93624,2251996.32054,12,108896.99468666666,187666.360045,92562.44548366666,159516.40603825002,252078.8515219167
M0592,5481237.75,6391117.13,1952.1961800000001,31138.488605,12,162.683015,2594.8740504166667,138.28056275,2205.6429428541664,2343.9235056041666
M0591,206512591.07,3055982967.32,1445588.13749,31316532.244055,12,120465.67812416668,2609711.0203379164,102395.82640554167,2218254.367287229,2320650.1936927703
M0590,436231449.5,471334386.57,3053620.1465,5006421.51009,12,254468.34554166664,417201.7925075,216298.09371041664,354621.523631375,570919.6173417916
M0589,368730862.12,1506497201.48,2581116.0348400003,9664688.270915,12,215093.00290333337,805390.6892429166,182829.05246783336,684582.0858564791,867411.1383243125
M0588,485110200.92,441792755.15999997,3395771.40644,4103150.650095,12,282980.95053666667,341929.22084125,240533.80795616665,290639.8377150625,531173.6456712291
M0587,237222872.61,1279570562.92,1660560.10827,14340423.067545,12,138380.0090225,1195035.25562875,117623.00766912499,1015779.9672844374,1133402.9749535625
M0586,6761019.350000001,2965167.91,11599.359690000001,18510.207000000002,12,966.6133075000001,1542.51725,821.6213113750001,1311.1396625,2132.760973875
M0585,294172567.56,536542780.96,2059207.97292,4522014.818575,12,171600.66441,376834.5682145834,145860.5647485,320309.3829823959,466169.9477308959
M0584,263544910.18,516844099.58,1844814.3712600002,4607901.9286,12,153734.53093833334,383991.82738333335,130674.35129758333,326393.0532758333,457067.4045734166
M0583,521921616.65,1527190584.95,3653451.31655,16523510.06793,12,304454.2763791667,1376959.1723275,258786.13492229168,1170415.296478375,1429201.4314006667
M0582,514908162.88,412632852.51,3604357.14016,3290942.1688,12,300363.0950133333,274245.18073333334,255308.6307613333,233108.40362333335,488417.03438466665
M0146,324855693.11,367723348.31,2273989.85177,2110652.140645,12,189499.15431416666,175887.67838708335,161074.28116704166,149504.52662902084,310578.8077960625
M0144,9435153.23,3463748.7,19352.40351,26087.357070000002,12,1612.7002925,2173.9464225,1370.7952486249999,1847.8544591250002,3218.64970775
M0143,373797642.64,237810023.98,2616583.49848,1524686.608775,12,218048.62487333335,127057.21739791667,185341.33114233334,107998.63478822916,293339.96593056247
M0138,9594744.52,4544868.64,10667.595720000001,34669.320285,12,888.9663100000001,2889.11002375,755.6213635000001,2455.7435201875,3211.3648836875
M0172,10655132.27,6272026.82,13683.24291,60032.351725,12,1140.2702425,5002.695977083334,969.229706125,4252.291580520833,5221.521286645833
M0169,7692989.59,5873433.11,16255.9902,68283.29939,12,1354.66585,5690.274949166666,1151.4659725000001,4836.733706791666,5988.199679291666
M0167,10561533.96,3678394.69,11587.977930000001,9008.71057,12,965.6648275000001,750.7258808333332,820.815103375,638.1169987083332,1458.9321020833331
M0166,362881967.16,161961553.0,2540173.77012,1633234.89525,12,211681.14751,136102.90793750001,179928.97538350002,115687.471746875,295616.447130375
M0196,415620432.58,315573618.74,2909343.02806,3049036.25662,12,242445.25233833332,254086.35471833334,206078.46448758332,215973.40151058332,422051.8659981666
M0161,13356751.629999999,13081572.46,20146.54152,167159.3529,12,1678.87846,13929.946075,1427.0466909999998,11840.454163749999,13267.500854749998
M0159,430193224.51,276109404.40999997,3011352.57157,1241790.26552,12,250946.04763083335,103482.52212666666,213304.14048620834,87960.14380766667,301264.284293875
M0157,9336330.7,3171609.19,10634.26461,13865.572989999999,12,886.1887175,1155.4644158333333,753.260409875,982.1447534583333,1735.4051633333333
M0154,12623886.37,11189174.95,15985.52028,24428.395510000002,12,1332.12669,2035.6996258333336,1132.3076865,1730.3446819583335,2862.6523684583335
M0153,482330540.56,295961871.01,3376313.7839200003,1301966.26658,12,281359.4819933334,108497.18888166668,239155.55969433335,92222.61054941667,331378.17024375004
M0152,9230887.86,5595000.93,10826.922480000001,90512.11550500001,12,902.24354,7542.676292083334,766.907009,6411.274848270834,7178.181857270834
M0149,5667623.54,2492192.02,7440.38853,12212.37509,12,620.0323775,1017.6979241666667,527.027520875,865.0432355416666,1392.0707564166667
M0179,356253740.72,304792655.97,2493776.18504,1048921.380715,12,207814.68208666667,87410.11505958333,176642.47977366665,74298.59780064583,250941.07757431248
M0595,6241805.13,2987685.2800000003,8878.147830000002,39612.954845,12,739.8456525000001,3301.0795704166667,628.868804625,2805.9176348541664,3434.7864394791663
M0594,12048916.17,11942803.72,22223.553330000002,95057.895225,12,1851.9627775000001,7921.49126875,1574.168360875,6733.2675784375,8307.4359393125
M0211,504898708.45,1100826565.4,3534290.95915,7949995.4021149995,12,294524.24659583333,662499.6168429166,250345.60960645834,563124.6743164791,813470.2839229375
M0210,14475605.42,8432366.76,20861.64285,33932.670640000004,12,1738.4702375,2827.7225533333335,1477.6997018749998,2403.5641703333335,3881.2638722083334
M0579,353308871.97,605975051.5,2473162.10379,4356677.2993250005,12,206096.84198250002,363056.4416104167,175182.315685125,308597.9753688542,483780.2910539792
M0578,5854805.62,3142911.08,4185.71115,45336.118095000005,12,348.8092625,3778.0098412500006,296.48787312499996,3211.3083650625003,3507.7962381875004
M0577,234578188.45000002,480859438.07,1642047.31915,5609434.547195,12,136837.27659583333,467452.8789329166,116311.68510645833,397334.9470929791,513646.6321994374
M0573,222132359.73000002,436368698.7,1554926.51811,3278330.257215,12,129577.2098425,273194.18810125004,110140.62836612499,232215.05988606252,342355.6882521875
M0572,5066847.43,4590227.1,5912.07945,50382.255935,12,492.6732875,4198.521327916666,418.772294375,3568.7431287291665,3987.5154231041665
M0571,7157899.99,9692179.46,2521.66503,95114.127305,12,210.1387525,7926.177275416667,178.617939625,6737.250684104167,6915.868623729167
M0570,404472761.40999997,457245639.47,2831309.32987,4602226.9595,12,235942.44415583333,383518.91329166666,200551.07753245832,325991.07629791665,526542.1538303749
M0568,8391787.629999999,2884433.36,13072.51539,49276.35386,12,1089.3762825000001,4106.362821666667,925.969840125,3490.4083984166664,4416.378238541666
M0567,8638679.72,4041440.02,9595.1742,51816.86175,12,799.59785,4318.071812499999,679.6581725,3670.3610406249995,4350.019213125
M0177,11116010.02,7249254.66,18400.9824,39620.306975,12,1533.4152000000001,3301.6922479166665,1303.40292,2806.438410729166,4109.841330729167
M0176,371786227.44,485905044.04,2602503.59208,3374854.215765,12,216875.29934,281237.85131374997,184344.00443899998,239052.17361668748,423396.17805568746
M0175,491942777.76,473021027.45,3443599.4443200002,3678394.32452,12,286966.62036,306532.86037666665,243921.62730599998,260552.93132016665,504474.55862616666
M0459,558551660.01,541804001.09,3909861.62007,3717295.024005,12,325821.80167250003,309774.58533375,276948.531421625,263308.3975336875,540256.9289553125
M0458,13730157.99,3428839.39,27432.28479,9368.13054,12,2286.0237325000003,780.677545,1943.1201726250001,663.57591325,2606.696085875
M0457,378824061.31,304944374.19,2651768.42917,1371360.58296,12,220980.70243083333,114280.04858,187833.59706620834,97138.041293,284971.63835920836
M0456,12322809.5,2536759.09,20289.42402,27944.311410000002,12,1690.7853349999998,2328.6926175000003,1437.1675347499997,1979.3887248750002,3416.556259625
M0455,22459334.68,2671139.73,42367.96032,25291.65834,12,3530.66336,2107.638195,3001.0638559999998,1791.4924657499998,4792.556321749999
M0672,9118816.22,4552139.14,15322.15941,32061.670545,12,1276.8466175,2671.80587875,1085.319624875,2271.0349969374997,3356.3546218124998
M0671,213752126.12,500106927.52,1496264.88284,3452710.1656950004,12,124688.74023666668,287725.84714125004,105985.42920116667,244566.97007006253,350552.39927122917
M0669,327109309.59,343600921.08,2289765.16713,3945656.398285,12,190813.7639275,328804.6998570833,162191.69933837498,279483.99487852084,441675.69421689585
M0668,338226493.77,2190688196.51,2367585.45639,14076537.17543,12,197298.7880325,1173044.7646191667,167703.96982762497,997088.0499262917,1164792.0197539167
M0667,9704710.18,4797411.45,17756.28216,26317.648540000002,12,1479.6901799999998,2193.1373783333333,1257.736653,1864.1667715833332,3121.903424583333
M0666,7934577.04,5085112.21,10157.948489999999,68970.87944,12,846.4957074999999,5747.573286666667,719.5213513749999,4885.437293666667,5604.958645041666
M0663,412792464.72,964059745.78,2889547.25304,8671499.642115,12,240795.60442,722624.9701762501,204676.26375699998,614231.2246498126,818907.4884068125
M0421,14246967.52,8732404.25,9972.47334,63092.422515,12,831.039445,5257.70187625,706.3835282499999,4469.0465948125,5175.430123062501
M0452,529078725.38,949111217.87,3703551.0776600004,5177884.053085,12,308629.2564716667,431490.33775708335,262334.8680009167,366766.78709352086,629101.6550944375
M0451,375229267.51,231423059.83,2626604.87257,912052.4767450001,12,218883.73938083334,76004.37306208334,186051.17847370834,64603.71710277083,250654.89557647918
M0450,522075946.38,308331962.61,3654531.62466,656794.791095,12,304544.30205500004,54732.899257916666,258862.65674675003,46522.964369229165,305385.6211159792
M0205,4774273.47,1667437.79,8262.52239,9141.615135,12,688.5435325,761.80126125,585.2620026249999,647.5310720625,1232.7930746875
M0204,5410222.61,5300266.1899999995,4044.94164,29658.71535,12,337.07847,2471.5596124999997,286.51669949999996,2100.825670625,2387.342370125
M0203,516488129.81,801538987.51,3615416.90867,6383289.0400950005,12,301284.74238916667,531940.75334125,256092.03103079167,452149.6403400625,708241.6713708541
M0202,10845048.53,6920331.01,15355.80288,67839.618765,12,1279.65024,5653.30156375,1087.7027039999998,4805.3063291875005,5893.0090331875
M0199,276747051.48,480788991.76,1937229.36036,2016162.5748700001,12,161435.78003,168013.54790583334,137220.4130255,142811.51571995835,280031.92874545837
M0198,14134989.08,13513510.82,18413.13525,72359.80011,12,1534.4279374999999,6029.9833425,1304.263746875,5125.485841125,6429.749588
M0228,6908332.53,3411099.61,4740.95139,26671.644695,12,395.07928250000003,2222.6370579166664,335.81739012500003,1889.2414992291665,2225.0588893541667
M0227,266881568.66,385996576.71999997,1868170.98062,3471577.711015,12,155680.91505166667,289298.1425845833,132328.77779391667,245903.4211968958,378232.19899081247
M0193,13342184.39,9120338.99,14824.29735,27855.695035,12,1235.3581125,2321.3079195833334,1050.054395625,1973.1117316458333,3023.1661272708334
M0191,11667779.2,13057366.22,12994.00941,70127.95572,12,1082.8341175,5843.9963099999995,920.4089998750001,4967.396863499999,5887.805863374999
M0190,14826305.58,6934847.16,25950.155430000003,55033.027345,12,2162.5129525,4586.085612083333,1838.136009625,3898.172770270833,5736.308779895833
M0188,382594867.68,438631479.11,2678164.07376,2499813.51033,12,223180.33948,208317.7925275,189703.288558,177070.12364837498,366773.412206375
M0184,10756509.46,9953485.64,21040.48053,37455.816805,12,1753.3733775,3121.3180670833335,1490.367370875,2653.1203570208336,4143.487727895834
M0183,19088256.66,9616823.58,36002.00964,58662.925989999996,12,3000.16747,4888.577165833333,2550.1423495,4155.290590958333,6705.432940458333
M0182,12722821.06,1717168.0999999999,19639.55736,4327.90935,12,1636.62978,360.6591125,1391.135313,306.560245625,1697.695558625
M0564,781607719.95,2731641835.8,5471254.039650001,26096091.96754,12,455937.83663750003,2174674.330628333,387547.161141875,1848473.181034083,2236020.342175958
M0563,202328046.29,318779060.66,1416296.32403,2374598.85536,12,118024.69366916666,197883.23794666666,100320.98961879166,168200.75225466664,268521.7418734583
M0562,378603409.5,860699400.37,2650223.8665,8071466.291900001,12,220851.988875,672622.1909916668,187724.19054375,571728.8623429168,759453.0528866667
M0561,7857216.01,3073165.32,11557.71267,26733.48765,12,963.1427225000001,2227.7906375,818.6713141250001,1893.6220418749997,2712.2933559999997
M0560,16112529.68,6597852.18,34969.633050000004,29554.279609999998,12,2914.1360875000005,2462.8566341666665,2477.0156743750003,2093.4281390416663,4570.443813416667
M0558,394864294.33,512723408.67,2764050.06031,4858942.04971,12,230337.50502583335,404911.8374758333,195786.87927195834,344175.0618544583,539961.9411264167
