merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_nasabah_bni,produk_bni,tgl_registrasi,status,avg_omzet_bulanan,degree,weighted_degree,pagerank,betweenness,community_id,community_size,connected_bni_ratio,avg_neighbor_jaccard,n_customers,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating,is_hub,customer_density,log_pagerank,log_omzet,log_weighted_degree,log_n_customers,avg_amount_per_transactions,edc_ratio,qris_ratio
M0167,CV Bahan Harmoni,F&B,catering,supplier,Bekasi,Kemang Pratama,Ya,EDC,2021-11-04,aktif,568009174.0,26.0,1.7344760000000001,0.00536302841270963,0.017689231001433853,16,46.0,0.7307692307692307,0.06671061538461538,253.0,13.0,21.0,4.3,1.0,0,0,1,1,9.37037037037037,4.000588383329418,20.157648129723977,1.0059398270245399,5.537334267018537,452116.7536764706,0.14338236,0.26838234
M0619,Bengkel Lestari,Automotive,bengkel,retailer,Jakarta,Kelapa Gading,Ya,QRIS,2020-03-11,aktif,101230262.0,5.0,0.265647,0.002162466957106512,0.007239705179483309,13,36.0,0.6,0.05312940000000001,50.0,3.0,4.0,3.2,2.0,1,0,1,0,8.333333333333334,3.119040884885535,18.432908311615616,0.23558345387773866,3.9318256327243257,181562.72222222222,0.37037036,0.5
M0376,UD Sembako Sejahtera,Grocery,supermarket,supplier,Bogor,Cibinong,Ya,"EDC, QRIS",2020-06-12,aktif,159271674.0,23.0,1.647413,0.004971765041046488,0.009584182325862198,16,46.0,0.7391304347826086,0.07162665217391305,271.0,14.0,81.0,0.0,5.0,0,1,0,1,11.291666666666666,3.9262739843411385,18.886121949905256,0.973582936763682,5.605802066295998,488750.3645833333,0.15972222,0.2013889
M0398,UD Sembako Bu Tini,Grocery,toko_kelontong,supplier,Bekasi,Unknown,Ya,QRIS,2024-02-05,aktif,869212249.0,7.0,0.37307,0.0019325867993436878,0.01697985057731492,6,29.0,0.7142857142857143,0.05329571428571428,109.0,20.0,5.0,0.0,2.0,0,0,0,0,13.625,3.0118943602261634,20.583097899666473,0.31704910873459363,4.700480365792417,426155.3947368421,0.12280702,0.1754386
M0078,Dapur Mas Bro,F&B,restaurant,retailer,Jakarta,Kemang,Tidak,,,,50168273.0,1.0,0.051546,0.0006108908960008967,0.0,0,39.0,0.0,0.051546,43.0,13.0,30.0,3.2,1.0,1,1,1,0,21.5,1.9613487805647352,17.73089339283894,0.05026146223179925,3.784189633918261,400929.1777777778,0.4888889,0.35555556
M0695,CV Sparepart Harmoni,Automotive,dealer,supplier,Jakarta,Cempaka Putih,Ya,"EDC, QRIS",2021-04-23,aktif,472940907.0,5.0,0.283568,0.002016351578465313,0.00552914245465751,2,31.0,0.6,0.056713599999999996,81.0,16.0,30.0,3.5,1.0,0,0,1,0,13.5,3.0522787455821336,19.974481008419218,0.2496437000581107,4.406719247264253,455513.0705882353,0.11764706,0.21176471
M0570,CV Tech Supply Jaya,Electronics,gadget,supplier,Jakarta,Cempaka Putih,Ya,"EDC, QRIS",2019-04-03,aktif,222133522.0,22.0,1.513845,0.004467448330500705,0.004935476567806203,16,46.0,0.6818181818181818,0.06881113636363637,253.0,3.0,67.0,4.4,1.0,0,0,1,1,11.0,3.821539789775499,19.218789213989968,0.921813453533832,5.537334267018537,472555.75539568346,0.12589929,0.26978418
M0034,PT Distributor Sukses,F&B,bakery,supplier,Bogor,Dramaga,Ya,EDC,2024-09-01,aktif,126257149.0,5.0,0.275738,0.0014207701120559876,0.0037682690614544816,11,31.0,0.4,0.0551476,103.0,19.0,22.0,0.0,1.0,1,0,0,0,17.166666666666668,2.721801952215516,18.653831258179483,0.24352483468607644,4.6443908991413725,469421.8396226415,0.1509434,0.2735849
M0139,PT Distributor Jaya,F&B,cafe,supplier,Tangerang,Karawaci,Ya,EDC,2021-04-17,tidak aktif,564140433.0,2.0,0.105493,0.0008576921238299439,0.002223731542273539,2,31.0,0.0,0.0527465,93.0,1.0,9.0,0.0,1.0,0,0,0,0,31.0,2.2593561664584096,20.15081377492176,0.10029138931883566,4.543294782270004,436992.0816326531,0.12244898,0.31632653
M0265,Toko Baju Prima,Fashion,footwear,retailer,Tangerang,Unknown,Ya,EDC,2024-11-04,aktif,52309505.0,6.0,0.32921,0.0021747394828013473,0.00736045078358866,3,31.0,0.8333333333333334,0.05486833333333333,52.0,8.0,23.0,3.2,1.0,0,0,1,0,7.428571428571429,3.124450625785486,17.772688671601188,0.28458478079230126,3.970291913552122,118263.92307692308,0.30769232,0.53846157
M0166,Resto Surya,F&B,cafe,retailer,Bandung,Setiabudhi,Ya,QRIS,2024-11-14,aktif,95201174.0,2.0,0.11088300000000001,0.0011956029304895802,0.0031595099740900057,14,48.0,1.0,0.055441500000000005,50.0,6.0,15.0,4.7,1.0,0,1,1,0,16.666666666666668,2.561561263184867,18.3715028421224,0.10515519458089653,3.9318256327243257,172886.07407407407,0.37037036,0.5925926
M0152,Dapur Buana,F&B,restaurant,retailer,Depok,Margonda,Ya,EDC,2022-03-09,aktif,89684040.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,11.0,43.0,4.5,1.0,0,1,1,0,0.0,0.0,18.311803395927093,0.0,0.0,185212.9111111111,0.33333334,0.4888889
M0563,Digital Mas Bro,Electronics,gadget,retailer,Bandung,Cihampelas,Tidak,,,,143811249.0,1.0,0.0625,0.0006022892284208211,0.0,11,31.0,1.0,0.0625,52.0,19.0,25.0,4.4,1.0,0,0,1,0,26.0,1.9491751394838965,18.784012233848987,0.06062462181643484,3.970291913552122,170037.25454545455,0.38181818,0.38181818
M0070,Kafe Bu Tini,F&B,warung,retailer,Bandung,Setiabudhi,Tidak,,,,36740572.0,6.0,0.34339600000000003,0.002078653947852454,0.017140844716122053,7,40.0,0.8333333333333334,0.05723266666666666,67.0,11.0,19.0,4.7,1.0,0,1,1,0,9.571428571428571,3.0812923239775767,17.4193922337102,0.2952007363264682,4.219507705176107,527364.1343283582,0.25373134,0.58208954
M0194,Warung Makmur,F&B,restaurant,retailer,Tangerang,Gading Serpong,Tidak,,,,21398579.0,3.0,0.16403,0.00118232926474266,0.0028073352954494,12,67.0,0.3333333333333333,0.05467666666666666,54.0,18.0,45.0,3.4,1.0,0,1,1,0,13.5,2.5512632552883523,16.878835122650294,0.15188812217299927,4.007333185232471,794806.5272727272,0.4,0.45454547
M0652,Bengkel Pratama,Automotive,dealer,retailer,Bogor,Sentul,Ya,EDC,2024-12-25,aktif,180982070.0,2.0,0.116549,0.0009366405098255352,0.0009508716323296355,2,31.0,1.0,0.0582745,51.0,1.0,7.0,0.0,1.0,0,0,0,0,17.0,2.3385702985192065,19.013908529075184,0.11024267848239826,3.9512437185814275,331857.92727272725,0.36363637,0.5272727
M0537,PT Elektronik Nusantara,Electronics,accessories,supplier,Bogor,Tanah Sareal,Ya,EDC,2021-01-24,aktif,147844160.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,5.0,56.0,0.0,2.0,0,0,0,0,0.0,0.0,18.811669310753786,0.0,0.0,471178.55555555556,0.11111111,0.11111111
M0124,UD Supplier Utama,F&B,warung,supplier,Jakarta,Kemang,Ya,QRIS,2020-06-23,aktif,95871484.0,29.0,1.818024,0.0058741105328530396,0.04011269589716499,16,46.0,0.7241379310344828,0.06269048275862069,252.0,19.0,49.0,4.0,3.0,0,0,1,1,8.4,4.090020314935686,18.378519154658886,1.0360359301187172,5.53338948872752,479216.45955882355,0.14705883,0.26838234
M0582,Komputer Sumber,Electronics,accessories,retailer,Bandung,Buah Batu,Tidak,,,,45183425.0,2.0,0.108821,0.0007316683312941063,0.000825094961386562,9,62.0,0.5,0.0544105,45.0,16.0,36.0,5.0,1.0,1,1,1,0,15.0,2.1182635350834547,17.626240896142463,0.10329728866809307,3.828641396489095,484574.04347826086,0.2826087,0.54347825
M0485,PT Distribusi Bang Jali,Grocery,supermarket,supplier,Depok,Cinere,Ya,"EDC, QRIS",2024-05-04,tidak aktif,160679041.0,3.0,0.16523300000000002,0.0012133321656717035,0.0031595099740900057,10,29.0,1.0,0.05507766666666667,48.0,8.0,39.0,3.0,1.0,1,0,1,0,12.0,2.575152638552924,18.894919405276767,0.15292106702033018,3.8918202981106265,539534.5102040817,0.18367347,0.3265306
M0264,Butik Pak Haji,Fashion,footwear,retailer,Bandung,Braga,Ya,"EDC, QRIS",2022-11-13,aktif,26115801.0,4.0,0.224499,0.0014387495355541588,0.004754358161648178,11,31.0,1.0,0.05612475,61.0,16.0,17.0,0.0,1.0,0,0,0,0,12.2,2.733555189677323,17.078051129700725,0.20253178074989076,4.127134385045092,230909.83333333334,0.33333334,0.43939394
M0293,Outlet Sukses,Fashion,clothing,retailer,Tangerang,Karawaci,Tidak,,,,38631235.0,4.0,0.222194,0.001530818587659355,0.0031645410409277285,7,40.0,0.5,0.0555485,46.0,13.0,30.0,4.4,2.0,0,0,1,0,9.2,2.791667182769998,17.46957172998875,0.2006476042864611,3.8501476017100584,115380.89361702128,0.42553192,0.42553192
M0310,PT Tekstil Purnama,Fashion,clothing,supplier,Bogor,Sentul,Ya,QRIS,2022-10-04,aktif,250318803.0,6.0,0.329428,0.0015248254371555726,0.011727416798732172,16,46.0,0.8333333333333334,0.054904666666666664,91.0,16.0,79.0,3.0,1.0,1,0,1,0,13.0,2.7879854797165735,19.338245879429177,0.284748774536834,4.5217885770490405,460778.3157894737,0.2,0.2736842
M0284,Fashion Sejahtera,Fashion,clothing,retailer,Tangerang,Cipondoh,Tidak,,,,21551717.0,2.0,0.10050500000000001,0.0008255149078162073,0.0017558423263653057,14,48.0,1.0,0.050252500000000005,52.0,2.0,17.0,3.3,1.0,1,0,1,0,17.333333333333332,2.225180053746846,16.88596609291416,0.09576916536342663,3.970291913552122,167044.11320754717,0.24528302,0.5283019
M0503,PT Elektronik Pak Haji,Electronics,accessories,supplier,Bogor,Cibinong,Tidak,,,,96123649.0,4.0,0.223196,0.0015295616524444696,0.006545417955877543,8,53.0,1.0,0.055799,65.0,17.0,80.0,0.0,1.0,0,1,0,0,13.0,2.790896146765243,18.3811459414782,0.20146710551618488,4.189654742026425,446784.3943661972,0.16901408,0.23943663
M0705,dapur persada,F&B,restaurant,retailer,Jakarta,Thamrin,Ya,"EDC, QRIS",2020-10-23,aktif,137659034.0,2.0,0.101546,0.0007426632577104404,0.0009659648328428043,12,67.0,0.5,0.050773,52.0,16.0,39.0,5.0,1.0,0,0,1,0,17.333333333333332,2.1313972351638046,18.740290424885224,0.09671464762296465,3.970291913552122,215130.2037037037,0.37037036,0.4814815
M0549,Digital Lestari,Electronics,accessories,retailer,Bogor,Cibinong,Tidak,,,,91699848.0,2.0,0.106847,0.0008949289896421039,0.0012778909767816266,3,31.0,0.0,0.0534235,60.0,15.0,40.0,3.7,5.0,0,1,1,0,20.0,2.2975011814298765,18.3340312905514,0.10151543279231279,4.110873864173311,154111.36666666667,0.43333334,0.48333332
M0432,Minimarket Buana,Grocery,toko_kelontong,retailer,Bandung,Setiabudhi,Tidak,,,,10476980.0,2.0,0.116671,0.000852389845170628,5.534173521495233e-05,10,29.0,0.5,0.0583355,63.0,10.0,34.0,3.0,2.0,0,1,1,0,21.0,2.25380426621018,16.164691122837226,0.1103519377583508,4.1588830833596715,162310.33333333334,0.41269842,0.3968254
M0192,Warung Mulia,F&B,cafe,retailer,Tangerang,Karawaci,Tidak,,,,141917848.0,8.0,0.437512,0.002447058629795432,0.015706990667371017,0,39.0,0.75,0.054688999999999995,56.0,7.0,27.0,0.0,2.0,0,1,0,1,6.222222222222222,3.2375243078844314,18.770758919984527,0.3629138414806125,4.04305126783455,248621.8245614035,0.31578946,0.5614035
M0486,CV Grosir Utama,Grocery,supermarket,supplier,Bandung,Buah Batu,Ya,EDC,2024-11-14,aktif,94319360.0,3.0,0.170985,0.0012490716276240647,0.0007244736246321032,14,48.0,1.0,0.056995,43.0,19.0,65.0,0.0,1.0,0,0,0,0,10.75,2.6020017656403702,18.36219703936128,0.1578452749690623,3.784189633918261,438611.88636363635,0.18181819,0.20454545
M0184,Warung Mas Bro,F&B,warung,retailer,Jakarta,Kemang,Ya,EDC,2020-05-28,aktif,101363657.0,1.0,0.078947,0.0007513038584939658,0.0,3,31.0,0.0,0.078947,62.0,15.0,12.0,3.9,2.0,1,1,1,0,31.0,2.141598939364297,18.434225182513014,0.0759855655144491,4.143134726391533,129768.12307692308,0.2923077,0.6
M0691,Bengkel Jaya,Automotive,sparepart,retailer,Bandung,Dago,Tidak,,,,47447312.0,2.0,0.126395,0.000996700453144976,0.00043267174804417275,3,31.0,1.0,0.0631975,53.0,11.0,20.0,4.8,1.0,1,0,1,0,17.666666666666668,2.3948911769675334,17.67513045338728,0.11902226749133432,3.9889840465642745,170197.59259259258,0.42592594,0.44444445
M0175,Bakery Pak Haji,F&B,restaurant,retailer,Depok,Cimanggis,Tidak,,,,84226631.0,6.0,0.355016,0.002139099960476901,0.013604004729202828,9,62.0,0.5,0.059169333333333324,53.0,12.0,37.0,4.4,5.0,1,0,1,0,7.571428571428571,3.1086590747578686,18.2490217237388,0.30381326238003015,3.9889840465642745,159154.11320754717,0.35849056,0.4528302
M0650,Auto Bu Tini,Automotive,sparepart,retailer,Bogor,Dramaga,Tidak,,,,122863645.0,3.0,0.155226,0.0011048747684595248,0.0023444771463788897,6,29.0,1.0,0.051742,61.0,14.0,21.0,4.0,1.0,0,0,1,0,15.25,2.4889607279463157,18.626585729313774,0.14429599582835545,4.127134385045092,194941.50793650793,0.3968254,0.44444445
M0634,PT Otomotif Berkah,Automotive,bengkel,supplier,Bogor,Unknown,Ya,EDC,2025-08-20,aktif,209135964.0,5.0,0.304897,0.0019213177863800378,0.0068372198324654744,14,48.0,0.8,0.060979399999999996,78.0,20.0,83.0,4.4,1.0,0,1,1,0,13.0,3.0063347612017495,19.158495148652243,0.266124110456676,4.3694478524670215,444646.7625,0.1125,0.2625
M0199,CV Bahan Utama,F&B,bakery,supplier,Jakarta,Menteng,Tidak,,,,308294784.0,23.0,1.470949,0.00475753003607691,0.033139637260081,16,46.0,0.7391304347826086,0.0639543043478261,195.0,12.0,53.0,0.0,1.0,0,0,0,1,8.125,3.8831151786879086,19.546566977371114,0.9046022873762374,5.278114659230517,482080.2047619048,0.13333334,0.25238097
M0338,Fashion Gemilang,Fashion,clothing,retailer,Bandung,Dago,Ya,QRIS,2020-10-21,aktif,49167959.0,2.0,0.12202500000000001,0.0010260733216632695,0.0007647221593338867,13,36.0,1.0,0.061012500000000004,60.0,4.0,10.0,4.1,1.0,1,1,1,0,20.0,2.4213217375216085,17.710752749814812,0.11513508849220123,4.110873864173311,234154.01515151514,0.21212122,0.4090909
M0343,Outlet Gemilang,Fashion,clothing,retailer,Tangerang,Cipondoh,Tidak,,,,81855815.0,1.0,0.055351,0.00039121095721041886,0.0,16,46.0,1.0,0.055351,61.0,18.0,30.0,0.0,1.0,0,1,0,0,30.5,1.5917034976205118,18.220469916068243,0.05387341301698527,4.127134385045092,163789.24590163934,0.37704918,0.4262295
M0666,Toko Sparepart Surya,Automotive,sparepart,retailer,Bandung,Setiabudhi,Ya,EDC,2019-07-19,aktif,72260427.0,2.0,0.115428,0.0009297150608302714,0.000825094961386562,8,53.0,0.5,0.057714,55.0,12.0,43.0,4.3,1.0,0,1,1,0,18.333333333333332,2.3318672169930847,18.09578720672186,0.10923818776026487,4.02535169073515,164770.29090909092,0.29090908,0.5090909
M0529,CV Tech Supply Prima,Electronics,gadget,supplier,Bekasi,Harapan Indah,Ya,"EDC, QRIS",2021-11-12,aktif,362225680.0,2.0,0.11888599999999999,0.0009247367712330397,0.0008100017608733932,5,38.0,1.0,0.059442999999999996,34.0,3.0,30.0,3.9,1.0,1,0,1,0,11.333333333333334,2.327020864050322,19.707778003716225,0.11233354746440397,3.5553480614894135,475935.77777777775,0.11111111,0.33333334
M0378,CV Grosir Utama,Grocery,toko_kelontong,supplier,Depok,Sawangan,Tidak,,,,340754762.0,25.0,1.70519,0.005323291831813028,0.0255729127361457,16,46.0,0.84,0.06820760000000001,233.0,5.0,98.0,3.3,5.0,1,0,1,1,8.961538461538462,3.993288073126809,19.64667360643295,0.9951721501274594,5.455321115357702,457741.1796875,0.14453125,0.28515625
M0148,Warung Jaya,F&B,restaurant,retailer,Bandung,Setiabudhi,Ya,QRIS,2025-11-24,aktif,20006925.0,4.0,0.215439,0.0014792793820041386,0.004628581490705104,11,31.0,0.5,0.05385975,48.0,7.0,7.0,4.8,1.0,0,0,1,0,9.6,2.7595537486543025,16.81158907157026,0.19510532840571765,3.8918202981106265,159645.4150943396,0.3018868,0.6226415
M0689,Toko Sparepart Lestari,Automotive,accessories,retailer,Tangerang,Cipondoh,Ya,QRIS,2025-03-18,aktif,124505938.0,3.0,0.171118,0.0014084974047450954,0.004226096143687269,13,36.0,1.0,0.05703933333333333,65.0,3.0,30.0,4.2,3.0,0,1,1,0,16.25,2.71369915218866,18.63986397554254,0.15795884811263708,4.189654742026425,130536.85074626865,0.37313432,0.49253732
M0492,Komputer Mbak Sri,Electronics,computer,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2021-01-31,aktif,248747709.0,2.0,0.10618,0.0009398522198306696,0.0006137901542021986,11,31.0,1.0,0.05309,52.0,17.0,15.0,0.0,1.0,1,0,0,0,17.333333333333332,2.341663699734025,19.33194972793045,0.10091263850178057,3.970291913552122,144735.30188679244,0.3018868,0.5283019
M0335,Outlet Sejahtera,Fashion,footwear,retailer,Depok,Sawangan,Ya,"EDC, QRIS",2021-11-17,aktif,157921362.0,5.0,0.290175,0.0019478125586858271,0.006329082081855457,9,62.0,0.6,0.05803499999999999,55.0,5.0,27.0,3.4,1.0,0,1,1,0,9.166666666666666,3.019357271903537,18.87760776456458,0.254777868087471,4.02535169073515,144887.16363636364,0.38181818,0.45454547
M0271,UD Kain Abadi,Fashion,accessories,supplier,Bogor,Unknown,Ya,QRIS,2021-01-19,aktif,932163355.0,3.0,0.15362900000000002,0.0010823562532639426,0.004055039871204689,12,67.0,0.6666666666666666,0.051209666666666674,49.0,20.0,5.0,0.0,1.0,0,0,0,0,12.25,2.4700943652669474,20.653018631969164,0.14291262592883106,3.912023005428146,522385.64705882355,0.21568628,0.21568628
M0520,PT Elektronik Buana,Electronics,accessories,supplier,Tangerang,BSD,Tidak,,,,536785804.0,5.0,0.260975,0.0018124596166577767,0.006957965436570825,10,29.0,0.6,0.052195000000000005,60.0,4.0,41.0,5.0,5.0,0,0,1,0,10.0,2.950975264016607,20.10110969953142,0.23188523125096455,4.110873864173311,455093.92063492065,0.17460318,0.22222222
M0206,RM Mbak Sri,F&B,bakery,retailer,Bandung,Braga,Ya,EDC,2022-03-24,aktif,28231740.0,3.0,0.163717,0.0010303467824304957,0.002500440218348301,1,28.0,1.0,0.054572333333333334,35.0,19.0,45.0,3.6,1.0,0,1,1,0,8.75,2.4251095657447124,17.155957470308195,0.15161919260128343,3.58351893845611,167231.19444444444,0.3611111,0.4722222
M0104,RM Gemilang,F&B,catering,retailer,Bogor,Tanah Sareal,Ya,QRIS,2022-03-24,aktif,31894701.0,4.0,0.236651,0.0018213556285322525,0.004286468945739944,7,40.0,0.75,0.05916275,53.0,18.0,32.0,5.0,1.0,0,0,1,0,10.6,2.9556160864203056,17.27795047245731,0.21240691940737655,3.9889840465642745,148650.41818181818,0.3090909,0.4181818
M0185,Bakery Utama,F&B,warung,retailer,Tangerang,Karawaci,Tidak,,,,53697848.0,3.0,0.163858,0.0012403806359124094,0.0027721178275853394,12,67.0,1.0,0.05461933333333333,53.0,3.0,17.0,3.3,1.0,0,0,1,0,13.25,2.5955387232714653,17.798883502810913,0.15174034874033154,3.9889840465642745,134903.1090909091,0.18181819,0.54545456
M0473,PT Distribusi Sukses,Grocery,distributor,supplier,Bandung,Dago,Ya,QRIS,2021-02-05,aktif,87561078.0,3.0,0.168902,0.0011378900039573738,0.0025809372877518676,12,67.0,0.6666666666666666,0.056300666666666666,85.0,18.0,30.0,3.2,1.0,1,0,1,0,21.25,2.515993413516968,18.28784715352154,0.1560648466404754,4.454347296253507,523678.3068181818,0.125,0.20454545
M0498,Digital Pratama,Electronics,gadget,retailer,Jakarta,Tebet,Ya,QRIS,2023-06-10,aktif,55322772.0,2.0,0.104783,0.0010222980156846064,0.002530626619374638,2,31.0,1.0,0.0523915,51.0,11.0,43.0,0.0,3.0,0,0,0,0,17.0,2.41796347595326,17.828695190041053,0.09964893559412358,3.9512437185814275,144563.4716981132,0.3962264,0.3773585
M0467,Toko Gemilang,Grocery,supermarket,retailer,Bekasi,Kemang Pratama,Ya,EDC,2019-11-08,aktif,114118738.0,4.0,0.219033,0.0014721218628362409,0.00515181244182829,6,29.0,0.75,0.05475825000000001,57.0,2.0,15.0,3.8,2.0,0,1,1,0,11.4,2.7550113048846656,18.552750034476354,0.19805792150268695,4.060443010546419,143795.3620689655,0.3275862,0.5
M0292,Butik Prima,Fashion,clothing,retailer,Bogor,Tanah Sareal,Ya,QRIS,2023-12-08,aktif,42131201.0,3.0,0.16685,0.0012872615901721152,0.002163358740220864,9,62.0,0.6666666666666666,0.05561666666666667,81.0,11.0,45.0,3.6,1.0,0,1,1,0,20.25,2.6299168179655847,17.556299164286397,0.1543078103387557,4.406719247264253,234753.04705882352,0.25882354,0.47058824
M0518,Gadget Sentosa,Electronics,accessories,retailer,Bekasi,Grand Galaxy,Tidak,,,,27240088.0,1.0,0.055556,0.0006414380186821919,0.0,12,67.0,1.0,0.055556,49.0,13.0,6.0,0.0,1.0,0,0,0,0,24.5,2.003421382995919,17.120200306494286,0.05406764232281871,3.912023005428146,256106.6603773585,0.33962265,0.509434
M0033,UD Supplier Gemilang,F&B,restaurant,supplier,Bandung,Unknown,Tidak,,,,291107222.0,4.0,0.204351,0.0012692863734459253,0.007496289588207179,7,40.0,0.75,0.05108775,59.0,11.0,100.0,3.5,2.0,0,0,1,0,11.8,2.6168748018260497,19.489202221187135,0.1859408326397319,4.0943445622221,447209.43333333335,0.15,0.2
M0643,Auto Barokah,Automotive,bengkel,retailer,Bekasi,Grand Galaxy,Ya,EDC,2024-04-09,aktif,51979906.0,4.0,0.232809,0.0015277128553362618,0.0036676477247000227,4,22.0,0.75,0.05820225,59.0,9.0,30.0,3.1,1.0,0,0,1,0,11.8,2.789760966231747,17.766367798026344,0.20929530545137123,4.0943445622221,122125.01587301587,0.3809524,0.42857143
M0087,Warung Mbak Sri,F&B,restaurant,retailer,Bogor,Bogor Tengah,Ya,EDC,2020-03-04,aktif,149657799.0,1.0,0.050505,0.0015822784810126582,0.0,15,2.0,1.0,0.050505,47.0,5.0,13.0,3.5,1.0,0,0,1,0,23.5,2.8227342062462237,18.823861912521803,0.049271000929858505,3.871201010907891,159195.52083333334,0.3125,0.5416667
M0285,PT Tekstil Citra,Fashion,accessories,supplier,Depok,Sawangan,Tidak,,,,1621190673.0,10.0,0.54925,0.0026868774692497548,0.02259452116821372,16,46.0,0.4,0.054925,99.0,10.0,43.0,3.1,3.0,0,0,1,1,9.0,3.3275068754214265,21.20642670017289,0.43777094286007984,4.605170185988092,402137.2745098039,0.1764706,0.2254902
