merchant_id,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating
M0124,19.0,49.0,4.0,3.0,0,0,1
M0125,9.0,46.0,0.0,2.0,0,1,0
M0126,20.0,32.0,0.0,2.0,0,0,0
M0127,15.0,22.0,3.5,1.0,1,0,1
M0128,2.0,13.0,4.3,1.0,0,0,1
M0129,20.0,13.0,0.0,1.0,0,1,0
M0130,20.0,21.0,4.8,1.0,0,0,1
M0131,17.0,35.0,4.9,1.0,0,0,1
M0132,11.0,4.0,4.2,1.0,0,0,1
M0133,6.0,48.0,3.9,1.0,0,1,1
M0134,6.0,22.0,3.3,2.0,1,0,1
M0135,11.0,24.0,4.0,1.0,0,1,1
M0136,13.0,6.0,4.2,1.0,1,1,1
M0137,11.0,2.0,0.0,2.0,0,0,0
M0138,13.0,31.0,4.3,2.0,0,0,1
M0139,1.0,9.0,0.0,1.0,0,0,0
M0140,10.0,15.0,0.0,1.0,1,1,0
M0141,1.0,93.0,4.9,5.0,0,0,1
M0142,10.0,46.0,4.3,1.0,0,1,1
M0143,4.0,15.0,3.2,1.0,0,1,1
M0144,3.0,12.0,4.3,2.0,0,1,1
M0145,13.0,30.0,0.0,1.0,0,0,0
M0146,19.0,31.0,3.4,2.0,0,1,1
M0147,16.0,30.0,0.0,5.0,0,0,0
M0148,7.0,7.0,4.8,1.0,0,0,1
M0149,5.0,26.0,0.0,1.0,1,1,0
M0150,19.0,27.0,4.5,1.0,0,0,1
M0151,18.0,30.0,3.4,5.0,0,1,1
M0152,11.0,43.0,4.5,1.0,0,1,1
M0153,19.0,22.0,3.0,2.0,0,0,1
M0154,18.0,9.0,3.8,1.0,0,1,1
M0155,15.0,30.0,4.4,1.0,0,0,1
M0156,5.0,28.0,4.1,1.0,0,0,1
M0157,16.0,36.0,3.1,1.0,0,0,1
M0158,1.0,18.0,3.9,1.0,0,0,1
M0159,19.0,55.0,3.7,1.0,1,0,1
M0160,12.0,13.0,3.1,1.0,0,1,1
M0161,6.0,30.0,3.4,1.0,0,1,1
M0162,18.0,30.0,0.0,2.0,0,0,0
M0163,16.0,31.0,3.1,1.0,1,1,1
M0164,15.0,30.0,3.3,1.0,0,0,1
M0165,20.0,33.0,4.1,1.0,0,0,1
M0166,6.0,15.0,4.7,1.0,0,1,1
M0167,13.0,21.0,4.3,1.0,0,0,1
M0168,15.0,7.0,3.5,1.0,0,1,1
M0169,20.0,13.0,0.0,3.0,1,0,0
M0170,5.0,39.0,3.9,1.0,0,0,1
M0171,4.0,13.0,3.8,1.0,0,0,1
M0172,10.0,76.0,0.0,3.0,0,1,0
M0173,8.0,16.0,0.0,2.0,0,0,0
M0174,1.0,15.0,3.7,2.0,0,0,1
M0175,12.0,37.0,4.4,5.0,1,0,1
M0176,2.0,34.0,5.0,1.0,0,0,1
M0177,11.0,36.0,0.0,1.0,0,1,0
M0178,7.0,47.0,3.9,1.0,0,1,1
M0179,11.0,26.0,3.9,1.0,0,0,1
M0180,1.0,30.0,3.4,1.0,0,1,1
M0181,9.0,11.0,4.6,1.0,0,0,1
M0182,13.0,30.0,4.8,1.0,0,1,1
M0183,13.0,16.0,0.0,1.0,0,0,0
M0184,15.0,12.0,3.9,2.0,1,1,1
M0185,3.0,17.0,3.3,1.0,0,0,1
M0186,11.0,25.0,4.1,2.0,0,1,1
M0187,18.0,48.0,3.2,1.0,0,1,1
M0188,1.0,73.0,0.0,1.0,0,0,0
M0189,2.0,39.0,3.5,2.0,0,1,1
M0190,1.0,26.0,3.5,1.0,0,0,1
M0191,4.0,38.0,4.4,2.0,0,1,1
M0192,7.0,27.0,0.0,2.0,0,1,0
M0193,14.0,8.0,3.9,1.0,1,0,1
M0194,18.0,45.0,3.4,1.0,0,1,1
M0195,2.0,30.0,0.0,2.0,0,0,0
M0196,1.0,43.0,4.2,1.0,0,0,1
M0197,20.0,4.0,3.3,1.0,1,0,1
M0198,14.0,46.0,3.2,1.0,0,1,1
M0199,12.0,53.0,0.0,1.0,0,0,0
M0200,11.0,51.0,4.2,2.0,0,0,1
M0201,4.0,29.0,3.4,2.0,0,1,1
M0202,16.0,50.0,4.2,2.0,0,1,1
M0203,17.0,39.0,0.0,1.0,1,0,0
M0204,8.0,29.0,0.0,1.0,0,1,0
M0205,7.0,80.0,3.3,1.0,0,0,1
M0206,19.0,45.0,3.6,1.0,0,1,1
M0207,13.0,84.0,0.0,1.0,0,1,0
M0208,12.0,43.0,4.1,5.0,1,0,1
M0209,3.0,41.0,3.3,1.0,0,0,1
M0210,8.0,22.0,4.9,1.0,0,0,1
M0211,20.0,37.0,4.5,2.0,0,0,1
M0212,10.0,33.0,3.8,1.0,0,0,1
M0213,11.0,37.0,3.6,1.0,1,0,1
M0214,8.0,33.0,4.2,5.0,0,1,1
M0215,14.0,30.0,4.3,1.0,0,0,1
M0216,11.0,41.0,3.8,2.0,0,1,1
M0217,11.0,11.0,4.7,1.0,0,1,1
M0218,10.0,46.0,0.0,1.0,0,0,0
M0219,18.0,31.0,4.9,5.0,0,0,1
M0220,14.0,81.0,4.9,1.0,0,0,1
M0221,8.0,98.0,4.7,1.0,0,0,1
M0222,18.0,27.0,3.5,5.0,1,0,1
M0223,14.0,46.0,4.3,5.0,0,0,1
M0224,18.0,45.0,0.0,2.0,1,0,0
M0225,9.0,17.0,4.9,3.0,0,0,1
M0226,19.0,78.0,3.9,1.0,0,0,1
M0227,3.0,15.0,3.7,1.0,0,0,1
M0228,12.0,24.0,0.0,1.0,0,0,0
M0229,6.0,30.0,3.2,2.0,0,1,1
M0230,7.0,14.0,3.0,3.0,0,1,1
M0231,8.0,42.0,0.0,1.0,0,1,0
M0232,18.0,18.0,3.3,1.0,0,1,1
M0233,1.0,50.0,3.1,1.0,1,0,1
M0234,11.0,42.0,4.0,1.0,1,0,1
M0235,9.0,47.0,3.9,5.0,0,1,1
M0236,11.0,90.0,0.0,2.0,0,0,0
M0237,3.0,30.0,3.1,1.0,0,0,1
M0238,1.0,36.0,3.8,1.0,0,0,1
M0239,13.0,21.0,3.9,3.0,0,0,1
M0240,5.0,8.0,4.1,2.0,0,1,1
M0241,17.0,20.0,4.2,1.0,0,1,1
M0242,13.0,70.0,3.1,1.0,0,0,1
M0243,10.0,6.0,3.1,3.0,0,1,1
M0244,13.0,11.0,4.3,5.0,0,1,1
M0245,8.0,48.0,0.0,1.0,1,0,0
M0246,3.0,3.0,4.9,1.0,1,1,1
M0247,17.0,18.0,3.1,1.0,0,0,1
M0248,20.0,99.0,4.0,1.0,1,0,1
M0249,7.0,91.0,3.0,1.0,0,0,1
M0250,13.0,30.0,4.5,1.0,0,1,1
M0251,16.0,30.0,0.0,3.0,1,0,0
M0252,20.0,45.0,3.3,1.0,0,0,1
M0253,18.0,36.0,3.6,2.0,0,1,1
M0254,9.0,2.0,3.1,2.0,0,0,1
M0255,5.0,27.0,4.7,1.0,0,1,1
M0256,1.0,35.0,3.8,1.0,1,1,1
M0257,18.0,16.0,0.0,1.0,0,1,0
M0258,18.0,9.0,4.2,5.0,0,0,1
M0259,20.0,11.0,4.7,1.0,0,0,1
M0260,15.0,47.0,3.9,2.0,0,0,1
M0261,1.0,4.0,3.1,2.0,0,0,1
M0262,1.0,29.0,0.0,1.0,0,1,0
M0263,11.0,43.0,0.0,1.0,0,1,0
M0264,16.0,17.0,0.0,1.0,0,0,0
M0265,8.0,23.0,3.2,1.0,0,0,1
M0266,12.0,14.0,3.6,1.0,0,0,1
M0267,15.0,31.0,3.1,1.0,0,1,1
M0268,19.0,24.0,3.1,1.0,0,0,1
M0269,15.0,73.0,5.0,1.0,0,0,1
M0270,2.0,1.0,3.6,2.0,1,0,1
M0271,20.0,5.0,0.0,1.0,0,0,0
M0272,11.0,6.0,0.0,2.0,0,0,0
M0273,20.0,18.0,4.0,2.0,1,0,1
M0274,8.0,30.0,3.5,1.0,0,1,1
M0275,10.0,30.0,3.1,2.0,0,0,1
M0276,4.0,47.0,3.9,1.0,0,0,1
M0277,19.0,84.0,0.0,2.0,1,0,0
M0278,3.0,14.0,0.0,1.0,0,1,0
M0279,16.0,34.0,3.6,2.0,0,0,1
M0280,18.0,20.0,4.9,3.0,0,0,1
M0281,17.0,30.0,0.0,1.0,1,1,0
M0282,11.0,3.0,4.1,1.0,1,1,1
M0283,20.0,17.0,4.9,2.0,0,1,1
M0284,2.0,17.0,3.3,1.0,1,0,1
M0285,10.0,43.0,3.1,3.0,0,0,1
M0286,2.0,3.0,0.0,1.0,0,0,0
M0287,10.0,63.0,4.0,1.0,1,1,1
M0288,6.0,18.0,3.1,1.0,1,0,1
M0289,1.0,10.0,4.1,2.0,0,0,1
M0290,14.0,50.0,0.0,1.0,0,0,0
M0291,11.0,38.0,3.7,1.0,1,1,1
M0292,11.0,45.0,3.6,1.0,0,1,1
M0293,13.0,30.0,4.4,2.0,0,0,1
M0294,15.0,8.0,4.1,1.0,0,0,1
M0295,13.0,29.0,5.0,5.0,0,0,1
M0296,4.0,4.0,3.4,2.0,0,0,1
M0297,3.0,5.0,0.0,1.0,1,0,0
M0298,17.0,100.0,4.8,2.0,1,0,1
M0299,20.0,92.0,0.0,3.0,1,1,0
M0300,15.0,60.0,3.3,1.0,0,1,1
M0301,18.0,23.0,4.2,1.0,0,0,1
M0302,17.0,31.0,0.0,1.0,0,1,0
M0303,11.0,12.0,4.0,1.0,0,0,1
M0304,8.0,1.0,0.0,1.0,0,1,0
M0305,9.0,22.0,3.3,1.0,1,1,1
M0306,14.0,39.0,0.0,1.0,0,1,0
M0307,11.0,32.0,3.8,2.0,0,0,1
M0308,20.0,21.0,0.0,2.0,1,1,0
M0309,14.0,87.0,3.6,1.0,0,0,1
M0310,16.0,79.0,3.0,1.0,1,0,1
M0311,14.0,41.0,5.0,1.0,0,1,1
M0312,11.0,30.0,4.2,1.0,0,1,1
M0313,4.0,26.0,4.8,1.0,0,1,1
M0314,6.0,38.0,0.0,1.0,0,1,0
M0315,13.0,7.0,3.6,2.0,0,0,1
M0316,5.0,41.0,0.0,2.0,0,1,0
M0317,7.0,24.0,0.0,2.0,0,0,0
M0318,7.0,75.0,0.0,1.0,0,1,0
M0319,4.0,46.0,3.2,1.0,0,1,1
M0320,19.0,30.0,4.0,1.0,0,0,1
M0321,15.0,25.0,3.5,1.0,0,0,1
M0322,12.0,42.0,0.0,3.0,1,0,0
M0323,8.0,9.0,4.3,2.0,1,0,1
M0324,15.0,25.0,0.0,1.0,1,0,0
M0325,4.0,23.0,0.0,2.0,0,0,0
M0326,11.0,27.0,0.0,1.0,0,0,0
M0327,9.0,11.0,4.3,1.0,0,1,1
M0328,18.0,16.0,4.7,1.0,0,0,1
M0329,11.0,4.0,4.7,5.0,0,0,1
M0330,1.0,23.0,3.9,2.0,0,0,1
M0331,15.0,10.0,3.3,1.0,0,1,1
M0332,12.0,25.0,4.6,1.0,1,0,1
M0333,11.0,72.0,0.0,5.0,0,1,0
M0334,13.0,69.0,4.6,1.0,0,1,1
M0335,5.0,27.0,3.4,1.0,0,1,1
M0336,4.0,30.0,4.1,1.0,0,0,1
M0337,14.0,52.0,5.0,1.0,0,1,1
M0338,4.0,10.0,4.1,1.0,1,1,1
M0339,7.0,25.0,3.1,2.0,0,0,1
M0340,8.0,38.0,0.0,5.0,0,0,0
M0341,4.0,35.0,4.1,1.0,0,0,1
M0342,12.0,38.0,0.0,5.0,0,0,0
M0343,18.0,30.0,0.0,1.0,0,1,0
M0344,6.0,18.0,0.0,5.0,0,0,0
M0345,10.0,77.0,4.2,1.0,0,0,1
M0346,16.0,10.0,3.7,1.0,0,0,1
M0347,1.0,6.0,3.5,1.0,0,1,1
M0348,10.0,8.0,3.5,1.0,0,0,1
M0349,11.0,37.0,4.0,1.0,0,0,1
M0350,15.0,33.0,4.1,1.0,0,1,1
M0351,16.0,11.0,3.8,1.0,0,0,1
M0352,1.0,12.0,4.9,1.0,0,0,1
M0353,10.0,28.0,3.4,1.0,1,0,1
M0354,12.0,36.0,0.0,1.0,1,0,0
M0355,16.0,2.0,3.0,2.0,0,1,1
M0356,16.0,30.0,0.0,2.0,0,0,0
M0357,17.0,30.0,4.6,1.0,0,1,1
M0358,13.0,8.0,3.5,1.0,0,0,1
M0359,9.0,80.0,4.9,1.0,0,0,1
M0360,3.0,30.0,4.8,2.0,0,1,1
M0361,18.0,39.0,3.6,1.0,1,0,1
M0362,11.0,42.0,0.0,5.0,0,1,0
M0363,11.0,9.0,4.7,3.0,0,1,1
M0364,1.0,36.0,4.2,2.0,0,1,1
M0365,1.0,30.0,4.9,2.0,0,1,1
M0366,18.0,20.0,3.4,1.0,0,1,1
M0367,11.0,13.0,3.7,5.0,0,0,1
M0368,10.0,76.0,4.3,1.0,0,1,1
M0369,7.0,5.0,0.0,1.0,1,0,0
M0370,11.0,30.0,3.6,1.0,1,1,1
M0371,14.0,8.0,4.9,1.0,0,1,1
M0372,11.0,26.0,3.1,1.0,0,0,1
M0373,5.0,8.0,4.9,1.0,0,0,1
M0374,19.0,43.0,4.8,2.0,1,1,1
M0375,16.0,31.0,4.2,1.0,0,0,1
M0376,14.0,81.0,0.0,5.0,0,1,0
M0377,4.0,10.0,3.1,3.0,1,1,1
M0378,5.0,98.0,3.3,5.0,1,0,1
M0379,15.0,55.0,4.3,3.0,0,1,1
M0380,3.0,49.0,3.1,1.0,0,1,1
M0381,6.0,33.0,4.7,2.0,1,0,1
M0382,5.0,40.0,3.1,1.0,1,1,1
M0383,10.0,31.0,3.9,2.0,1,1,1
M0384,2.0,92.0,4.8,2.0,0,1,1
M0385,8.0,49.0,4.1,1.0,0,1,1
M0386,20.0,36.0,3.8,1.0,0,1,1
M0387,15.0,42.0,4.3,1.0,0,1,1
M0388,12.0,1.0,3.9,1.0,0,0,1
M0389,11.0,30.0,0.0,2.0,0,0,0
M0390,20.0,66.0,3.8,1.0,0,1,1
M0391,19.0,32.0,3.5,1.0,1,1,1
M0392,11.0,45.0,3.4,2.0,0,0,1
M0393,11.0,7.0,4.8,2.0,0,0,1
M0394,17.0,34.0,0.0,1.0,1,1,0
M0395,12.0,21.0,0.0,2.0,1,0,0
M0396,16.0,5.0,3.2,1.0,0,0,1
M0397,9.0,32.0,3.6,1.0,0,0,1
M0398,20.0,5.0,0.0,2.0,0,0,0
M0399,6.0,69.0,4.1,1.0,1,0,1
M0400,13.0,9.0,4.2,1.0,0,1,1
M0401,19.0,78.0,4.8,1.0,1,0,1
M0402,11.0,16.0,4.0,1.0,1,1,1
M0403,16.0,98.0,0.0,1.0,0,1,0
M0404,20.0,43.0,3.2,2.0,0,0,1
M0405,20.0,6.0,4.7,1.0,1,1,1
M0406,14.0,33.0,4.5,5.0,1,1,1
M0407,4.0,14.0,3.8,1.0,0,0,1
M0408,1.0,26.0,3.2,5.0,0,0,1
M0409,14.0,34.0,0.0,5.0,0,0,0
M0410,17.0,26.0,3.0,1.0,0,1,1
M0411,2.0,18.0,4.4,2.0,0,0,1
M0412,9.0,30.0,3.9,1.0,0,0,1
M0413,3.0,34.0,3.4,2.0,0,1,1
M0414,13.0,48.0,3.4,2.0,0,1,1
M0415,3.0,27.0,0.0,1.0,1,0,0
M0416,20.0,32.0,3.6,5.0,0,0,1
M0417,16.0,30.0,0.0,1.0,1,1,0
M0418,11.0,75.0,0.0,1.0,0,0,0
M0419,5.0,5.0,4.5,1.0,0,0,1
M0420,5.0,7.0,0.0,3.0,1,0,0
M0421,18.0,30.0,3.1,1.0,0,1,1
M0422,16.0,30.0,4.1,1.0,0,0,1
M0423,6.0,43.0,0.0,1.0,1,0,0
M0424,14.0,8.0,5.0,2.0,0,0,1
M0425,4.0,85.0,4.3,1.0,1,0,1
M0426,17.0,15.0,4.0,1.0,1,0,1
M0427,9.0,33.0,3.2,1.0,1,1,1
M0428,2.0,16.0,0.0,1.0,0,0,0
M0429,12.0,30.0,4.6,2.0,1,0,1
M0430,18.0,33.0,0.0,1.0,0,0,0
M0431,5.0,10.0,0.0,1.0,0,1,0
M0432,10.0,34.0,3.0,2.0,0,1,1
M0433,18.0,30.0,0.0,3.0,0,1,0
M0434,15.0,15.0,0.0,1.0,1,1,0
M0435,13.0,19.0,0.0,1.0,0,0,0
M0436,11.0,16.0,4.1,2.0,1,1,1
M0437,11.0,95.0,3.7,1.0,0,0,1
M0438,16.0,39.0,4.5,1.0,0,1,1
M0439,5.0,31.0,3.0,1.0,1,0,1
M0440,20.0,30.0,3.7,1.0,0,0,1
M0441,11.0,30.0,3.4,1.0,0,0,1
M0442,13.0,19.0,3.3,2.0,1,1,1
M0443,11.0,76.0,3.9,1.0,0,0,1
M0444,3.0,15.0,4.6,1.0,0,0,1
M0445,5.0,30.0,4.0,1.0,1,1,1
M0446,5.0,41.0,3.4,2.0,0,1,1
M0447,12.0,10.0,4.8,1.0,1,0,1
M0448,13.0,28.0,0.0,1.0,0,0,0
M0449,2.0,30.0,0.0,1.0,0,0,0
M0450,10.0,27.0,4.7,2.0,1,0,1
M0451,18.0,25.0,4.6,1.0,0,1,1
M0452,17.0,17.0,0.0,1.0,0,0,0
M0453,6.0,43.0,4.7,1.0,0,1,1
M0454,10.0,36.0,3.3,3.0,0,0,1
M0455,5.0,19.0,4.4,1.0,0,1,1
M0456,7.0,1.0,3.4,1.0,0,1,1
M0457,3.0,39.0,0.0,1.0,0,0,0
M0458,8.0,9.0,4.9,1.0,0,1,1
M0459,15.0,34.0,4.1,1.0,0,1,1
M0460,5.0,73.0,0.0,2.0,0,0,0
M0461,17.0,34.0,4.3,3.0,0,1,1
M0462,10.0,39.0,4.3,1.0,0,1,1
M0463,19.0,49.0,3.7,1.0,0,0,1
M0464,20.0,30.0,0.0,1.0,0,1,0
M0465,11.0,7.0,3.6,3.0,0,0,1
M0466,15.0,21.0,3.3,1.0,0,1,1
M0467,2.0,15.0,3.8,2.0,0,1,1
M0468,19.0,84.0,4.2,1.0,0,1,1
M0469,6.0,10.0,0.0,1.0,0,1,0
M0470,3.0,38.0,3.2,1.0,0,0,1
M0471,11.0,8.0,3.3,1.0,0,1,1
M0472,3.0,43.0,3.7,5.0,0,0,1
M0473,18.0,30.0,3.2,1.0,1,0,1
M0474,1.0,1.0,3.8,1.0,0,1,1
M0475,14.0,20.0,4.5,1.0,0,1,1
M0476,9.0,90.0,3.3,5.0,0,1,1
M0477,4.0,56.0,4.4,2.0,0,1,1
M0478,3.0,15.0,4.1,1.0,0,0,1
M0479,2.0,26.0,3.2,1.0,0,0,1
M0480,4.0,7.0,3.4,1.0,0,0,1
M0481,11.0,40.0,0.0,2.0,1,0,0
M0482,7.0,26.0,4.6,5.0,1,0,1
M0483,11.0,5.0,4.4,1.0,0,1,1
M0484,6.0,11.0,0.0,2.0,0,1,0
M0485,8.0,39.0,3.0,1.0,1,0,1
M0486,19.0,65.0,0.0,1.0,0,0,0
M0487,6.0,17.0,3.2,2.0,1,1,1
M0488,13.0,2.0,0.0,3.0,0,1,0
M0489,12.0,19.0,3.0,3.0,0,0,1
M0490,2.0,5.0,4.1,2.0,0,0,1
M0491,19.0,49.0,3.7,1.0,1,1,1
M0492,17.0,15.0,0.0,1.0,1,0,0
M0493,8.0,12.0,3.9,2.0,0,0,1
M0494,9.0,43.0,4.6,1.0,0,1,1
M0495,12.0,30.0,4.2,1.0,0,0,1
M0496,11.0,12.0,4.1,1.0,0,0,1
M0497,20.0,19.0,3.2,1.0,1,0,1
M0498,11.0,43.0,0.0,3.0,0,0,0
M0499,17.0,19.0,4.2,1.0,0,0,1
M0500,4.0,24.0,4.5,1.0,0,0,1
M0501,11.0,12.0,0.0,2.0,0,0,0
M0502,6.0,67.0,4.1,2.0,0,1,1
M0503,17.0,80.0,0.0,1.0,0,1,0
M0504,12.0,52.0,0.0,1.0,0,0,0
M0505,14.0,29.0,5.0,1.0,1,1,1
M0506,6.0,69.0,4.3,1.0,1,0,1
M0507,8.0,30.0,3.5,1.0,0,1,1
M0508,4.0,62.0,4.9,1.0,0,0,1
M0509,13.0,13.0,0.0,1.0,1,1,0
M0510,20.0,22.0,0.0,1.0,0,0,0
M0511,4.0,73.0,3.4,1.0,1,0,1
M0512,4.0,2.0,3.9,2.0,0,1,1
M0513,11.0,95.0,3.5,1.0,0,0,1
M0514,5.0,30.0,3.9,1.0,1,0,1
M0515,11.0,50.0,4.1,1.0,0,1,1
M0516,13.0,13.0,4.8,1.0,0,0,1
M0517,11.0,92.0,0.0,1.0,0,1,0
M0518,13.0,6.0,0.0,1.0,0,0,0
M0519,13.0,36.0,4.4,1.0,0,0,1
M0520,4.0,41.0,5.0,5.0,0,0,1
M0521,17.0,50.0,3.6,1.0,1,0,1
M0522,15.0,26.0,3.1,3.0,0,0,1
M0523,1.0,76.0,4.9,1.0,0,0,1
M0524,10.0,28.0,3.2,1.0,0,0,1
M0525,12.0,14.0,3.6,1.0,0,0,1
M0526,9.0,34.0,0.0,1.0,0,0,0
M0527,13.0,31.0,4.7,1.0,0,0,1
M0528,14.0,49.0,4.3,1.0,0,0,1
M0529,3.0,30.0,3.9,1.0,1,0,1
M0530,2.0,22.0,4.8,5.0,0,0,1
M0531,3.0,4.0,0.0,1.0,0,1,0
M0532,2.0,40.0,3.1,1.0,1,0,1
M0533,15.0,36.0,4.7,2.0,1,0,1
M0534,17.0,30.0,0.0,2.0,0,1,0
