source,target,shared_customers,jaccard,size_m1,size_m2
M0010,M0673,8,0.070796,64,57
M0205,M0227,43,0.070724,260,391
M0124,M0700,39,0.070397,252,341
M0025,M0612,38,0.07024,271,308
M0155,M0371,12,0.070175,92,91
M0010,M0494,8,0.070175,64,58
M0457,M0658,7,0.07,58,49
M0255,M0673,7,0.07,50,57
M0124,M0242,40,0.069808,252,361
M0140,M0540,8,0.069565,44,79
M0256,M0641,7,0.069307,58,50
M0027,M0073,7,0.069307,60,48
M0053,M0167,35,0.06917,288,253
M0309,M0708,15,0.069124,121,111
M0025,M0376,35,0.069034,271,271
M0183,M0295,6,0.068966,52,41
M0612,M0665,25,0.068871,308,80
M0199,M0528,30,0.068807,195,271
M0157,M0274,39,0.068783,280,326
M0296,M0593,9,0.068702,47,93
M0331,M0421,7,0.068627,61,48
M0594,M0630,7,0.068627,59,50
M0205,M0627,24,0.068571,260,114
M0570,M0700,38,0.068345,253,341
M0199,M0646,19,0.068345,195,102
M0043,M0669,9,0.068182,59,82
M0195,M0511,7,0.067961,51,59
M0411,M0521,7,0.067961,55,55
M0560,M0615,7,0.067961,56,54
M0452,M0635,7,0.067961,61,49
M0025,M0157,35,0.067829,271,280
M0124,M0167,32,0.067653,252,253
M0213,M0654,5,0.067568,45,34
M0005,M0146,6,0.067416,45,50
M0229,M0445,6,0.067416,55,40
M0032,M0587,6,0.067416,47,48
M0342,M0542,6,0.067416,43,52
M0105,M0318,6,0.067416,48,47
M0175,M0469,6,0.067416,53,42
M0124,M0376,33,0.067347,252,271
M0173,M0682,7,0.067308,52,59
M0372,M0414,7,0.067308,63,48
M0067,M0230,7,0.067308,56,55
M0071,M0494,7,0.067308,53,58
M0025,M0167,33,0.06721,271,253
M0119,M0147,12,0.067039,98,93
M0026,M0061,6,0.066667,46,50
M0427,M0589,6,0.066667,51,45
M0304,M0438,7,0.066667,56,56
M0238,M0463,5,0.066667,25,55
M0378,M0502,20,0.066667,233,87
M0428,M0550,7,0.066667,57,55
M0081,M0592,6,0.066667,44,52
M0635,M0636,6,0.066667,49,47
M0023,M0678,6,0.066667,50,46
M0124,M0274,36,0.066421,252,326
M0208,M0676,7,0.066038,49,64
M0117,M0643,7,0.066038,54,59
M0224,M0430,7,0.066038,48,65
M0001,M0432,7,0.066038,50,63
M0006,M0673,6,0.065934,40,57
M0069,M0650,6,0.065934,36,61
M0480,M0632,12,0.065934,104,90
M0529,M0609,5,0.065789,34,47
M0287,M0691,5,0.065789,28,53
M0280,M0593,10,0.065789,69,93
M0287,M0685,5,0.065789,28,53
M0554,M0570,26,0.065491,170,253
M0422,M0519,7,0.065421,51,63
M0409,M0446,7,0.065421,54,60
M0608,M0682,7,0.065421,55,59
M0328,M0644,7,0.065421,53,61
M0200,M0338,7,0.065421,54,60
M0210,M0393,7,0.065421,61,53
M0159,M0227,31,0.065401,114,391
M0681,M0694,6,0.065217,50,48
M0440,M0546,6,0.065217,49,49
M0061,M0377,6,0.065217,50,48
M0171,M0397,6,0.065217,53,45
M0007,M0654,6,0.065217,64,34
M0209,M0622,6,0.065217,61,37
M0192,M0371,9,0.065217,56,91
M0157,M0590,24,0.065217,280,112
M0357,M0592,6,0.065217,46,52
M0053,M0554,28,0.065116,288,170
M0157,M0205,33,0.065089,280,260
M0297,M0333,8,0.065041,58,73
M0326,M0452,8,0.065041,70,61
M0546,M0623,5,0.064935,49,33
M0421,M0476,5,0.064935,48,34
M0376,M0528,33,0.064833,271,271
M0070,M0587,7,0.064815,67,48
M0113,M0198,7,0.064815,63,52
M0179,M0431,6,0.064516,39,60
M0469,M0512,6,0.064516,42,57
M0320,M0633,6,0.064516,56,43
M0309,M0700,28,0.064516,121,341
M0227,M0554,34,0.064516,391,170
M0114,M0491,6,0.064516,57,42
M0298,M0471,8,0.064516,76,56
M0193,M0210,6,0.064516,38,61
M0528,M0690,23,0.064426,271,109
M0198,M0282,7,0.06422,52,64
M0248,M0554,33,0.064202,377,170
M0248,M0309,30,0.064103,377,121
M0035,M0484,5,0.064103,48,35
M0300,M0700,35,0.063985,241,341
M0480,M0540,11,0.063953,104,79
M0597,M0649,6,0.06383,48,52
M0215,M0276,6,0.06383,51,49
M0293,M0653,6,0.06383,46,54
M0188,M0368,12,0.06383,99,101
M0245,M0281,6,0.06383,57,43
M0198,M0375,6,0.06383,52,48
M0123,M0490,6,0.06383,41,59
M0282,M0509,7,0.063636,64,53
M0209,M0583,7,0.063636,61,56
M0334,M0611,7,0.063636,70,47
M0075,M0446,7,0.063636,57,60
M0228,M0384,7,0.063636,41,76
M0124,M0378,29,0.063596,252,233
M0159,M0376,23,0.063536,114,271
M0353,M0695,8,0.063492,53,81
M0034,M0602,12,0.063492,103,98
M0070,M0374,8,0.063492,67,67
M0378,M0570,29,0.063457,233,253
M0199,M0612,30,0.063425,195,308
M0042,M0113,9,0.06338,88,63
M0100,M0388,5,0.063291,36,48
M0115,M0567,5,0.063291,34,50
M0268,M0535,5,0.063291,40,44
M0077,M0201,5,0.063291,63,21
M0025,M0378,30,0.063291,271,233
M0484,M0530,5,0.063291,35,49
M0604,M0648,6,0.063158,51,50
M0086,M0399,6,0.063158,57,44
M0442,M0566,6,0.063158,58,43
M0095,M0592,7,0.063063,66,52
M0021,M0550,7,0.063063,63,55
M0125,M0542,7,0.063063,66,52
M0335,M0372,7,0.063063,55,63
M0205,M0708,22,0.063037,260,111
M0468,M0472,8,0.062992,92,43
M0584,M0669,8,0.062992,53,82
M0378,M0612,32,0.062868,233,308
M0025,M0528,32,0.062745,271,271
M0053,M0528,33,0.062738,288,271
M0157,M0199,28,0.06264,280,195
M0160,M0193,5,0.0625,47,38
M0016,M0123,5,0.0625,44,41
M0484,M0623,4,0.0625,35,33
M0098,M0374,7,0.0625,52,67
M0167,M0504,21,0.0625,253,104
M0296,M0335,6,0.0625,47,55
M0098,M0659,7,0.0625,52,67
M0058,M0143,7,0.0625,48,71
M0438,M0545,7,0.0625,56,63
M0155,M0625,10,0.0625,92,78
M0178,M0510,6,0.0625,43,59
M0223,M0630,6,0.0625,52,50
M0302,M0314,6,0.0625,47,55
M0340,M0563,6,0.0625,50,52
M0167,M0612,33,0.0625,253,308
M0426,M0542,7,0.0625,67,52
M0287,M0400,4,0.0625,28,40
M0013,M0248,29,0.0625,116,377
M0167,M0300,29,0.062366,253,241
M0025,M0248,38,0.062295,271,377
M0223,M0554,13,0.062201,52,170
M0379,M0551,10,0.062112,90,81
M0526,M0627,10,0.062112,57,114
M0466,M0467,9,0.062069,97,57
M0104,M0347,7,0.061947,53,67
M0503,M0637,7,0.061947,65,55
M0142,M0544,7,0.061947,61,59
M0027,M0289,7,0.061947,60,60
M0083,M0490,7,0.061947,61,59
M0327,M0682,6,0.061856,44,59
M0567,M0683,6,0.061856,50,53
M0535,M0643,6,0.061856,44,59
M0404,M0555,6,0.061856,50,53
M0124,M0199,26,0.061758,252,195
M0436,M0445,5,0.061728,46,40
M0282,M0310,9,0.061644,64,91
M0299,M0457,8,0.061538,80,58
M0130,M0206,8,0.061538,103,35
M0025,M0199,27,0.061503,271,195
M0310,M0700,25,0.061425,91,341
M0092,M0523,7,0.061404,70,51
M0457,M0519,7,0.061404,58,63
M0199,M0700,31,0.061386,195,341
M0481,M0634,10,0.06135,95,78
M0220,M0661,3,0.061224,20,32
M0410,M0567,6,0.061224,54,50
M0071,M0138,6,0.061224,53,51
M0163,M0320,6,0.061224,48,56
M0202,M0383,6,0.061224,56,48
M0335,M0539,6,0.061224,55,49
M0223,M0649,6,0.061224,52,52
M0118,M0435,8,0.061069,70,69
M0488,M0634,8,0.061069,61,78
M0675,M0682,8,0.061069,80,59
M0328,M0460,8,0.061069,53,86
M0133,M0495,5,0.060976,40,47
M0101,M0390,5,0.060976,62,25
M0159,M0236,10,0.060976,114,60
M0295,M0572,5,0.060976,41,46
M0011,M0268,5,0.060976,47,40
M0023,M0667,5,0.060976,50,37
M0640,M0687,5,0.060976,40,47
M0491,M0707,5,0.060976,42,45
M0016,M0633,5,0.060976,44,43
M0116,M0640,5,0.060976,47,40
M0133,M0296,5,0.060976,40,47
M0274,M0690,25,0.060976,326,109
M0486,M0496,5,0.060976,43,44
M0009,M0396,7,0.06087,57,65
M0062,M0092,7,0.06087,52,70
M0248,M0708,28,0.06087,377,111
M0473,M0667,7,0.06087,85,37
M0025,M0124,30,0.060852,271,252
M0025,M0570,30,0.060729,271,253
M0025,M0053,32,0.060721,271,288
M0346,M0463,8,0.060606,85,55
M0024,M0146,6,0.060606,55,50
M0471,M0635,6,0.060606,56,49
M0265,M0691,6,0.060606,52,53
M0050,M0341,6,0.060606,45,60
M0621,M0635,6,0.060606,56,49
M0052,M0069,4,0.060606,34,36
M0300,M0690,20,0.060606,241,109
M0155,M0300,19,0.06051,92,241
M0285,M0591,11,0.06044,99,94
M0180,M0269,7,0.060345,66,57
M0237,M0505,7,0.060345,80,43
M0334,M0479,7,0.060345,70,53
M0107,M0148,5,0.060241,40,48
M0227,M0646,28,0.060215,391,102
M0025,M0624,21,0.060172,271,99
M0695,M0696,8,0.06015,81,60
M0254,M0348,8,0.06015,69,72
M0088,M0285,8,0.06015,42,99
M0053,M0300,30,0.06012,288,241
M0159,M0665,11,0.060109,114,80
M0159,M0299,11,0.060109,114,80
M0130,M0227,28,0.060086,103,391
M0124,M0205,29,0.060041,252,260
M0055,M0689,6,0.06,41,65
M0138,M0521,6,0.06,51,55
M0420,M0539,6,0.06,57,49
M0114,M0575,6,0.06,57,49
M0241,M0550,6,0.06,51,55
M0481,M0596,9,0.06,95,64
M0223,M0275,6,0.06,52,54
M0157,M0378,29,0.059917,280,233
M0037,M0044,7,0.059829,48,76
M0562,M0699,7,0.059829,64,60
M0380,M0406,7,0.059829,60,64
M0007,M0517,7,0.059829,64,60
M0081,M0237,7,0.059829,44,80
M0126,M0335,7,0.059829,69,55
M0134,M0226,7,0.059829,55,69
M0290,M0581,8,0.059701,57,85
M0361,M0390,4,0.059701,46,25
M0324,M0633,4,0.059701,28,43
M0153,M0218,9,0.059603,67,93
M0398,M0670,9,0.059603,109,51
M0161,M0304,9,0.059603,104,56
M0276,M0640,5,0.059524,49,40
M0445,M0607,5,0.059524,40,49
M0005,M0535,5,0.059524,45,44
M0248,M0480,27,0.059471,377,104
M0034,M0218,11,0.059459,103,93
M0264,M0656,6,0.059406,61,46
M0583,M0604,6,0.059406,56,51
M0608,M0631,6,0.059406,55,52
M0276,M0494,6,0.059406,49,58
M0082,M0328,6,0.059406,54,53
M0134,M0173,6,0.059406,55,52
M0262,M0644,6,0.059406,46,61
M0113,M0387,6,0.059406,63,44
M0046,M0113,6,0.059406,44,63
M0075,M0366,6,0.059406,57,50
M0443,M0652,6,0.059406,56,51
M0226,M0304,7,0.059322,69,56
M0494,M0497,7,0.059322,58,67
M0210,M0645,7,0.059322,61,64
M0504,M0528,21,0.059322,104,271
M0218,M0340,8,0.059259,93,50
M0056,M0656,8,0.059259,97,46
M0144,M0150,8,0.059259,59,84
M0155,M0227,27,0.059211,92,391
M0574,M0624,9,0.059211,62,99
M0120,M0459,10,0.059172,92,87
M0155,M0459,10,0.059172,92,87
M0376,M0502,20,0.059172,271,87
M0167,M0199,25,0.059102,253,195
M0227,M0553,28,0.059072,391,111
M0071,M0666,6,0.058824,53,55
M0554,M0676,13,0.058824,170,64
M0264,M0495,6,0.058824,61,47
M0329,M0477,7,0.058824,50,76
M0483,M0628,6,0.058824,52,56
M0511,M0657,5,0.058824,59,31
M0368,M0389,9,0.058824,101,61
M0508,M0672,5,0.058824,47,43
M0267,M0406,7,0.058824,62,64
M0193,M0345,4,0.058824,38,34
M0170,M0477,7,0.058824,50,76
M0510,M0578,7,0.058824,59,67
M0012,M0692,6,0.058824,56,52
M0161,M0478,9,0.058824,104,58
M0040,M0292,7,0.058824,45,81
M0254,M0613,6,0.058824,69,39
M0083,M0493,7,0.058824,61,65
M0084,M0100,5,0.058824,54,36
M0616,M0708,8,0.058824,33,111
M0039,M0263,6,0.058824,55,53
M0081,M0684,6,0.058824,44,64
M0157,M0554,25,0.058824,280,170
M0208,M0355,6,0.058824,49,59
M0482,M0640,5,0.058824,50,40
M0124,M0570,28,0.0587,252,253
M0334,M0553,10,0.05848,70,111
M0406,M0624,9,0.058442,64,99
M0385,M0690,9,0.058442,54,109
M0218,M0334,9,0.058442,93,70
M0374,M0655,9,0.058442,67,96
M0627,M0688,9,0.058442,114,49
M0465,M0570,17,0.058419,55,253
M0120,M0600,8,0.058394,92,53
M0346,M0699,8,0.058394,85,60
M0351,M0593,8,0.058394,52,93
M0067,M0143,7,0.058333,56,71
M0299,M0318,7,0.058333,80,47
M0124,M0708,20,0.058309,252,111
M0194,M0325,6,0.058252,54,55
M0198,M0420,6,0.058252,52,57
M0186,M0630,6,0.058252,59,50
M0461,M0547,6,0.058252,56,53
M0162,M0245,6,0.058252,52,57
M0028,M0474,6,0.058252,56,53
M0067,M0328,6,0.058252,56,53
M0126,M0640,6,0.058252,69,40
M0407,M0613,6,0.058252,70,39
M0127,M0417,6,0.058252,59,50
M0501,M0589,5,0.05814,46,45
M0006,M0138,5,0.05814,40,51
M0050,M0262,5,0.05814,45,46
M0417,M0538,5,0.05814,50,41
M0052,M0428,5,0.05814,34,57
M0080,M0423,5,0.05814,48,43
M0199,M0205,25,0.05814,195,260
M0140,M0319,5,0.05814,44,47
M0199,M0446,14,0.058091,195,60
M0300,M0378,26,0.058036,241,233
M0332,M0485,4,0.057971,25,48
M0266,M0371,8,0.057971,55,91
M0124,M0481,19,0.057927,252,95
M0086,M0143,7,0.057851,57,71
M0321,M0545,7,0.057851,65,63
M0214,M0447,7,0.057851,61,67
M0210,M0347,7,0.057851,61,67
M0366,M0625,7,0.057851,50,78
M0090,M0594,7,0.057851,69,59
M0120,M0371,10,0.057803,92,91
M0025,M0205,29,0.057769,271,260
M0095,M0327,6,0.057692,66,44
M0366,M0380,6,0.057692,50,60
M0060,M0367,6,0.057692,56,54
M0046,M0125,6,0.057692,44,66
M0023,M0317,6,0.057692,50,60
M0308,M0472,6,0.057692,67,43
M0263,M0269,6,0.057692,53,57
M0214,M0607,6,0.057692,61,49
M0188,M0203,9,0.057692,99,66
M0197,M0525,6,0.057692,49,61
M0014,M0686,3,0.057692,26,29
M0138,M0413,6,0.057692,51,59
M0166,M0317,6,0.057692,50,60
M0192,M0385,6,0.057692,56,54
M0176,M0543,8,0.057554,60,87
M0116,M0668,5,0.057471,47,45
M0440,M0672,5,0.057471,49,43
M0448,M0658,5,0.057471,43,49
M0035,M0496,5,0.057471,48,44
M0107,M0351,5,0.057471,40,52
M0265,M0268,5,0.057471,52,40
M0301,M0399,5,0.057471,48,44
M0195,M0554,12,0.057416,51,170
M0408,M0527,7,0.057377,69,60
M0126,M0380,7,0.057377,69,60
M0119,M0274,23,0.057357,98,326
M0466,M0536,9,0.057325,97,69
M0580,M0708,9,0.057325,55,111
M0119,M0528,20,0.057307,98,271
M0591,M0690,11,0.057292,94,109
M0130,M0248,26,0.057269,103,377
M0391,M0409,6,0.057143,57,54
M0142,M0641,6,0.057143,61,50
M0028,M0120,8,0.057143,56,92
M0274,M0551,22,0.057143,326,81
M0192,M0207,8,0.057143,56,92
M0617,M0641,6,0.057143,61,50
M0366,M0389,6,0.057143,50,61
M0393,M0548,6,0.057143,53,58
M0339,M0599,4,0.057143,40,34
M0446,M0652,6,0.057143,60,51
M0002,M0181,4,0.057143,26,48
M0621,M0664,6,0.057143,56,55
M0206,M0405,4,0.057143,35,39
M0008,M0413,6,0.057143,52,59
M0198,M0544,6,0.057143,52,59
M0196,M0256,6,0.057143,53,58
M0622,M0671,4,0.057143,37,37
M0354,M0481,8,0.057143,53,95
M0227,M0690,27,0.057082,391,109
M0147,M0553,11,0.056995,93,111
M0460,M0695,9,0.056962,86,81
M0379,M0400,7,0.056911,90,40
M0360,M0540,7,0.056911,51,79
M0070,M0077,7,0.056911,67,63
M0641,M0675,7,0.056911,50,80
M0334,M0380,7,0.056911,70,60
M0253,M0425,7,0.056911,55,75
M0179,M0615,5,0.056818,39,54
M0032,M0293,5,0.056818,47,46
M0107,M0479,5,0.056818,40,53
M0543,M0624,10,0.056818,87,99
M0250,M0486,5,0.056818,50,43
M0599,M0651,5,0.056818,34,59
M0286,M0515,5,0.056818,51,42
M0397,M0694,5,0.056818,45,48
M0274,M0646,23,0.05679,326,102
M0146,M0285,8,0.056738,50,99
M0504,M0582,8,0.056738,104,45
M0195,M0602,8,0.056738,51,98
M0096,M0581,8,0.056738,64,85
M0053,M0570,29,0.056641,288,253
M0300,M0481,18,0.056604,241,95
M0651,M0690,9,0.056604,59,109
M0342,M0435,6,0.056604,43,69
M0290,M0314,6,0.056604,57,55
M0251,M0276,6,0.056604,63,49
M0020,M0176,6,0.056604,52,60
M0175,M0594,6,0.056604,53,59
M0273,M0278,6,0.056604,57,55
M0415,M0428,6,0.056604,55,57
M0009,M0666,6,0.056604,57,55
M0285,M0435,9,0.056604,99,69
M0435,M0472,6,0.056604,69,43
M0338,M0692,6,0.056604,60,52
M0392,M0644,6,0.056604,51,61
M0060,M0136,6,0.056604,56,56
M0205,M0554,23,0.056511,260,170
M0326,M0488,7,0.056452,70,61
M0272,M0628,7,0.056452,75,56
M0155,M0554,14,0.056452,92,170
M0012,M0272,7,0.056452,56,75
M0167,M0570,27,0.056367,253,253
M0092,M0299,8,0.056338,70,80
M0627,M0708,12,0.056338,114,111
M0157,M0159,21,0.0563,280,114
M0374,M0376,18,0.05625,67,271
M0189,M0553,9,0.05625,58,111
M0554,M0593,14,0.056225,170,93
M0199,M0403,14,0.056225,195,68
M0147,M0554,14,0.056225,93,170
M0260,M0567,5,0.05618,44,50
M0123,M0185,5,0.05618,41,53
M0039,M0179,5,0.05618,55,39
M0130,M0473,10,0.05618,103,85
M0363,M0492,5,0.05618,42,52
M0009,M0618,5,0.05618,57,37
M0168,M0356,5,0.05618,45,49
M0135,M0615,5,0.05618,40,54
M0274,M0435,21,0.05615,326,69
M0130,M0504,11,0.056122,103,104
M0655,M0708,11,0.056122,96,111
M0147,M0159,11,0.056122,93,114
M0062,M0464,6,0.056075,52,61
M0020,M0331,6,0.056075,52,61
M0171,M0450,6,0.056075,53,60
M0096,M0635,6,0.056075,64,49
M0106,M0317,6,0.056075,53,60
M0372,M0639,6,0.056075,63,50
M0307,M0474,6,0.056075,60,53
M0024,M0662,6,0.056075,55,58
M0391,M0500,6,0.056075,57,56
M0308,M0656,6,0.056075,67,46
M0321,M0439,6,0.056075,65,48
M0175,M0317,6,0.056075,53,60
M0064,M0614,6,0.056075,54,59
M0113,M0404,6,0.056075,63,50
M0162,M0209,6,0.056075,52,61
M0176,M0393,6,0.056075,60,53
M0420,M0677,6,0.056075,57,56
M0565,M0669,7,0.056,50,82
M0578,M0689,7,0.056,67,65
M0013,M0157,21,0.056,116,280
M0348,M0549,7,0.056,72,60
M0467,M0591,8,0.055944,57,94
M0176,M0371,8,0.055944,60,91
M0479,M0602,8,0.055944,53,98
M0188,M0483,8,0.055944,99,52
M0299,M0300,17,0.055921,80,241
M0159,M0248,26,0.055914,114,377
M0210,M0690,9,0.055901,61,109
M0159,M0621,9,0.055901,114,56
M0083,M0398,9,0.055901,61,109
M0274,M0300,30,0.055866,326,241
M0242,M0593,24,0.055814,361,93
M0157,M0624,20,0.05571,280,99
M0159,M0700,24,0.055684,114,341
M0124,M0300,26,0.055675,252,241
M0075,M0698,6,0.055556,57,57
M0303,M0475,6,0.055556,65,49
M0051,M0052,5,0.055556,61,34
M0262,M0475,5,0.055556,46,49
M0167,M0205,27,0.055556,253,260
M0254,M0397,6,0.055556,69,45
M0442,M0471,6,0.055556,58,56
M0265,M0558,6,0.055556,52,62
M0506,M0604,4,0.055556,25,51
M0493,M0518,6,0.055556,65,49
M0309,M0648,9,0.055556,121,50
M0124,M0690,19,0.055556,252,109
M0345,M0469,4,0.055556,34,42
M0066,M0505,5,0.055556,52,43
M0430,M0577,6,0.055556,65,49
M0304,M0478,6,0.055556,56,58
M0123,M0653,5,0.055556,41,54
M0247,M0527,7,0.055556,73,60
M0273,M0481,8,0.055556,57,95
M0607,M0656,5,0.055556,49,46
M0189,M0202,6,0.055556,58,56
M0490,M0637,6,0.055556,59,55
M0232,M0250,6,0.055556,64,50
M0504,M0516,9,0.055556,104,67
M0171,M0285,8,0.055556,53,99
M0029,M0420,6,0.055556,57,57
M0378,M0632,17,0.055556,233,90
M0663,M0682,7,0.055556,74,59
M0515,M0629,6,0.055556,42,72
M0074,M0097,6,0.055556,59,55
M0213,M0619,5,0.055556,45,50
M0174,M0227,25,0.055432,85,391
M0161,M0658,8,0.055172,104,49
M0155,M0576,8,0.055172,92,61
M0593,M0696,8,0.055172,93,60
M0466,M0621,8,0.055172,97,56
M0188,M0700,23,0.055156,99,341
M0500,M0634,7,0.055118,56,78
M0254,M0689,7,0.055118,69,65
M0289,M0637,6,0.055046,60,55
M0185,M0419,6,0.055046,53,62
M0093,M0243,6,0.055046,48,67
M0170,M0503,6,0.055046,50,65
M0246,M0684,6,0.055046,51,64
M0086,M0121,6,0.055046,57,58
M0303,M0639,6,0.055046,65,50
M0144,M0471,6,0.055046,59,56
M0267,M0474,6,0.055046,62,53
M0126,M0656,6,0.055046,69,46
M0176,M0451,6,0.055046,60,55
M0215,M0645,6,0.055046,51,64
M0085,M0317,6,0.055046,55,60
M0331,M0409,6,0.055046,61,54
M0145,M0620,6,0.055046,59,56
M0488,M0610,6,0.055046,61,54
M0115,M0292,6,0.055046,34,81
M0538,M0550,5,0.054945,41,55
M0036,M0707,5,0.054945,51,45
M0472,M0683,5,0.054945,43,53
M0102,M0256,5,0.054945,38,58
M0172,M0642,5,0.054945,35,61
M0123,M0314,5,0.054945,41,55
M0224,M0507,5,0.054945,48,48
M0137,M0448,5,0.054945,53,43
M0123,M0415,5,0.054945,41,55
M0246,M0397,5,0.054945,51,45
M0239,M0601,5,0.054945,49,47
M0049,M0421,5,0.054945,48,48
M0490,M0667,5,0.054945,59,37
M0272,M0528,18,0.054878,75,271
M0124,M0591,18,0.054878,252,94
M0167,M0554,22,0.054863,253,170
M0093,M0513,4,0.054795,48,29
M0174,M0226,8,0.054795,85,69
M0570,M0591,18,0.054711,253,94
M0459,M0587,7,0.054688,87,48
M0181,M0502,7,0.054688,48,87
M0042,M0495,7,0.054688,88,47
M0203,M0435,7,0.054688,66,69
M0157,M0300,27,0.054656,280,241
M0159,M0570,19,0.054598,114,253
M0439,M0532,6,0.054545,48,68
M0319,M0408,6,0.054545,47,69
M0320,M0527,6,0.054545,56,60
M0264,M0664,6,0.054545,61,55
M0516,M0522,6,0.054545,67,49
M0167,M0481,18,0.054545,253,95
M0438,M0520,6,0.054545,56,60
M0443,M0699,6,0.054545,56,60
M0504,M0700,23,0.054502,104,341
